classifier,population_size,workers,time,time_std
RandomForestClassifier,1000,1,21.155264380888546,0.10068693658000083
RandomForestClassifier,1000,2,10.835099999897647,0.09693263754507993
RandomForestClassifier,1000,4,5.689401171391364,0.050888241037903854
RandomForestClassifier,1000,8,3.3469982356997208,0.050678615524503416
RandomForestClassifier,1000,16,2.059118146286346,0.17164185270436388
RandomForestClassifier,1000,32,1.9022634457331151,0.13543424944776583
RandomForestClassifier,2000,1,42.799768211727496,0.1355156263322368
RandomForestClassifier,2000,2,21.76276622909354,0.12164986350731007
RandomForestClassifier,2000,4,11.215421526390127,0.06879634650868979
RandomForestClassifier,2000,8,6.143665005918592,0.10284836189414216
RandomForestClassifier,2000,16,3.754762294108514,0.11353351750512412
RandomForestClassifier,2000,32,2.3437639594078066,0.1573615719689157
RandomForestClassifier,4000,1,86.7597261479008,1.315058181055818
RandomForestClassifier,4000,2,42.91969615099951,0.10421765518060598
RandomForestClassifier,4000,4,22.181573805003428,0.15055186153444378
RandomForestClassifier,4000,8,11.730642320297193,0.134071900010079
RandomForestClassifier,4000,16,6.775467489706353,0.11541747123541475
RandomForestClassifier,4000,32,4.05972250699997,0.24649303378082862
RandomForestClassifier,8000,1,170.92418009429238,1.4187780212171108
RandomForestClassifier,8000,2,85.61104078650241,0.3187849535674426
RandomForestClassifier,8000,4,43.66558576738462,0.3243140843797596
RandomForestClassifier,8000,8,23.03017576050479,0.1148772424425664
RandomForestClassifier,8000,16,13.061749019194394,0.1203500470570561
RandomForestClassifier,8000,32,7.834049467695877,0.14029161732400477
RandomForestClassifier,16000,1,343.78413302620174,5.453049526340225
RandomForestClassifier,16000,2,170.84219200448132,1.5757134112643316
RandomForestClassifier,16000,4,87.00183867609594,0.3592716429369449
RandomForestClassifier,16000,8,45.281351270782764,0.1956391354984559
RandomForestClassifier,16000,16,25.077859769924544,0.23616361848861123
RandomForestClassifier,16000,32,15.398958457587288,0.18442910293796835
SVC,1000,1,0.8000666843960061,0.015641403158392
SVC,1000,2,0.6534511615056544,0.0262141831497525
SVC,1000,4,0.4406318627065048,0.03369252628112291
SVC,1000,8,0.42726163470651957,0.04002507138406901
SVC,1000,16,0.5032161508803256,0.02960624287730995
SVC,1000,32,0.5628089293139056,0.045775620942191925
SVC,2000,1,1.5903474322869442,0.019160155606925904
SVC,2000,2,1.2169991389848291,0.04093395067888496
SVC,2000,4,0.908889792917762,0.07754931381524162
SVC,2000,8,0.8001426205039024,0.07460889532571517
SVC,2000,16,0.7813570555881597,0.05947396414318938
SVC,2000,32,0.8820969882770442,0.045723670131148454
SVC,4000,1,3.1722926675807686,0.025054625461006605
SVC,4000,2,2.3077227718080393,0.03201550685877821
SVC,4000,4,1.7023978949873708,0.08756879197154335
SVC,4000,8,1.7436637464095839,0.09219303887816224
SVC,4000,16,1.3781527393846773,0.04667466527812247
SVC,4000,32,1.6063468317035585,0.12842125842529836
SVC,8000,1,6.337092001806013,0.030932502178320886
SVC,8000,2,4.675695178576279,0.2385655882578405
SVC,8000,4,3.2206973006017505,0.03004206628892968
SVC,8000,8,3.031515414721798,0.07341425454024111
SVC,8000,16,3.0313677013851703,0.07566046779639123
SVC,8000,32,2.8097576575120913,0.0964634896774623
SVC,16000,1,12.71198983771028,0.0473998448872727
SVC,16000,2,9.078731628891546,0.0667876377945483
SVC,16000,4,7.268024348502513,0.44112345030306904
SVC,16000,8,5.996867379010655,0.09553550288919023
SVC,16000,16,5.619414359668736,0.06401887929858383
SVC,16000,32,5.763234802789521,0.16862986316723572
MLPClassifier,1000,1,0.6839004495064728,0.01408795219736661
MLPClassifier,1000,2,0.5682859929278493,0.036957618649695274
MLPClassifier,1000,4,0.4808083835057914,0.03678647322593801
MLPClassifier,1000,8,0.5653156169108116,0.05951449592014411
MLPClassifier,1000,16,0.658965538314078,0.049880279277023806
MLPClassifier,1000,32,0.8545916309114545,0.05451112095443634
MLPClassifier,2000,1,1.3578251604107208,0.01431300968985609
MLPClassifier,2000,2,1.1183229419053533,0.034774573866242796
MLPClassifier,2000,4,0.871457438415382,0.05687526625895186
MLPClassifier,2000,8,0.9510181223158725,0.033341271091276325
MLPClassifier,2000,16,1.0110119173885324,0.040707839768025965
MLPClassifier,2000,32,1.2095327502000146,0.03528945134532327
MLPClassifier,4000,1,2.6989842712064274,0.01395730119119146
MLPClassifier,4000,2,2.1315889894845896,0.03375557539241852
MLPClassifier,4000,4,1.6630119631183333,0.059452905185571066
MLPClassifier,4000,8,1.7113184874644503,0.06257654093271968
MLPClassifier,4000,16,1.7169037945219316,0.07828197803535132
MLPClassifier,4000,32,1.8364006435265765,0.07151981921689203
MLPClassifier,8000,1,5.4672307154978625,0.020357327146715884
MLPClassifier,8000,2,4.206683890800923,0.14961444252044726
MLPClassifier,8000,4,3.1337412868975663,0.05427827286628939
MLPClassifier,8000,8,3.0849098617210986,0.06450060330691765
MLPClassifier,8000,16,3.0723049068939874,0.07838723615396294
MLPClassifier,8000,32,3.305193546798546,0.11293694315354434
MLPClassifier,16000,1,11.070964058837854,0.08319647919478294
MLPClassifier,16000,2,8.127583211311139,0.046898087029627826
MLPClassifier,16000,4,6.275478693901095,0.05985470035154527
MLPClassifier,16000,8,5.808897289494053,0.05326201086642186
MLPClassifier,16000,16,5.724964780593291,0.10190565321272539
MLPClassifier,16000,32,5.875368402700405,0.14063737406414084
