samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,2000,0,1,0,SVC,-7.918629461399053,-7.736685653200514,0.12154919797716257,-7.489967759888763,1.0
10,32,2,1,1,2000,0,1,1,SVC,-1.1790400442016833,-0.6548361580108286,0.34252314507730286,-0.007961177356528903,1.0
10,32,2,1,1,2000,1,0,0,SVC,-0.9617736482283568,-0.5228107636746947,0.2732038883626971,-0.03207371750733534,1.0
10,32,2,1,1,2000,1,0,1,SVC,-7.947074520163605,-7.893820540783371,0.03299148644651029,-7.773418934360672,1.0
10,32,2,1,1,2000,2,0,0,SVC,-1.1978212362818295,-0.6738535076835207,0.34791142037779427,-0.009562635731706681,1.0
10,32,2,1,1,2000,2,0,1,SVC,-7.394812909244702,-7.101273901025332,0.1709713218208013,-6.711958743750832,1.0
10,32,2,1,1,2000,3,0,0,SVC,-1.4245206768795946,-0.907382478165178,0.3938831528281662,-0.04488763726793765,1.0
10,32,2,1,1,2000,3,0,1,SVC,-7.603756421209643,-7.393527117706017,0.16810943163514352,-6.861084521402823,1.0
10,32,2,1,1,2000,4,1,0,SVC,-10.013849968271712,-9.648042215083391,0.21760533790815134,-9.154262839502,1.0
10,32,2,1,1,2000,4,1,1,SVC,-1.4711776879211793,-0.9060650798975998,0.36889653275385903,-0.04366189110333529,1.0
10,32,2,1,1,2000,5,0,0,SVC,-1.0150026818467197,-0.5802383021918476,0.23726793702638885,-0.01847753133921093,1.0
10,32,2,1,1,2000,5,0,1,SVC,-5.274787669472767,-4.976802840173963,0.23722753621000164,-4.4312268777126675,1.0
10,32,2,1,1,2000,6,1,0,SVC,-9.790359770285754,-9.566680602477861,0.13232516889282592,-9.157224554382397,1.0
10,32,2,1,1,2000,6,1,1,SVC,-0.8078120221103682,-0.48147347504499194,0.20790696585229418,-0.055250630727561534,1.0
10,32,2,1,1,2000,7,0,0,SVC,-1.1754646437991847,-0.6488869566286881,0.31969433360279514,-0.037327021450184183,1.0
10,32,2,1,1,2000,7,0,1,SVC,-5.585020388186224,-5.338482325745678,0.15071002379533768,-4.960349047064335,1.0
10,32,2,1,1,2000,8,1,0,SVC,-7.912294802903311,-7.675170868428291,0.17119325158574164,-6.804097230776957,1.0
10,32,2,1,1,2000,8,1,1,SVC,-1.6429789742925254,-0.9769069200339127,0.4408863197357633,-0.026941985105847444,1.0
10,32,2,1,1,2000,9,1,0,SVC,-3.8256198690959398,-3.023036038900502,0.5525121918076037,-2.0550567703907707,1.0
10,32,2,1,1,2000,9,1,1,SVC,-0.8872295861052271,-0.4648950051600439,0.24866935163168508,-0.02174142862486006,1.0
10,4,2,1,1,2000,0,0,0,SVC,-0.02987155817702339,-0.016615720825229472,0.008685505981079273,-0.0006521634257891096,1.0
10,4,2,1,1,2000,0,0,1,SVC,-1.4057145044280734,-1.3926356805575952,0.008116782344382999,-1.3766933391254517,1.0
10,4,2,1,1,2000,1,0,0,SVC,-0.042796373748818894,-0.02087728646306963,0.011579400309450304,-0.0005309106849530898,1.0
10,4,2,1,1,2000,1,0,1,SVC,-0.6741341091538101,-0.671198478783731,0.002188385916096144,-0.6518878256441061,1.0
10,4,2,1,1,2000,2,1,0,SVC,-0.5730565205739824,-0.5495039210564046,0.011798519508677753,-0.522453979738492,1.0
10,4,2,1,1,2000,2,1,1,SVC,-0.05306027131609144,-0.029220703318468568,0.013948126280981753,-0.0026640946534541854,1.0
10,4,2,1,1,2000,3,1,0,SVC,-0.17741987621740177,-0.143990678356877,0.022036541872682634,-0.09821968224133044,1.0
10,4,2,1,1,2000,3,1,1,SVC,-0.04146740610388299,-0.02074204434637786,0.010883864856282848,-7.316414897151624e-05,1.0
10,4,2,1,1,2000,4,0,0,SVC,-0.03271427623012219,-0.017767309311290842,0.009112190580515553,-0.00017767058840012506,1.0
10,4,2,1,1,2000,4,0,1,SVC,-1.466685753233963,-1.4512872014310505,0.008870419115210955,-1.435128416323403,1.0
10,4,2,1,1,2000,5,1,0,SVC,-1.6150417948126035,-1.6035986587882167,0.007082410343031411,-1.5832872888687812,1.0
10,4,2,1,1,2000,5,1,1,SVC,-0.05084684892806683,-0.028672623473230914,0.014284802820558495,-0.00079017667952197,1.0
10,4,2,1,1,2000,6,0,0,SVC,-0.05337871521813434,-0.028179698419953252,0.014995420903682352,-0.0001830268724809514,1.0
10,4,2,1,1,2000,6,0,1,SVC,-2.700601361880099,-2.6788282239179977,0.012157409133479073,-2.658841361288928,1.0
10,4,2,1,1,2000,7,0,0,SVC,-0.025023481529148493,-0.01419343826164829,0.0070771345991267305,-0.00014843100644357232,1.0
10,4,2,1,1,2000,7,0,1,SVC,-1.1906008539871966,-1.1726070490028917,0.010323848810775495,-1.1543387165198251,1.0
10,4,2,1,1,2000,8,0,0,SVC,-0.032823832395992,-0.016258605105614218,0.009051193624778436,-0.0001840621957960309,1.0
10,4,2,1,1,2000,8,0,1,SVC,-1.9065904932397277,-1.8940523869011714,0.008028356732313228,-1.878281328203247,1.0
10,4,2,1,1,2000,9,0,0,SVC,-0.03573878408328961,-0.019433641496385566,0.010869428834739448,-0.0010783192091614602,1.0
10,4,2,1,1,2000,9,0,1,SVC,-1.9449407133956136,-1.93576918594683,0.0051772672436726,-1.9231798573667256,1.0
10,8,2,1,1,2000,0,1,0,SVC,-1.1434194543730012,-1.0704776402701137,0.044799582092252765,-1.0002771187704647,1.0
10,8,2,1,1,2000,0,1,1,SVC,-0.13229773097099012,-0.08019400462494305,0.036074971527238334,-0.00025267654476850143,1.0
10,8,2,1,1,2000,1,1,0,SVC,-2.031120935062896,-1.9932066310366965,0.02206811222936951,-1.9466854675725793,1.0
10,8,2,1,1,2000,1,1,1,SVC,-0.19391214573732873,-0.10932658988780812,0.04786312454412449,-0.01911065377325749,1.0
10,8,2,1,1,2000,2,1,0,SVC,-1.0020060662588592,-0.9432076512120883,0.035931377705141605,-0.8818463954806545,1.0
10,8,2,1,1,2000,2,1,1,SVC,-0.09331340428217133,-0.046887335048573855,0.023833256381759607,-0.001260843049421645,1.0
10,8,2,1,1,2000,3,1,0,SVC,-1.8039328151463137,-1.7491936943466777,0.031617790290923875,-1.6550408342373961,1.0
10,8,2,1,1,2000,3,1,1,SVC,-0.22320797360757894,-0.12346349554419177,0.06637133079949552,-0.001684539480101943,1.0
10,8,2,1,1,2000,4,1,0,SVC,-0.9074702615195016,-0.8379023072879374,0.0463939322903727,-0.7445423617909228,1.0
10,8,2,1,1,2000,4,1,1,SVC,-0.09309858497978786,-0.05428144799463839,0.026337463335361178,-0.0009080462183947979,1.0
10,8,2,1,1,2000,5,0,0,SVC,-0.22554280195811421,-0.118942358649029,0.0629196346735897,-0.005942746548669664,1.0
10,8,2,1,1,2000,5,0,1,SVC,-1.8217150088458485,-1.7432503607221677,0.05104297873173989,-1.6295194600866951,1.0
10,8,2,1,1,2000,6,0,0,SVC,-0.13403833366645063,-0.07908938758852221,0.03516476499023762,-0.00046668186662723876,1.0
10,8,2,1,1,2000,6,0,1,SVC,-2.2524890189783595,-2.2177210412293493,0.023498381956450095,-2.17288709570892,1.0
10,8,2,1,1,2000,7,1,0,SVC,-1.671584597798249,-1.6262640940410416,0.02899758546540588,-1.4524112349818152,1.0
10,8,2,1,1,2000,7,1,1,SVC,-0.11669716114007633,-0.06592991822993127,0.03343493067632182,-0.00023385746619730696,1.0
10,8,2,1,1,2000,8,1,0,SVC,-1.3139168982128304,-1.2801746792496689,0.021392345754857163,-1.236005361175239,1.0
10,8,2,1,1,2000,8,1,1,SVC,-0.12142253971497152,-0.07049648206209132,0.031066899772733074,-6.636786803954076e-05,1.0
10,8,2,1,1,2000,9,1,0,SVC,-1.016796991459095,-0.9427886779132925,0.03980759049867812,-0.8730998033089946,1.0
10,8,2,1,1,2000,9,1,1,SVC,-0.11111404657471069,-0.06259135237479191,0.027518756839689365,-0.004862134673990159,1.0
10,64,2,1,0,2000,0,1,0,SVC,-8.68463967018189,-7.873989689789836,0.4732449484652786,-6.733668771269166,1.0
10,64,2,1,0,2000,0,1,1,SVC,-4.314420942529446,-2.75692548356281,1.2177864098886568,-0.06268409832628397,1.0
10,64,2,1,0,2000,1,0,0,SVC,-2.920384741033623,-1.7075733519315057,0.738801059727242,-0.016729688597477477,1.0
