point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,64,1,0,MLPClassifier,4000,1,10.443345567000001,0.11815354200000172,0.0003467269999983813,5.925999998268594e-06
0,64,1,1,MLPClassifier,4000,1,10.730458603000013,0.06230557099998535,0.00037709150000964087,3.711449998533567e-05
1,64,0,0,MLPClassifier,4000,1,10.505169851000005,0.035240259999994805,0.00035936450000306763,1.091049999146776e-05
1,64,0,1,MLPClassifier,4000,1,10.103058256000004,0.027310956000029307,0.000340023000006795,3.7520000262247777e-06
2,64,0,0,MLPClassifier,4000,1,10.632212088500012,0.10298795549998374,0.0003452375000065899,2.6790500008644358e-05
2,64,0,1,MLPClassifier,4000,1,10.229148521500022,0.04754754750003087,0.0003243015000151672,1.6696500026114336e-05
3,64,1,0,MLPClassifier,4000,1,9.958257427500001,0.04336426649996383,0.00036541999999428754,2.2576999967327538e-05
3,64,1,1,MLPClassifier,4000,1,10.653958598999978,0.11527451599998528,0.0003679734999906259,2.4450500021089283e-05
4,64,1,0,MLPClassifier,4000,1,9.598021615000008,0.08401388200000781,0.0003548844999983203,1.3936499996702878e-05
4,64,1,1,MLPClassifier,4000,1,10.76379115449997,0.0965474055000044,0.0003663224999712611,1.4411500004030131e-05
0,4,0,0,MLPClassifier,4000,1,11.169246116999986,0.08494637200003297,0.0003335344999868539,8.86650002485112e-06
0,4,0,1,MLPClassifier,4000,1,10.213777438999998,0.060397443000013595,0.00032500899999377,5.420000093181443e-07
1,4,1,0,MLPClassifier,4000,1,10.339626390999996,0.012284413999992694,0.0003157635000263781,7.154499968464734e-06
1,4,1,1,MLPClassifier,4000,1,11.122845695000109,0.2572848810000039,0.0003397365000807895,2.9365500012090706e-05
2,4,1,0,MLPClassifier,4000,1,10.982733888000013,0.13114726300008783,0.0003141800000037165,9.806999941019967e-06
2,4,1,1,MLPClassifier,4000,1,11.162342702999837,0.27682529700004466,0.0003237309998382898,1.2570000365030864e-06
3,4,0,0,MLPClassifier,4000,1,11.147861542499982,0.1516754065000896,0.00033235849997481637,2.1485500099061028e-05
3,4,0,1,MLPClassifier,4000,1,9.85419120649999,0.12013479550000739,0.0002992324999979701,1.1603500041701409e-05
4,4,1,0,MLPClassifier,4000,1,10.31084971699994,0.05273009899997305,0.0003209459999311548,3.6929999964741e-06
4,4,1,1,MLPClassifier,4000,1,11.285193472500083,0.13862045250002097,0.00033187700006465093,1.5400000279441883e-06
0,2,1,0,MLPClassifier,4000,1,12.546555789999985,0.2911872520000145,0.00035436900000718197,2.39489999955822e-05
0,2,1,1,MLPClassifier,4000,1,11.395716082500002,0.30824314749995096,0.0003300919999844609,1.7170000603528024e-06
1,2,0,0,MLPClassifier,4000,1,11.939543450000144,0.40164851100024634,0.00032509500010746706,1.3703000206533034e-05
1,2,0,1,MLPClassifier,4000,1,12.463869836000015,0.22098055200007138,0.0003233274999843161,3.0864999303048535e-06
2,2,0,0,MLPClassifier,4000,1,11.728577977000043,0.06655231000007689,0.0003147390000322048,1.3115000001562294e-05
2,2,0,1,MLPClassifier,4000,1,12.200777480500165,0.16109922149985323,0.0003401325001277655,1.1224499871786975e-05
3,2,1,0,MLPClassifier,4000,1,12.344067893000044,0.04393999800009851,0.00033860050001521813,2.629500102102611e-06
3,2,1,1,MLPClassifier,4000,1,11.055777576000025,0.37981712699996706,0.00033379200004901577,3.4290000598957704e-06
4,2,0,0,MLPClassifier,4000,1,11.890859018499896,0.22987841150006716,0.0003768904999219558,1.710750001393535e-05
