point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
1,8,1,1,MLPClassifier,1000,1,3.255611042500277,0.0217060715003754,2.4929765685001257,0.014924433499800216
1,8,1,1,MLPClassifier,1000,1,3.2707112009998127,0.02019861300004777,2.4683114510012274,0.008553508999739279
1,4,0,0,MLPClassifier,1000,1,3.3753127724994556,0.1365401174998624,2.475104914001804,0.00508589899936851
1,4,0,1,MLPClassifier,1000,1,3.570129882999936,0.03584121000039886,2.481862213999648,0.0076994039995952335
1,4,1,0,MLPClassifier,1000,1,3.5637062045002494,0.07331908150035815,2.508433082501142,0.009493871499216766
1,4,1,1,MLPClassifier,1000,1,3.3116198364996308,0.06853454049996799,2.4872425445009867,0.00013530050000554183
1,2,1,0,MLPClassifier,1000,1,3.2586164264998843,0.031503497500580124,2.4594554415002676,0.02590023450056833
1,2,1,1,MLPClassifier,1000,1,3.2787651269995877,0.07971888200017929,2.4905761395007175,0.013814396499128634
1,2,0,0,MLPClassifier,1000,1,3.3606761715004723,0.10904543350034146,2.4553799439986506,0.007806882999375375
1,2,0,1,MLPClassifier,1000,1,3.531606553000074,0.054096305999792094,2.5157236980016933,0.003822090000994649
1,16,1,1,MLPClassifier,1000,1,3.245873933999974,0.04695959800028504,2.4735538205013654,0.010042952500043612
1,16,1,1,MLPClassifier,1000,1,3.306036739999854,0.11962876299958225,2.4646729719993345,0.020024812999963615
1,32,0,0,MLPClassifier,1000,1,3.3485833670006286,0.047221076999903744,2.5143968684988067,0.006778200498956721
1,32,0,1,MLPClassifier,1000,1,3.5332697525004733,0.04582687250012896,2.5007003075020293,0.008966740500454762
1,32,1,0,MLPClassifier,1000,1,3.6455015654996714,0.057610256500538526,2.5273408889993334,0.01376361400116366
1,32,1,1,MLPClassifier,1000,1,3.3796958594998614,0.037822584500190715,2.473070006499256,0.0009894955010167905
1,32,1,0,MLPClassifier,1000,1,3.676655766500062,0.05081665650004652,2.535924970999986,0.015604600998813112
1,32,1,1,MLPClassifier,1000,1,3.353046387499944,0.029218705499715725,2.5022496624997075,0.0011809455008915393
1,32,0,0,MLPClassifier,1000,1,3.2864597190000495,0.01014901300004567,2.5414196535011797,0.017726130499795545
1,32,0,1,MLPClassifier,1000,1,3.750075177999861,0.15777946799971687,2.6136188874993422,0.045007051499396766
1,4,0,0,MLPClassifier,1000,1,3.2607056470001226,0.09219686999995247,2.4638838589989973,0.006167791001644218
1,4,0,0,MLPClassifier,1000,1,3.3045155320005506,0.000847549999889452,2.4938838825005405,0.01180529350267534
1,2,1,0,MLPClassifier,1000,1,3.3301153294996766,0.02172211349989084,2.479526089498904,0.019164430500495655
1,2,1,1,MLPClassifier,1000,1,3.2896128685001713,0.029837363500064384,2.4826981679998426,0.006946866998987389
1,2,0,0,MLPClassifier,1000,1,3.3222747120003078,0.03284934700013764,2.463751948998379,0.010944450999431865
1,2,0,1,MLPClassifier,1000,1,3.3746526345003076,0.05065848550020746,2.5113846100002775,0.02885190200049692
1,64,0,0,MLPClassifier,1000,1,3.3706581679998635,0.06780766900010349,2.4953278160014634,0.011008341999968252
1,64,0,0,MLPClassifier,1000,1,3.367829059500309,0.0035494255002959108,2.517869157000405,0.02435542200009877
1,8,1,1,MLPClassifier,1000,1,3.260516492499846,0.05702166450009827,2.47296243449955,0.01376961650157682
1,8,1,1,MLPClassifier,1000,1,3.2731654850003906,0.04384531399955449,2.480353426500187,0.03327032550259901
