point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,MLPClassifier,1000,1,15.647935266047716,7.245914671311637,0.007055085999985522,0.001263771723046109
0,32,0,1,MLPClassifier,1000,1,18.74425538498908,8.802068028497791,0.0071107227999817725,0.0008615706862015297
1,32,1,0,MLPClassifier,1000,1,15.9148211421445,9.134243170166286,0.006884752599995636,0.0010715491670727551
1,32,1,1,MLPClassifier,1000,1,23.896491627953946,13.94831926674508,0.008896996599969498,0.0019270909948328739
2,32,0,0,MLPClassifier,1000,1,12.328015930950642,5.738734985474286,0.006720944800065354,0.0005867648025028722
2,32,0,1,MLPClassifier,1000,1,13.819269057922066,8.273916247541724,0.005561495400047534,0.0007511896541925099
3,32,1,0,MLPClassifier,1000,1,16.292016746476293,4.89180991725218,0.0069408022000288835,0.0003305298033402228
3,32,1,1,MLPClassifier,1000,1,9.59946288857609,1.7212325434394007,0.005925383400267492,0.0005151249871385408
4,32,0,0,MLPClassifier,1000,1,9.095184931904077,1.8646647468936444,0.006935652800098069,0.0012371118820680904
4,32,0,1,MLPClassifier,1000,1,10.893795083090662,4.27204307137498,0.007133634000047096,0.0008112515472449895
0,32,0,0,MLPClassifier,2000,1,49.85183384269476,8.972323848833943,0.009501154800000222,0.0008702152561386998
0,32,0,1,MLPClassifier,2000,1,40.674569841846825,6.895206402885341,0.008261567199974706,0.0006181471294025009
1,32,1,0,MLPClassifier,2000,1,42.001654495298865,16.455773974298317,0.008179844199867147,0.0014617199488942243
1,32,1,1,MLPClassifier,2000,1,26.095180891267955,5.219025926482,0.007180351999886625,0.0007549533510723323
2,32,0,0,MLPClassifier,2000,1,25.69412788487971,6.252556193826595,0.007793454399870825,0.0006131359489920767
2,32,0,1,MLPClassifier,2000,1,34.660255475156006,3.3680434938953736,0.008378905199879227,0.0011650825478389918
3,32,1,0,MLPClassifier,2000,1,48.79335043504834,15.965666189395867,0.009192895000069257,0.0015913804676284612
3,32,1,1,MLPClassifier,2000,1,36.02706697341055,11.131801524009415,0.0089844097999503,0.0019894269231898803
4,32,0,0,MLPClassifier,2000,1,38.071587749943134,8.0386204784854,0.009396531400170716,0.0008932837521856119
4,32,0,1,MLPClassifier,2000,1,48.118833190202714,17.870627945510954,0.010721335399921372,0.0014077960055077165
0,32,0,0,MLPClassifier,4000,1,102.7647340407595,22.489620419896198,0.012084242799937783,0.0008061072931106833
0,32,0,1,MLPClassifier,4000,1,132.50009348522872,36.99569014400774,0.012410007400285394,0.001850760735903835
1,32,1,0,MLPClassifier,4000,1,138.45533905886114,19.876017169417292,0.011422293199120758,0.001284312375080033
1,32,1,1,MLPClassifier,4000,1,118.31741300858558,22.008635222286017,0.011689067398856423,0.0015870765231726929
2,32,0,0,MLPClassifier,4000,1,97.7324980713427,13.086151284994434,0.011258887600706657,0.001761394343561093
2,32,0,1,MLPClassifier,4000,1,148.3377448702231,40.12775267603055,0.013365936200352735,0.0031985169859877626
3,32,1,0,MLPClassifier,4000,1,53.180049383454026,23.413504947659924,0.005188496599294013,0.002314202936153612
3,32,1,1,MLPClassifier,4000,1,23.065158343501388,3.109400257081418,0.0028645089998462934,0.0005856911816265521
4,32,0,0,MLPClassifier,4000,1,20.908222281001507,0.5917209993675162,0.0024209015999076657,0.0003618195614184729
4,32,0,1,MLPClassifier,4000,1,25.667726192809642,1.5704379009432579,0.0017921414000738878,0.00043408796571980127
0,32,0,0,MLPClassifier,8000,1,54.94309438895434,2.585371500402936,0.002061216599031468,0.000203596665468527
0,32,0,1,MLPClassifier,8000,1,69.79585847985,1.7278530671639585,0.0022315951995551587,0.0003373289016691431
1,32,1,0,MLPClassifier,8000,1,71.9615975856781,1.6951575008520832,0.0020989394000935136,0.0003206258815921291
1,32,1,1,MLPClassifier,8000,1,55.68812279459089,1.8036559590052001,0.0020499869988270802,0.0001139916221477481
2,32,0,0,MLPClassifier,8000,1,56.12889410350472,0.8157651198368001,0.0020054304006407618,0.00013504788166957698
2,32,0,1,MLPClassifier,8000,1,73.38115116581321,5.409533912479612,0.0017726341999150463,9.010175364471731e-05
3,32,1,0,MLPClassifier,8000,1,66.30827845484018,1.6691865075641346,0.0017461748002460808,0.00019272672379159743
3,32,1,1,MLPClassifier,8000,1,55.57161252330989,1.584604345174337,0.0020572367979184492,0.0002404459833456979
4,32,0,0,MLPClassifier,8000,1,53.84372606873512,1.6252924647317901,0.0015940032000798965,0.00020842471510493815
4,32,0,1,MLPClassifier,8000,1,91.9322104120627,34.6765085893838,0.007955723400664283,0.007410471705120055
0,32,0,0,MLPClassifier,16000,1,540.1573739826679,32.2608426710896,0.015561235401037266,0.0023051868628779035
0,32,0,1,MLPClassifier,16000,1,874.6521946456284,289.3945007129522,0.018017380602032063,0.006265935531343945
1,32,1,0,MLPClassifier,16000,1,715.7065980097279,128.89830111317264,0.021856579199811675,0.004132318076103718
1,32,1,1,MLPClassifier,16000,1,364.7789602752775,136.09115671133532,0.014675629798148293,0.003136163018465464
2,32,0,0,MLPClassifier,16000,1,286.68713354151697,117.4686951529235,0.007383698203193489,0.004440016004185899
2,32,0,1,MLPClassifier,16000,1,677.603708357364,93.79921525444368,0.015393751396914013,0.003057682160096973
3,32,1,0,MLPClassifier,16000,1,748.4891325050964,83.77014821389594,0.014182673394680023,0.0017195327814034335
3,32,1,1,MLPClassifier,16000,1,425.36851679589597,82.58711285102592,0.011288595794758294,0.0017925179035814713
4,32,0,0,MLPClassifier,16000,1,227.710915841721,61.378943540019755,0.005670911801280454,0.0035038499572490295
4,32,0,1,MLPClassifier,16000,1,238.6087645540014,12.572021568490147,0.0023181189979368357,6.863242586347871e-05
0,32,0,0,MLPClassifier,1000,2,2.520500450953841,0.06943256940661534,1.0730539033997046,0.024726345725020835
0,32,0,1,MLPClassifier,1000,2,2.7996333315968513,0.11137165850179191,1.073153172207094,0.019251401417555936
1,32,1,0,MLPClassifier,1000,2,2.7692740010097623,0.07843422575457008,1.0894408468047914,0.04307353866298344
1,32,1,1,MLPClassifier,1000,2,2.520694279484451,0.11039435826682956,1.0560368642043614,0.03955814214446648
2,32,0,0,MLPClassifier,1000,2,2.4190622225403784,0.13522014529706647,1.041957644595095,0.04413170803523124
2,32,0,1,MLPClassifier,1000,2,2.796017483621836,0.10631385435460683,1.047651684397715,0.03247563741732577
3,32,1,0,MLPClassifier,1000,2,2.821844983100891,0.18416081307367274,1.1176525430048059,0.05447271099499831
3,32,1,1,MLPClassifier,1000,2,2.610998864658177,0.07066987228059818,1.0780738122011826,0.02854563301804279
4,32,0,0,MLPClassifier,1000,2,2.5153083058074115,0.17609477313494257,1.0808280908007872,0.05020191309883837
4,32,0,1,MLPClassifier,1000,2,2.6964604625478388,0.16085923470796978,1.0934966043976602,0.01944478434675265
0,32,0,0,MLPClassifier,2000,2,5.964975836314261,0.17789964308373118,1.9516629919962725,0.06962154382161835
0,32,0,1,MLPClassifier,2000,2,7.032425653375685,0.2274634305382511,1.9635610103920045,0.05893817462393256
1,32,1,0,MLPClassifier,2000,2,7.017701706290245,0.602452861469483,1.9159786360047293,0.03796688376732794
1,32,1,1,MLPClassifier,2000,2,5.990101058222353,0.280767331354351,1.9226598970017221,0.11449455292399406
2,32,0,0,MLPClassifier,2000,2,5.913314133696258,0.17300990592685406,1.843559458796517,0.034706006538921634
2,32,0,1,MLPClassifier,2000,2,6.549266004376113,0.27481787867062596,1.8824606583963033,0.054900774183673104
3,32,1,0,MLPClassifier,2000,2,6.998361653089523,0.14222020838326893,1.9108066278029583,0.056539270652613785
3,32,1,1,MLPClassifier,2000,2,5.874527576938272,0.2705705083559792,1.8464714523965085,0.022918447892165777
4,32,0,0,MLPClassifier,2000,2,5.945167402923107,0.14900117352445344,1.8462191310070921,0.07319355679960551
4,32,0,1,MLPClassifier,2000,2,6.849102100543678,0.471875051311601,1.8957721571947332,0.03845581582747571
0,32,0,0,MLPClassifier,4000,2,15.836649651825429,0.46792127339474426,3.7112161347977235,0.09237242420702096
0,32,0,1,MLPClassifier,4000,2,19.87956828828901,1.0180121429485978,3.923607052193256,0.16773980551027973
1,32,1,0,MLPClassifier,4000,2,19.26782882940024,0.624566148018129,3.8681423844042,0.1907613447449018
1,32,1,1,MLPClassifier,4000,2,16.03568904772401,0.7682107039349181,3.671930936600256,0.0621812720425936
2,32,0,0,MLPClassifier,4000,2,15.655620538070798,0.35771260562380314,3.7753003868085218,0.1392423968654392
2,32,0,1,MLPClassifier,4000,2,19.427421481721105,0.6045963206105684,3.6597376475983765,0.061975904684722
3,32,1,0,MLPClassifier,4000,2,19.133322443068028,0.5755440953503582,3.89725466419186,0.18860262415753182
3,32,1,1,MLPClassifier,4000,2,15.862507612630726,0.9799439214150227,3.7741800570045596,0.08146008479399836
4,32,0,0,MLPClassifier,4000,2,15.660360483825206,0.6356259231448599,3.7522339175993693,0.050850273922873536
4,32,0,1,MLPClassifier,4000,2,20.376195553690195,0.6899736263066474,3.717187666792597,0.058954849829032076
0,32,0,0,MLPClassifier,8000,2,49.303037512116134,1.928269681404761,7.392800178809557,0.12807268161773522
0,32,0,1,MLPClassifier,8000,2,62.81026472505182,3.65326173921082,7.655224764200102,0.34219771259495924
1,32,1,0,MLPClassifier,8000,2,60.63065546378493,1.2055745005653011,7.3863650230036,0.1653295549695838
1,32,1,1,MLPClassifier,8000,2,48.91110151447356,1.541340940344809,7.529142840401619,0.38047843384517677
2,32,0,0,MLPClassifier,8000,2,49.25763566028327,1.1882508178933158,7.440879538599984,0.1967449211079864
2,32,0,1,MLPClassifier,8000,2,59.27916244510561,0.7837371195978714,7.637055507201876,0.425816519257977
3,32,1,0,MLPClassifier,8000,2,60.94712408836931,2.2247783111126385,7.671857717591047,0.2788660918742406
3,32,1,1,MLPClassifier,8000,2,51.40258506126702,3.0754567099898384,7.416426373393915,0.11017465264429326
4,32,0,0,MLPClassifier,8000,2,48.19117453936487,2.4053994949196214,7.404797450000478,0.07447959928143057
4,32,0,1,MLPClassifier,8000,2,65.01493969373405,2.3250211755850887,7.449974245595513,0.15531121464864192
