point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,MLPClassifier,1000,1,1.631730190012604,0.007641000207513571,0.00012144849999806695,2.2934999979185022e-06
0,32,0,1,MLPClassifier,1000,1,1.574870890006423,0.025142506696283817,0.00010539799999698118,1.2894999999346624e-05
1,32,1,0,MLPClassifier,1000,1,1.5824871738441288,0.055604000110179186,0.00011030249999954833,1.5937500000617888e-05
1,32,1,1,MLPClassifier,1000,1,1.6256591035053134,0.001525338739156723,0.00011046800000258372,1.5298000008101553e-05
2,32,0,0,MLPClassifier,1000,1,1.6200139950960875,0.023430931381881237,0.00011201499999735631,2.347099999688851e-05
2,32,0,1,MLPClassifier,1000,1,1.578133248258382,0.005805813241750002,0.00010526950000411261,9.418499999469532e-06
3,32,1,0,MLPClassifier,1000,1,1.5460238684900105,0.014298065099865198,0.00010852800000193952,1.3649000006665801e-05
3,32,1,1,MLPClassifier,1000,1,1.636353487148881,0.0194384278729558,0.00011152949999981843,3.7474999992070934e-06
4,32,0,0,MLPClassifier,1000,1,1.6145954448729753,0.024795806035399437,0.00011355949999369841,8.875000077068762e-07
4,32,0,1,MLPClassifier,1000,1,1.5621673753485084,0.000796034000813961,0.00010437050000433601,9.142500012160326e-06
0,32,0,0,MLPClassifier,2000,1,3.960580995772034,0.04075293382629752,0.00014990600000430732,7.450000012454439e-07
0,32,0,1,MLPClassifier,2000,1,3.7208433533087373,0.02229876071214676,0.00015138100000200438,4.322999998862542e-06
1,32,1,0,MLPClassifier,2000,1,3.6979286409914494,0.017551856115460396,0.0001672884999734947,1.489499986462306e-06
1,32,1,1,MLPClassifier,2000,1,3.9051497536711395,0.03423255821689963,0.00015637950001945455,2.47050000012905e-06
2,32,0,0,MLPClassifier,2000,1,3.9793779528699815,0.03881390346214175,0.00015781600003350604,5.972000018061863e-06
2,32,0,1,MLPClassifier,2000,1,3.737061506137252,0.01045363862067461,0.00015988050002135878,1.804499987656527e-06
3,32,1,0,MLPClassifier,2000,1,3.764468521811068,0.030784500762820244,0.0001614274999823806,6.450000711311077e-08
3,32,1,1,MLPClassifier,2000,1,3.9987392728216946,0.0004200688563287258,0.00018236200000387726,1.5588999985993723e-05
4,32,0,0,MLPClassifier,2000,1,4.034067716449499,0.02985729742795229,0.00016477750000376545,9.62499981937981e-07
4,32,0,1,MLPClassifier,2000,1,3.7592609277926385,0.006241837050765753,0.0001609460000082663,1.429999998947551e-05
0,32,0,0,MLPClassifier,4000,1,10.804948524106294,0.04512427980080247,0.0002811809999769821,2.9429000008462936e-05
0,32,0,1,MLPClassifier,4000,1,10.01321464870125,0.06992350798100233,0.0002772005000082345,2.1745000395867464e-06
1,32,1,0,MLPClassifier,4000,1,9.776776859536767,0.02989478036761284,0.00026964000002749344,2.2426000015229874e-05
1,32,1,1,MLPClassifier,4000,1,10.942926883231848,0.1354909441433847,0.00027134499995895567,8.700000023509347e-06
2,32,0,0,MLPClassifier,4000,1,10.855357897933573,0.15063529321923852,0.00028360100000668353,2.9324999985647082e-05
2,32,0,1,MLPClassifier,4000,1,9.910826821345836,0.07674191566184163,0.00026895550000460844,3.984999494832664e-07
3,32,1,0,MLPClassifier,4000,1,10.1375019303523,0.01930136000737548,0.00027762449997226213,9.851500010427117e-06
3,32,1,1,MLPClassifier,4000,1,10.973790682852268,0.0032246001064777374,0.00028294549997553986,2.446149994739244e-05
4,32,0,0,MLPClassifier,4000,1,10.846987271681428,0.06913437694311142,0.0002660709999986466,3.245999948831013e-06
4,32,0,1,MLPClassifier,4000,1,9.813164486549795,0.012264160439372063,0.00027404450003132297,3.451549997635084e-05
0,32,0,0,MLPClassifier,8000,1,33.90095314569771,0.15460256673395634,0.00046034650003434763,3.2420499991303586e-05
0,32,0,1,MLPClassifier,8000,1,29.93086605006829,0.13909876393154263,0.00047468099998582147,2.7520999907437727e-05
1,32,1,0,MLPClassifier,8000,1,29.26507192477584,0.05166729539632797,0.0005262084999060335,9.155500009683237e-06
1,32,1,1,MLPClassifier,8000,1,33.68959645368159,0.15453965868800879,0.0005232124998997278,1.632150002706112e-05
2,32,0,0,MLPClassifier,8000,1,33.62633473565802,0.37520482623949647,0.0005641880001121535,8.394000019507075e-06
2,32,0,1,MLPClassifier,8000,1,29.556526300963014,0.14800547575578094,0.0005481144999635035,6.41849993598953e-06
3,32,1,0,MLPClassifier,8000,1,29.61925602843985,0.20086105959489942,0.0005358610000598674,5.44600010243812e-06
3,32,1,1,MLPClassifier,8000,1,33.3330855933018,0.14581177150830626,0.0006578284999818607,8.536449996654483e-05
4,32,0,0,MLPClassifier,8000,1,33.48769418988377,0.03721022605895996,0.0005901760000597278,8.944999990490032e-06
4,32,0,1,MLPClassifier,8000,1,29.49029770679772,0.19594093039631844,0.0005765110000766072,2.2370001033777953e-06
0,32,0,0,MLPClassifier,16000,1,113.69538808893412,1.1040622144937515,0.0009768180003106863,2.480999967247044e-06
0,32,0,1,MLPClassifier,16000,1,99.42351766116917,0.4725411795079708,0.0010000259998150796,2.0208999671922356e-05
1,32,1,0,MLPClassifier,16000,1,97.0154788675718,0.30140922544524074,0.0012679374998469939,0.0002079695003658344
