point,features,class,target,classifier,population_size,workers,time,ptime
0,64,1,0,MLPClassifier,1000,1,4.027994307689369,1.5719614727422595
0,64,1,1,MLPClassifier,1000,1,3.9612185079604387,1.579686775803566
1,64,0,0,MLPClassifier,1000,1,3.81645704805851,1.57365557923913
1,64,0,1,MLPClassifier,1000,1,4.033534495159984,1.625219302251935
0,64,1,0,MLPClassifier,2000,1,10.197757246904075,3.357402363792062
0,64,1,1,MLPClassifier,2000,1,9.604469511657953,3.136051556095481
1,64,0,0,MLPClassifier,2000,1,9.689138951711357,3.215150184929371
1,64,0,1,MLPClassifier,2000,1,11.326971084810793,3.367621992714703
0,64,1,0,MLPClassifier,4000,1,25.675646393559873,6.611727767623961
0,64,1,1,MLPClassifier,4000,1,25.754265198484063,6.3365127593278885
1,64,0,0,MLPClassifier,4000,1,27.312780359759927,6.510317315347493
1,64,0,1,MLPClassifier,4000,1,25.708153487183154,6.372937131673098
0,64,1,0,MLPClassifier,8000,1,74.9126209365204,12.795917833223939
0,64,1,1,MLPClassifier,8000,1,89.32653210870922,13.329728160053492
1,64,0,0,MLPClassifier,8000,1,88.11227969545871,13.311153206042945
1,64,0,1,MLPClassifier,8000,1,78.14463017694652,12.911466423422098
0,64,1,0,MLPClassifier,16000,1,275.5079434495419,26.851169530302286
0,64,1,1,MLPClassifier,16000,1,354.98767587170005,26.679299764335155
1,64,0,0,MLPClassifier,16000,1,391.93227167241275,26.86289368569851
1,64,0,1,MLPClassifier,16000,1,268.12715574074537,26.90762789361179
0,64,1,0,MLPClassifier,1000,2,3.9953335598111153,1.413759191520512
0,64,1,1,MLPClassifier,1000,2,3.9451757734641433,1.446172395721078
1,64,0,0,MLPClassifier,1000,2,3.908531096763909,1.4580862782895565
1,64,0,1,MLPClassifier,1000,2,3.935784511268139,1.4004887118935585
0,64,1,0,MLPClassifier,2000,2,9.064143921248615,2.809190704487264
0,64,1,1,MLPClassifier,2000,2,9.562212481163442,2.8630778659135103
1,64,0,0,MLPClassifier,2000,2,9.191449825651944,2.8400063263252378
1,64,0,1,MLPClassifier,2000,2,9.292123231105506,2.8272701827809215
0,64,1,0,MLPClassifier,4000,2,24.34745193645358,5.612954595126212
0,64,1,1,MLPClassifier,4000,2,26.234770162962377,5.634264905937016
1,64,0,0,MLPClassifier,4000,2,26.991581895388663,5.793665776029229
1,64,0,1,MLPClassifier,4000,2,28.026644711382687,6.681276723742485
0,64,1,0,MLPClassifier,8000,2,77.46494330465794,12.333388372324407
0,64,1,1,MLPClassifier,8000,2,84.63478526938707,11.569038959220052
1,64,0,0,MLPClassifier,8000,2,87.00149455480278,11.508581072092056
1,64,0,1,MLPClassifier,8000,2,75.6418298529461,11.694322659634054
0,64,1,0,MLPClassifier,16000,2,267.72273790091276,24.064715119078755
0,64,1,1,MLPClassifier,16000,2,345.24860310647637,24.55256136972457
1,64,0,0,MLPClassifier,16000,2,396.87609631661326,24.22841683216393
1,64,0,1,MLPClassifier,16000,2,269.1782122887671,23.905802075751126
0,64,1,0,MLPClassifier,1000,4,4.200930591672659,1.567132867872715
0,64,1,1,MLPClassifier,1000,4,4.1524974051862955,1.6147459093481302
1,64,0,0,MLPClassifier,1000,4,4.035345220938325,1.4848200427368283
1,64,0,1,MLPClassifier,1000,4,3.9770913971588016,1.5080655924975872
0,64,1,0,MLPClassifier,2000,4,9.197484757751226,2.835260153748095
0,64,1,1,MLPClassifier,2000,4,9.201551640406251,2.724842890165746
1,64,0,0,MLPClassifier,2000,4,9.945294795557857,2.9194447603076696
1,64,0,1,MLPClassifier,2000,4,10.322144260630012,3.616951731964946
0,64,1,0,MLPClassifier,4000,4,26.031256953254342,5.6461424035951495
0,64,1,1,MLPClassifier,4000,4,24.791656078770757,5.090197742916644
1,64,0,0,MLPClassifier,4000,4,24.740374732762575,5.336347718723118
1,64,0,1,MLPClassifier,4000,4,23.635709582827985,5.2113879239186645
0,64,1,0,MLPClassifier,8000,4,74.52236253768206,10.285786599852145
0,64,1,1,MLPClassifier,8000,4,80.48848127573729,10.245278283022344
1,64,0,0,MLPClassifier,8000,4,78.78895485494286,10.25939726550132
1,64,0,1,MLPClassifier,8000,4,84.38368092291057,11.441032631322742
