point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,MLPClassifier,2000,1,2.6957419475003754,0.009380842499895348,0.00012863000000118419,2.2233999998011456e-05
0,32,0,1,MLPClassifier,2000,1,2.499072881499913,0.006187719499923361,0.00010568000000432676,7.669999995130183e-07
1,32,1,0,MLPClassifier,2000,1,2.3769623259998305,0.026473573000732387,0.00010415150000042672,7.165000006637001e-07
1,32,1,1,MLPClassifier,2000,1,2.637519200999744,0.01363954500029152,0.00011502050000089525,2.954500001095539e-06
0,32,0,0,MLPClassifier,8000,1,22.02121992600029,0.023710939999947556,0.0003455615000014234,3.337500000810678e-06
0,32,0,1,MLPClassifier,8000,1,19.738859154499664,0.11851515650037925,0.00034029450000616634,4.376500001512795e-06
1,32,1,0,MLPClassifier,8000,1,17.690510255500364,0.32120462849986353,0.000338021500034813,9.305000006065711e-07
1,32,1,1,MLPClassifier,8000,1,22.084935594999735,0.2714819100003183,0.00034568050003258577,3.849999075100641e-08
0,32,0,0,MLPClassifier,2000,4,2.6747679000001696,0.08254908200016886,0.46125,0.013749999999999984
0,32,0,1,MLPClassifier,2000,4,2.5845219584996446,0.007474402499974664,0.47875,0.006249999999999978
1,32,1,0,MLPClassifier,2000,4,2.4403281359997164,0.06884000799962453,0.495,0.030000000000000027
1,32,1,1,MLPClassifier,2000,4,2.691474322000195,0.14130851100007935,0.49,0.05000000000000002
0,32,0,0,MLPClassifier,8000,4,21.405842101500454,0.06272856450010345,1.7687499999999998,0.028750000000000164
0,32,0,1,MLPClassifier,8000,4,19.443584501000004,0.10962380699987939,1.81375,0.03375000000000017
1,32,1,0,MLPClassifier,8000,4,17.12904460799966,0.1901394039997637,1.795,0.015000000000000013
1,32,1,1,MLPClassifier,8000,4,21.345008604500343,0.15707080349993596,1.7750000000000001,0.04999999999999982
0,32,0,0,MLPClassifier,2000,14,2.98306806285677,0.012612309428571278,0.22785714285714292,0.0014285714285714318
0,32,0,1,MLPClassifier,2000,14,2.5534579689284174,0.1269557423569001,0.19892857142857145,0.015357142857142847
1,32,1,0,MLPClassifier,2000,14,2.5440855879288415,0.02904033892833735,0.21892857142857147,0.003928571428571434
1,32,1,1,MLPClassifier,2000,14,2.7216363957857435,0.05490911007114585,0.19928571428571432,0.0035714285714285587
0,32,0,0,MLPClassifier,8000,14,20.47795330457111,0.14363200442834767,0.5935714285714286,0.046428571428571375
0,32,0,1,MLPClassifier,8000,14,18.171361934143036,0.09985121128568508,0.5971428571428573,0.03928571428571426
1,32,1,0,MLPClassifier,8000,14,16.064550212714323,0.01569237285741565,0.5882142857142857,0.04535714285714276
1,32,1,1,MLPClassifier,8000,14,20.00226619128555,0.06964264942822673,0.5767857142857145,0.046071428571428485
