point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,64,1,0,RandomForestClassifier,4000,1,154.0107434825,0.036036383499990166,0.0007306110000229182,1.0970000005272595e-05
0,64,1,1,RandomForestClassifier,4000,1,154.92848059699995,0.2222625070001243,0.0007326699999339326,4.383000145935512e-06
1,64,0,0,RandomForestClassifier,4000,1,155.27341148699986,0.14694391099999393,0.0007626504998938799,1.697149997426095e-05
1,64,0,1,RandomForestClassifier,4000,1,156.52727193449965,0.9445462925002062,0.0007301229996983238,1.0936000194305961e-05
2,64,0,0,RandomForestClassifier,4000,1,155.19699957900002,0.10552628100049333,0.000731057000052715,1.7169996908705798e-06
2,64,0,1,RandomForestClassifier,4000,1,154.31149077200007,1.16657883400012,0.00075361300014265,8.625999953437713e-06
3,64,0,0,RandomForestClassifier,4000,1,154.67375129900051,0.11450837000029424,0.0007366225005398519,1.3245499872027722e-05
3,64,0,1,RandomForestClassifier,4000,1,153.41350114450006,0.28674036049960705,0.0007355650000135938,1.294899948334205e-05
4,64,1,0,RandomForestClassifier,4000,1,153.62851749050037,0.221809187500412,0.0007416105001993856,9.805005447560688e-07
4,64,1,1,RandomForestClassifier,4000,1,154.40630455899986,0.30994067799952063,0.0007759054997222847,9.614996088203043e-07
0,4,0,0,RandomForestClassifier,4000,1,154.89143362899927,0.5311507309991157,0.0007337114993788418,2.1183500848565018e-05
0,4,0,1,RandomForestClassifier,4000,1,155.72260243500045,0.3726485329987099,0.000601922500436558,6.912450112395163e-05
1,4,1,0,RandomForestClassifier,4000,1,154.6401314760003,1.1375025760005428,0.0005798165002488531,3.080749957007356e-05
1,4,1,1,RandomForestClassifier,4000,1,156.59527000700132,0.598687796999684,0.0006352160010010266,6.475599980149127e-05
2,4,1,0,RandomForestClassifier,4000,1,157.36723235750105,0.33406232350080245,0.0007410505008920154,3.895499048667261e-06
2,4,1,1,RandomForestClassifier,4000,1,154.77143213949967,0.027714267499504786,0.0007139714998629643,1.7513500097265933e-05
3,4,0,0,RandomForestClassifier,4000,1,157.07872125700032,1.391780123000899,0.0007131800002753153,1.0538999049458653e-05
3,4,0,1,RandomForestClassifier,4000,1,154.31204304649918,0.8396664295009941,0.000697548499374534,5.119499292050023e-06
4,4,1,0,RandomForestClassifier,4000,1,155.11180711849966,0.05924092649956947,0.0007003544997132849,7.895499948062934e-06
4,4,1,1,RandomForestClassifier,4000,1,155.57770836499685,0.3941368989994771,0.000694040997132106,6.241999926714925e-06
0,2,1,0,RandomForestClassifier,4000,1,156.60290880699995,1.4228533610012164,0.0007025284994597314,4.209950111544458e-05
0,2,1,1,RandomForestClassifier,4000,1,155.144968400999,0.9201108330012175,0.0006876449992887501,1.2377000984997721e-05
1,2,0,0,RandomForestClassifier,4000,1,155.65950833849956,0.7179987535014334,0.000760270999307977,1.6485998457937967e-05
1,2,0,1,RandomForestClassifier,4000,1,161.1522321504999,0.9130232695006271,0.0007130369999686081,9.467999461776344e-06
2,2,0,0,RandomForestClassifier,4000,1,156.20492062749918,0.5786794554992412,0.0006912714993632108,1.5075006558618043e-06
2,2,0,1,RandomForestClassifier,4000,1,158.8034683099986,0.8775194439995175,0.0007221599985314242,1.5414000245073112e-05
3,2,1,0,RandomForestClassifier,4000,1,157.3541356729993,1.3314327150010286,0.0006946379985492968,9.102999229071429e-06
3,2,1,1,RandomForestClassifier,4000,1,154.82115757599968,0.3979642220037931,0.0007583479991808417,1.811100355553208e-05
4,2,0,0,RandomForestClassifier,4000,1,157.34479768999972,0.701090525998552,0.0007628040002600756,9.392000720254146e-06
4,2,0,1,RandomForestClassifier,4000,1,156.1658438634986,1.5792187244987872,0.0007525964992964873,2.792750092339702e-05
0,32,0,0,RandomForestClassifier,4000,1,154.54399594250117,0.7849259865006388,0.0007443560016326956,1.1290999282209668e-05
0,32,0,1,RandomForestClassifier,4000,1,154.70620319400132,0.08472467599949596,0.0006830325010014349,6.552499144163448e-06
1,32,1,0,RandomForestClassifier,4000,1,154.8577801495021,1.08830821149877,0.000681044001794362,4.137299856665777e-05
