point,features,class,target,classifier,population_size,workers,time,ptime
0,64,1,0,RandomForestClassifier,1000,1,108.031012848,52.81849845200001
0,64,1,1,RandomForestClassifier,1000,1,111.369647349,54.47541054899999
1,64,0,0,RandomForestClassifier,1000,1,109.22226243200004,53.51091551700003
1,64,0,1,RandomForestClassifier,1000,1,105.94913082399998,51.781345553999984
0,64,1,0,RandomForestClassifier,2000,1,213.762380624,103.90220194900002
0,64,1,1,RandomForestClassifier,2000,1,214.02420468900004,104.00602614500002
1,64,0,0,RandomForestClassifier,2000,1,219.82109368100004,106.69192176600001
1,64,0,1,RandomForestClassifier,2000,1,216.89456213500011,105.1723460820001
0,64,1,0,RandomForestClassifier,4000,1,442.794405731,212.594229305
0,64,1,1,RandomForestClassifier,4000,1,441.0007947459994,210.3391195409995
1,64,0,0,RandomForestClassifier,4000,1,467.8700285739999,224.49259908199997
1,64,0,1,RandomForestClassifier,4000,1,454.14778054399994,216.23515270899998
0,64,1,0,RandomForestClassifier,8000,1,906.4226965539997,424.9650193919995
0,64,1,1,RandomForestClassifier,8000,1,913.1627802580001,420.5334315690002
1,64,0,0,RandomForestClassifier,8000,1,910.4025044029981,421.93232578699826
1,64,0,1,RandomForestClassifier,8000,1,925.4561790529997,425.4374339199999
0,64,1,0,RandomForestClassifier,16000,1,1939.5807376589996,865.6281145999997
0,64,1,1,RandomForestClassifier,16000,1,2002.3375122060006,846.1597593530005
1,64,0,0,RandomForestClassifier,16000,1,2011.898975594001,859.5154232210016
1,64,0,1,RandomForestClassifier,16000,1,1976.7934898230042,848.0668116230036
0,64,1,0,RandomForestClassifier,1000,2,34.97650674800036,28.12
0,64,1,1,RandomForestClassifier,1000,2,34.2646147089998,27.590000000000007
1,64,0,0,RandomForestClassifier,1000,2,33.54043656199977,28.039999999999996
1,64,0,1,RandomForestClassifier,1000,2,34.06516078800065,28.259999999999998
0,64,1,0,RandomForestClassifier,2000,2,66.4715171790005,55.699999999999996
0,64,1,1,RandomForestClassifier,2000,2,67.56439251000013,55.08999999999999
1,64,0,0,RandomForestClassifier,2000,2,65.68000160699978,54.88999999999999
1,64,0,1,RandomForestClassifier,2000,2,67.88443599399932,55.13
0,64,1,0,RandomForestClassifier,4000,2,132.11334736799995,108.51
0,64,1,1,RandomForestClassifier,4000,2,136.87522340000027,108.92
1,64,0,0,RandomForestClassifier,4000,2,139.19799467300086,111.16
1,64,0,1,RandomForestClassifier,4000,2,137.0128229129984,108.68
0,64,1,0,RandomForestClassifier,8000,2,287.0431044789999,216.17999999999995
0,64,1,1,RandomForestClassifier,8000,2,305.9774973609997,217.26999999999998
1,64,0,0,RandomForestClassifier,8000,2,308.9444545550004,220.20999999999998
1,64,0,1,RandomForestClassifier,8000,2,316.30256729499933,222.48000000000002
0,64,1,0,RandomForestClassifier,16000,2,654.9572352270005,419.7600000000001
0,64,1,1,RandomForestClassifier,16000,2,753.4268549040005,428.26
1,64,0,0,RandomForestClassifier,16000,2,736.6655398809996,428.18000000000006
1,64,0,1,RandomForestClassifier,16000,2,753.7447385530002,425.3900000000001
0,64,1,0,RandomForestClassifier,1000,4,24.185319338001577,15.730000000000002
0,64,1,1,RandomForestClassifier,1000,4,23.418216049999828,15.36
1,64,0,0,RandomForestClassifier,1000,4,22.637756642000603,15.289999999999997
1,64,0,1,RandomForestClassifier,1000,4,22.747196417999586,15.370000000000001
0,64,1,0,RandomForestClassifier,2000,4,40.89994104899989,28.819999999999997
0,64,1,1,RandomForestClassifier,2000,4,40.92292332099998,28.369999999999997
1,64,0,0,RandomForestClassifier,2000,4,40.35798274499962,27.99000000000001
1,64,0,1,RandomForestClassifier,2000,4,40.82918512399977,28.389999999999993
0,64,1,0,RandomForestClassifier,4000,4,79.7979258929997,54.22
0,64,1,1,RandomForestClassifier,4000,4,81.64287732899902,54.50000000000001
1,64,0,0,RandomForestClassifier,4000,4,84.23312055100098,54.87000000000001
1,64,0,1,RandomForestClassifier,4000,4,82.89255755600033,54.180000000000014
0,64,1,0,RandomForestClassifier,8000,4,179.1639794909998,107.79
0,64,1,1,RandomForestClassifier,8000,4,191.87539276799964,107.81000000000004
1,64,0,0,RandomForestClassifier,8000,4,194.81798086599912,108.07000000000001
1,64,0,1,RandomForestClassifier,8000,4,187.96075691999908,108.77999999999996
0,64,1,0,RandomForestClassifier,16000,4,450.3420836980008,212.73
0,64,1,1,RandomForestClassifier,16000,4,542.9240483309998,213.35999999999996
1,64,0,0,RandomForestClassifier,16000,4,545.7156938329999,214.95999999999998
1,64,0,1,RandomForestClassifier,16000,4,533.7935880550008,214.44
0,64,1,0,RandomForestClassifier,1000,8,22.482651022000866,10.92
0,64,1,1,RandomForestClassifier,1000,8,21.42599249899984,10.430000000000001
1,64,0,0,RandomForestClassifier,1000,8,21.627212337999303,10.300000000000004
1,64,0,1,RandomForestClassifier,1000,8,21.76461780200014,10.43
0,64,1,0,RandomForestClassifier,2000,8,38.64083628699868,16.84
0,64,1,1,RandomForestClassifier,2000,8,34.80745631400016,16.320000000000004
1,64,0,0,RandomForestClassifier,2000,8,40.29359588700092,16.47
1,64,0,1,RandomForestClassifier,2000,8,35.1710334600004,16.950000000000003
0,64,1,0,RandomForestClassifier,4000,8,66.65389643000024,28.980000000000008
0,64,1,1,RandomForestClassifier,4000,8,69.22911958799929,28.979999999999997
1,64,0,0,RandomForestClassifier,4000,8,70.20085011899988,29.06
1,64,0,1,RandomForestClassifier,4000,8,65.0514982329993,28.89
0,64,1,0,RandomForestClassifier,8000,8,132.50031221099977,55.30999999999999
0,64,1,1,RandomForestClassifier,8000,8,140.8357284329993,55.510000000000005
1,64,0,0,RandomForestClassifier,8000,8,142.28959491399826,55.59000000000002
1,64,0,1,RandomForestClassifier,8000,8,145.55391739900108,55.37000000000001
0,64,1,0,RandomForestClassifier,16000,8,340.7759060619993,108.58000000000001
0,64,1,1,RandomForestClassifier,16000,8,445.55955097600116,110.14000000000003
1,64,0,0,RandomForestClassifier,16000,8,448.4239001460014,109.47999999999999
1,64,0,1,RandomForestClassifier,16000,8,400.8017271259996,109.07999999999996
0,64,1,0,RandomForestClassifier,1000,16,35.45245071300022,5.780000000000001
0,64,1,1,RandomForestClassifier,1000,16,25.40034570200129,6.5600000000000005
1,64,0,0,RandomForestClassifier,1000,16,34.69250498399888,5.8500000000000005
1,64,0,1,RandomForestClassifier,1000,16,24.445438885999682,6.239999999999999
0,64,1,0,RandomForestClassifier,2000,16,34.877125535998715,10.840000000000002
0,64,1,1,RandomForestClassifier,2000,16,33.583150248000166,10.14
1,64,0,0,RandomForestClassifier,2000,16,35.24055494299988,10.360000000000003
1,64,0,1,RandomForestClassifier,2000,16,35.7449483380001,10.02
0,64,1,0,RandomForestClassifier,4000,16,68.73141448699964,16.92
0,64,1,1,RandomForestClassifier,4000,16,71.35084551100081,16.650000000000002
1,64,0,0,RandomForestClassifier,4000,16,59.97574709499874,17.51
1,64,0,1,RandomForestClassifier,4000,16,59.33465873099958,17.55
0,64,1,0,RandomForestClassifier,8000,16,116.56496169700004,32.10000000000001
0,64,1,1,RandomForestClassifier,8000,16,141.74893685000018,29.870000000000005
1,64,0,0,RandomForestClassifier,8000,16,139.88778150800005,31.060000000000006
1,64,0,1,RandomForestClassifier,8000,16,131.91097886700155,31.150000000000002
0,64,1,0,RandomForestClassifier,16000,16,318.2540788539992,58.41
0,64,1,1,RandomForestClassifier,16000,16,399.6220034550006,57.49999999999999
1,64,0,0,RandomForestClassifier,16000,16,421.3253681700008,58.57999999999999
1,64,0,1,RandomForestClassifier,16000,16,388.77261269400066,56.79
0,64,1,0,RandomForestClassifier,1000,32,35.8988803530005,4.440000000000002
0,64,1,1,RandomForestClassifier,1000,32,37.90073326299986,4.71
1,64,0,0,RandomForestClassifier,1000,32,36.43105081300099,4.630000000000001
1,64,0,1,RandomForestClassifier,1000,32,34.59046779300035,4.369999999999999
0,64,1,0,RandomForestClassifier,2000,32,64.7755412700001,6.280000000000002
0,64,1,1,RandomForestClassifier,2000,32,46.408354048999605,6.4799999999999995
1,64,0,0,RandomForestClassifier,2000,32,56.988804982999284,6.060000000000001
1,64,0,1,RandomForestClassifier,2000,32,43.62598239099949,6.210000000000001
