point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,64,1,0,SVC,4000,1,13.879767145500002,0.062213114499995115,0.000364323000001221,1.1570999996379783e-05
0,64,1,1,SVC,4000,1,14.486044540999995,0.12412095299999848,0.0003947804999988591,1.3846499999914386e-05
1,64,0,0,SVC,4000,1,14.279282826999967,0.08704012599998379,0.0003522754999707445,1.3652500022942604e-05
1,64,0,1,SVC,4000,1,13.680842133999988,0.013337626000009095,0.00036908199998464397,2.6730000044494773e-06
2,64,0,0,SVC,4000,1,14.327981927000053,0.04198772800000938,0.0003846910000504522,2.7291000009199706e-05
2,64,0,1,SVC,4000,1,13.825359953499998,0.07455118150005546,0.0003772340000125496,1.2468999955217441e-05
3,64,1,0,SVC,4000,1,13.391855602999996,5.1736000003188565e-05,0.0003645999999974947,9.292000001437373e-06
3,64,1,1,SVC,4000,1,14.217462781500004,0.13659938850001652,0.00038780700000984325,4.067999981316461e-06
4,64,1,0,SVC,4000,1,13.260156329000054,0.011362470000037206,0.00035555300004830315,6.316000025208268e-06
4,64,1,1,SVC,4000,1,14.324443868500026,0.3310491265000053,0.0003747080000380265,2.7290000161883654e-06
0,4,0,0,SVC,4000,1,13.013141033999943,0.31723678599996674,0.0003313514999376821,1.4575500017599552e-05
0,4,0,1,SVC,4000,1,12.56201505849998,0.14125267250000206,0.00035166049997314985,1.8634999605637859e-06
1,4,1,0,SVC,4000,1,12.5797298775,0.014694322499991586,0.00035042249999150954,5.154500001935958e-06
1,4,1,1,SVC,4000,1,13.605361973500095,0.09190039849991649,0.00037899650010331243,2.3540500080798665e-05
2,4,1,0,SVC,4000,1,13.209810591499945,0.13750777349997634,0.00034701699993888724,9.769999849140731e-07
2,4,1,1,SVC,4000,1,13.178807495499967,0.118162662499941,0.00036937699996997253,1.1768000035772275e-05
3,4,0,0,SVC,4000,1,13.210622528000044,0.013981918000013138,0.0003790660000220214,2.9721999993626014e-05
