point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,SVC,1000,1,4.145150229148567,0.03768514112066241,0.00025331839999651604,4.059544280622353e-05
0,32,0,1,SVC,1000,1,4.396675203740597,0.06558629271324375,0.00023875000000543877,1.0599836735279642e-05
1,32,1,0,SVC,1000,1,4.329814988560974,0.05890067495726188,0.00023008840001637054,1.4585455348434973e-05
1,32,1,1,SVC,1000,1,4.133457076922059,0.06317877242140012,0.00021962680000058298,1.057406656752605e-05
2,32,0,0,SVC,1000,1,4.063501134887337,0.06924238834319643,0.00023426980000067487,3.660056348146426e-06
2,32,0,1,SVC,1000,1,4.489670458622276,0.06743467845621924,0.00023273919995574487,8.016383624914652e-06
3,32,1,0,SVC,1000,1,4.360652115568518,0.06288546194762384,0.00023924219999571505,8.294148612763318e-06
3,32,1,1,SVC,1000,1,4.160642347484827,0.07583709613109568,0.00023620840001967736,4.416962466877475e-06
4,32,0,0,SVC,1000,1,4.127438245154917,0.0752695285298854,0.00023386920000234568,5.996807113864807e-06
4,32,0,1,SVC,1000,1,4.4597108932211995,0.07148017177162685,0.0002415998000003583,6.231572941158106e-06
0,32,0,0,SVC,2000,1,9.369035056047142,0.1994449976461292,0.00034435839997399854,1.2284715508125093e-05
0,32,0,1,SVC,2000,1,10.304187067225575,0.26308303317343984,0.0003352498000253945,1.2632765726680861e-05
1,32,1,0,SVC,2000,1,9.85694262329489,0.13709039834837908,0.00035198960003981485,1.0406883601281959e-05
1,32,1,1,SVC,2000,1,9.281239168532192,0.2515325964162722,0.00035528700007034784,1.2121431722175405e-05
2,32,0,0,SVC,2000,1,9.23069993518293,0.13913012549463943,0.00035546419993579546,1.9104315861570818e-05
2,32,0,1,SVC,2000,1,10.469920912384987,0.2054680682387479,0.0003455198000665405,1.2454138014814952e-05
3,32,1,0,SVC,2000,1,10.178473636321723,0.20219382770755545,0.0003523832001746996,1.7890880096031073e-05
3,32,1,1,SVC,2000,1,9.276085902005434,0.21661039141024646,0.0003630773999020676,2.4569417279899675e-05
4,32,0,0,SVC,2000,1,9.402285548485816,0.24265022853923743,0.00034706660003394065,1.1683809339201816e-05
4,32,0,1,SVC,2000,1,10.603043902106583,0.39538782707301484,0.0003679590001638644,2.6382850796381015e-05
0,32,0,0,SVC,4000,1,23.371348280832173,0.9100829387421868,0.0005934325999760404,2.347062662649709e-05
0,32,0,1,SVC,4000,1,26.05064103808254,0.9620304805059263,0.0006025786000463995,1.223258608588694e-05
