point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,SVC,1000,1,2.2098762630485,0.009697709698230028,0.0001793069999989072,2.3173000003318123e-05
0,32,0,1,SVC,1000,1,2.1507531385868788,0.01289272028952837,0.0001296314999965631,3.13175000012933e-05
1,32,1,0,SVC,1000,1,2.1477736942470074,0.05707462690770626,0.00013475750000324638,4.068149999980619e-05
1,32,1,1,SVC,1000,1,2.199642426799983,0.025288936216384172,0.00011658799999736402,2.3104000003826286e-05
2,32,0,0,SVC,1000,1,2.195012150797993,0.029861185234040022,0.00011713950000391549,2.1870499994136594e-05
2,32,0,1,SVC,1000,1,2.1371307652443647,0.014693708159029484,0.0001212680000044486,2.751199999906362e-05
3,32,1,0,SVC,1000,1,2.1328831422142684,0.034517049323767424,0.00011932449998752759,2.7310500005484073e-05
3,32,1,1,SVC,1000,1,2.2090135803446174,0.04365312121808529,0.00012205850000768237,3.100649999154825e-05
4,32,0,0,SVC,1000,1,2.203623722307384,0.03326523583382368,0.00012691799999586806,1.1149999995296866e-05
4,32,0,1,SVC,1000,1,2.1650239480659366,0.03888603951781988,0.00011908800000171027,2.49820000028933e-05
0,32,0,0,SVC,2000,1,5.097221975680441,0.004390663933008909,0.0001817515000048786,1.0611499984491957e-05
0,32,0,1,SVC,2000,1,4.8631877060979605,0.007015900686383247,0.00018487149998236418,5.314500015174417e-06
1,32,1,0,SVC,2000,1,4.791457323823124,0.007016701158136129,0.00020604550000768995,2.5768500009348827e-05
1,32,1,1,SVC,2000,1,5.103039315436035,0.04044490633532405,0.00018468550001671247,2.9164999943986913e-06
2,32,0,0,SVC,2000,1,5.128373126965016,0.04712105030193925,0.00017080200002084212,2.9649999717662467e-06
2,32,0,1,SVC,2000,1,4.865625897422433,0.010883133858442307,0.0001727699999847232,1.3359999897488706e-06
3,32,1,0,SVC,2000,1,4.93865264672786,0.03820909094065428,0.0001803644999895937,5.08649997499333e-06
3,32,1,1,SVC,2000,1,5.128795272670686,0.0014407113194465637,0.00022254150005096562,1.3590499975180137e-05
4,32,0,0,SVC,2000,1,5.091740525327623,0.02253730222582817,0.00020764400002803995,3.162000041356805e-06
4,32,0,1,SVC,2000,1,4.990723855327815,0.028021365869790316,0.00017848400001696518,1.0990999967930293e-05
0,32,0,0,SVC,4000,1,13.260054960846901,0.08436806034296751,0.0003131119999721932,3.3990000034123113e-05
0,32,0,1,SVC,4000,1,12.113335172645748,0.09040807746350765,0.00032281999997962885,7.167999996227081e-06
1,32,1,0,SVC,4000,1,11.704303678590804,0.06972303381189704,0.00036153749996969964,4.505250001329841e-05
1,32,1,1,SVC,4000,1,13.128767146263272,0.05782590480521321,0.0003242675000194595,1.4358499981881323e-05
2,32,0,0,SVC,4000,1,13.112329819705337,0.06950184656307101,0.00032837699998822245,4.0957000095431795e-05
2,32,0,1,SVC,4000,1,12.28480978962034,0.14470610488206148,0.0003177044999347345,3.376499932983279e-06
3,32,1,0,SVC,4000,1,12.290458029136062,0.06009099259972572,0.00032464350005056986,6.144500048321788e-06
3,32,1,1,SVC,4000,1,12.992517562583089,0.0245510246604681,0.00035574300000007497,4.003100002591964e-05
4,32,0,0,SVC,4000,1,12.978423391468823,0.08672008756548166,0.0003355394999857708,2.3934999830999004e-06
4,32,0,1,SVC,4000,1,12.442775609903038,0.008555426262319088,0.0003608215000099335,3.2124500023655855e-05
0,32,0,0,SVC,8000,1,38.1942680538632,0.4303029295988381,0.0006505395000431236,8.5689500110675e-05
