point,features,class,target,classifier,population_size,workers,time,ptime
0,64,1,0,SVC,1000,1,8.374006111000007,2.896479629000005
0,64,1,1,SVC,1000,1,8.284048973,2.8915455849999994
1,64,0,0,SVC,1000,1,8.198644416999997,2.860084771999997
1,64,0,1,SVC,1000,1,8.223084379999996,2.930703519999998
0,64,1,0,SVC,2000,1,17.836830909000014,5.8135110240000145
0,64,1,1,SVC,2000,1,17.673849897000004,5.819447574000009
1,64,0,0,SVC,2000,1,18.581984587000008,5.781305973000009
1,64,0,1,SVC,2000,1,17.483185517000024,5.84384843700002
0,64,1,0,SVC,4000,1,41.265030455000016,11.57239789400002
0,64,1,1,SVC,4000,1,42.17149358999998,11.660841136999977
1,64,0,0,SVC,4000,1,43.02671116700003,11.589181905000004
1,64,0,1,SVC,4000,1,40.312717110999984,11.627041382999977
0,64,1,0,SVC,8000,1,107.72896713399996,23.32183587199998
0,64,1,1,SVC,8000,1,120.92391549999996,23.46979705299998
1,64,0,0,SVC,8000,1,117.53989522699999,23.474121690000004
1,64,0,1,SVC,8000,1,103.43844750100016,23.514850222000177
0,64,1,0,SVC,16000,1,334.87997934799967,47.06004064599972
0,64,1,1,SVC,16000,1,384.69024891999993,47.64992265399985
1,64,0,0,SVC,16000,1,410.1419963950002,47.89059453800019
1,64,0,1,SVC,16000,1,297.963039107,48.317228158000034
0,64,1,0,SVC,1000,2,5.448757035000145,1.6900000000000002
0,64,1,1,SVC,1000,2,5.370168812999855,1.6300000000000001
1,64,0,0,SVC,1000,2,5.442669831000075,1.72
1,64,0,1,SVC,1000,2,5.349790832999961,1.6600000000000006
0,64,1,0,SVC,2000,2,12.197264058999881,3.4100000000000006
0,64,1,1,SVC,2000,2,12.783092618999845,3.3899999999999997
1,64,0,0,SVC,2000,2,12.477818864999843,3.3099999999999996
1,64,0,1,SVC,2000,2,11.730014805000046,3.43
0,64,1,0,SVC,4000,2,29.730171728999956,6.51
0,64,1,1,SVC,4000,2,32.66447252500005,6.48
1,64,0,0,SVC,4000,2,32.077144572999885,6.440000000000001
1,64,0,1,SVC,4000,2,28.871204978999923,6.510000000000002
0,64,1,0,SVC,8000,2,84.7613683990001,12.819999999999997
0,64,1,1,SVC,8000,2,91.51486176999998,13.07
1,64,0,0,SVC,8000,2,93.26295074700023,12.890000000000002
1,64,0,1,SVC,8000,2,77.21371469200002,13.1
0,64,1,0,SVC,16000,2,274.95617670299976,25.740000000000006
0,64,1,1,SVC,16000,2,375.7472959329999,25.62
1,64,0,0,SVC,16000,2,357.62417900299965,25.740000000000006
1,64,0,1,SVC,16000,2,244.06466968600023,25.610000000000007
0,64,1,0,SVC,1000,4,5.218413235999815,1.23
0,64,1,1,SVC,1000,4,5.082837553999726,1.2200000000000004
1,64,0,0,SVC,1000,4,5.214167765999682,1.21
1,64,0,1,SVC,1000,4,4.958181099000249,1.21
0,64,1,0,SVC,2000,4,11.040272058999708,2.16
0,64,1,1,SVC,2000,4,11.426102069000262,2.2
1,64,0,0,SVC,2000,4,11.691825081999777,2.34
