classifier,population_size,workers,time,time_std,ptime,ptime_std
MLPClassifier,1000,1,0.5842402997426689,0.0149191073586117,0.5257793795317411,0.0142816717087755
MLPClassifier,1000,2,0.4645592899527401,0.0453075483393248,0.3273857181426137,0.0118963513594014
MLPClassifier,1000,4,0.331936620734632,0.0227558456828171,0.1918968557845801,0.0146349278522786
MLPClassifier,1000,8,0.3976370586548,0.0406304448686291,0.1869370237924158,0.0294600823408654
MLPClassifier,1000,16,0.6388223328627646,0.0245770754497784,0.2141446485184133,0.0200593256325682
MLPClassifier,1000,32,1.0282444800715893,0.0544994032144539,0.2561431006528437,0.0163507945737672
MLPClassifier,2000,1,1.158954924857244,0.0162606487544843,1.037244813749567,0.0124958924595023
MLPClassifier,2000,2,0.878505717869848,0.0335207853547546,0.6432191433850676,0.0230880359558697
MLPClassifier,2000,4,0.5865824889391661,0.0154060660316869,0.3549037166405469,0.0207879547804812
MLPClassifier,2000,8,0.5628096577711403,0.0401638277340666,0.2731575567275285,0.0383928577932236
MLPClassifier,2000,16,0.7429957852233201,0.0344522794791462,0.2848485724069178,0.036681657613129
MLPClassifier,2000,32,1.1982241132296625,0.0505628728688042,0.3431661611888558,0.0320944207927742
MLPClassifier,4000,1,2.3256794867571444,0.0182218585857948,2.0844577402342117,0.0180175981718235
MLPClassifier,4000,2,1.5685144079849125,0.0182050469769469,1.2633832539897412,0.0164566383244827
MLPClassifier,4000,4,1.0366638634353875,0.0323343985508342,0.683930145483464,0.021854554009153
MLPClassifier,4000,8,0.8873811039607972,0.0646480272772988,0.4599423291161656,0.0407045999979296
MLPClassifier,4000,16,0.9680093411356212,0.0499467102629717,0.3776025778613984,0.0359722960896646
MLPClassifier,4000,32,1.4128852033987642,0.0940855784588304,0.4414184496738016,0.075571977194962
MLPClassifier,8000,1,4.684163401275873,0.0452160127594669,4.17674931078218,0.0366276025376959
MLPClassifier,8000,2,3.119483687449246,0.0716213437735574,2.545413085073233,0.0523617093566047
MLPClassifier,8000,4,1.9606876770500092,0.0346972786463068,1.360847308859229,0.0254192694359048
MLPClassifier,8000,8,1.61348940548487,0.073057971652541,0.8807370393536985,0.0330729147649925
MLPClassifier,8000,16,1.6018538647331295,0.0898856988621017,0.6750967856962233,0.0675501718209686
MLPClassifier,8000,32,1.7635359982028604,0.0576712568369702,0.5745711375027895,0.0606488355502015
