point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,64,1,0,MLPClassifier,4000,1,8.761683625999995,0.3886014479999975,4.066231353999996,0.18361192599999754
0,64,1,1,MLPClassifier,4000,1,8.599152379999992,0.047521975999998745,3.976811303499991,0.020994712499996737
1,64,0,0,MLPClassifier,4000,1,8.473252323499995,0.06026802550000454,3.911084521499994,0.03184204950000691
1,64,0,1,MLPClassifier,4000,1,8.614192630000002,0.00700388899999993,4.002543188000001,0.0158701329999964
2,64,0,0,MLPClassifier,4000,1,8.514925349500004,0.030058251500008737,3.934725654500003,0.015264103500005177
2,64,0,1,MLPClassifier,4000,1,8.475508610499986,0.02641212950000238,3.9369612604999915,0.002905862500007572
3,64,1,0,MLPClassifier,4000,1,8.595068445999992,0.009138014000008354,4.001362527999994,0.004813942000005511
3,64,1,1,MLPClassifier,4000,1,8.52160936,0.043266478000006714,3.936474766999993,0.022411782000006042
4,64,1,0,MLPClassifier,4000,1,8.411098707,0.03516276799999929,3.9324953564999987,0.015000154500000917
4,64,1,1,MLPClassifier,4000,1,8.506290783499978,0.006901530500016406,3.929364406999973,0.0024750480000150787
0,4,0,0,MLPClassifier,4000,1,7.997811126500011,0.011709268500013081,3.822699404000012,0.0037560329999948294
0,4,0,1,MLPClassifier,4000,1,8.134532914000005,0.04666237900002557,3.91448880050001,0.023380509500015023
1,4,1,0,MLPClassifier,4000,1,8.077376200000046,0.009233909000030849,3.8852477120000373,0.004009484000036423
1,4,1,1,MLPClassifier,4000,1,8.069665681499956,0.06015469050002764,3.8554030104999697,0.03720781950002561
2,4,1,0,MLPClassifier,4000,1,8.092245611500019,0.019541013500017357,3.8878488010000183,0.008997743000008995
2,4,1,1,MLPClassifier,4000,1,8.057205675999953,0.002948560000035627,3.854356964999951,0.01085506900001576
3,4,0,0,MLPClassifier,4000,1,8.12938267700001,0.04211175799999012,3.895586851499999,0.0225700964999902
3,4,0,1,MLPClassifier,4000,1,8.082464979999997,0.08115108099997315,3.8890860489999852,0.04139757699996949
4,4,1,0,MLPClassifier,4000,1,8.025023616999988,0.05872872400001938,3.8487493044999894,0.03765103450001561
4,4,1,1,MLPClassifier,4000,1,8.0753932895,0.0003427115000249614,3.872510688999995,0.00038868699996896794
0,2,1,0,MLPClassifier,4000,1,7.945789044999984,0.05492840399999466,3.8081832289999795,0.035209639999976616
0,2,1,1,MLPClassifier,4000,1,8.018652939500015,0.029112045499971373,3.8498538100000133,0.014767695999978514
1,2,0,0,MLPClassifier,4000,1,7.971162867999979,0.04144982599997604,3.8241982524999685,0.020629499499960957
1,2,0,1,MLPClassifier,4000,1,8.046091208999997,0.025213643999990154,3.8700505844999924,0.01807003049999878
2,2,0,0,MLPClassifier,4000,1,8.012652495000026,0.09243997199996556,3.8446464375000176,0.04566916549995881
2,2,0,1,MLPClassifier,4000,1,7.944234264500025,0.028647773499969276,3.811498293000028,0.004799579999968273
3,2,1,0,MLPClassifier,4000,1,8.03621948850001,0.017841370499994014,3.862432733499986,0.00885474849997081
3,2,1,1,MLPClassifier,4000,1,7.989926507999911,0.037632192999950576,3.8348348854999017,0.01812361849994204
4,2,0,0,MLPClassifier,4000,1,7.977203962999994,0.010723295000019561,3.8213476374999686,0.01314974050001183
4,2,0,1,MLPClassifier,4000,1,8.013406857999996,0.038526321999995616,3.8510350969999934,0.01958192999998687
0,32,0,0,MLPClassifier,4000,1,8.197171159500016,0.06608541050005101,3.8497273920000623,0.03972465200004649
0,32,0,1,MLPClassifier,4000,1,8.236122593499886,0.007502899499911564,3.918241383999913,0.002966274999920415
1,32,1,0,MLPClassifier,4000,1,8.22395490349993,0.012531051500104695,3.915282112999961,0.006274017000095
1,32,1,1,MLPClassifier,4000,1,8.18026324349998,0.0734875175000127,3.847949104500003,0.029386321499998758
2,32,0,0,MLPClassifier,4000,1,8.308192823000041,0.0774692219999622,3.9149308940000083,0.03595540099996697
2,32,0,1,MLPClassifier,4000,1,8.318678301999967,0.06989948000000368,3.9548133069999665,0.03463301299998989
3,32,1,0,MLPClassifier,4000,1,8.363185354499933,0.002226915499932147,3.982905475999928,0.0012157539999293476
3,32,1,1,MLPClassifier,4000,1,8.245983009500094,0.03225682649997452,3.8858591810001144,0.016159994999952687
4,32,0,0,MLPClassifier,4000,1,8.225213284000148,0.007282089000028691,3.866701375500128,0.012855738500007874
4,32,0,1,MLPClassifier,4000,1,8.362645405999956,0.044497115999945436,3.9717536384999903,0.0213603294999416
0,16,1,0,MLPClassifier,4000,1,8.17145174050006,0.04486296350006569,3.901504234000072,0.013284913000063625
0,16,1,1,MLPClassifier,4000,1,8.154782223999973,0.009599971999932677,3.8797330639999927,0.004479411999966487
1,16,1,0,MLPClassifier,4000,1,8.201171869499944,0.10248660550001887,3.9213757944999657,0.05032821849999891
1,16,1,1,MLPClassifier,4000,1,8.121490421000033,0.00405946899996934,3.8523371495000163,0.008472671499959006
2,16,0,0,MLPClassifier,4000,1,8.23609446799992,0.08039258300004803,3.9214183569999363,0.039421035000032134
2,16,0,1,MLPClassifier,4000,1,8.20336840850004,0.02529582049996293,3.910176465000035,0.004873567999965189
3,16,1,0,MLPClassifier,4000,1,8.233322870499904,0.001923959500032879,3.9273496849999106,0.0006480209999608633
3,16,1,1,MLPClassifier,4000,1,8.224903030000036,0.011647022000005336,3.9179172865000282,0.006346414500001174
4,16,1,0,MLPClassifier,4000,1,8.222321371999982,0.004123862999989569,3.9251533954999616,0.0022175205000110054
4,16,1,1,MLPClassifier,4000,1,8.277299503499961,0.10553622349996772,3.9396069964999754,0.0497566454999685
0,8,1,0,MLPClassifier,4000,1,8.06338096150003,0.05393421150009203,3.8568429350000315,0.035145395000085955
