point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,MLPClassifier,1000,1,4.691761907100002,0.07189157125688825,2.200220359700002,0.033715460898759694
0,32,0,1,MLPClassifier,1000,1,4.672187218199994,0.03781132599806217,2.2070069108999943,0.02018398222340699
1,32,1,0,MLPClassifier,1000,1,4.659161334200002,0.053646312140295895,2.2104312392000027,0.025111951504729915
1,32,1,1,MLPClassifier,1000,1,4.629841602499994,0.048598969442702485,2.1704048457999976,0.023971560512775315
2,32,0,0,MLPClassifier,1000,1,4.664934584900008,0.05522245206246107,2.1873122839000088,0.027183702008244586
2,32,0,1,MLPClassifier,1000,1,4.683415341700024,0.050870628149746945,2.210041731200022,0.024158878348745763
3,32,1,0,MLPClassifier,1000,1,4.666126150899982,0.04946863167739178,2.2087225715999836,0.024911885808614455
3,32,1,1,MLPClassifier,1000,1,4.708738987400016,0.04111819534375549,2.209956023800018,0.020444988611786268
4,32,0,0,MLPClassifier,1000,1,4.846085491200009,0.14724349894102762,2.272793079600004,0.06622086929602149
4,32,0,1,MLPClassifier,1000,1,4.7171279049999955,0.10434846793456799,2.227878642099995,0.04925310285032422
5,32,0,0,MLPClassifier,1000,1,4.663998536000025,0.0364329270823312,2.1873543667000432,0.017629025552972164
5,32,0,1,MLPClassifier,1000,1,4.678613345100018,0.04331282040824137,2.2083552364000125,0.023436929025110017
6,32,0,0,MLPClassifier,1000,1,4.6642124455999125,0.02032532112068254,2.1877990778999163,0.009743753633860347
6,32,0,1,MLPClassifier,1000,1,4.667092838300033,0.029092280245782774,2.213798599900025,0.01469623508033004
7,32,1,0,MLPClassifier,1000,1,4.675260261400018,0.06451821457216328,2.206244798300008,0.030589016154475148
7,32,1,1,MLPClassifier,1000,1,4.678044591400004,0.02444936201923475,2.193866792500006,0.012876473342846395
8,32,1,0,MLPClassifier,1000,1,4.671160807100006,0.040818371452992344,2.2085097121000046,0.02130560731838056
8,32,1,1,MLPClassifier,1000,1,4.659459421099962,0.045295564450874015,2.1844546006999734,0.02175973321728101
9,32,1,0,MLPClassifier,1000,1,4.705355060700026,0.07052955490546446,2.2260225309000248,0.03188718546177182
9,32,1,1,MLPClassifier,1000,1,4.680066522900018,0.04515361295057906,2.1953097275000175,0.021211453576505664
0,32,0,0,MLPClassifier,2000,1,9.42291497499989,0.134102564761527,4.413681224499902,0.05728307280769324
0,32,0,1,MLPClassifier,2000,1,9.538979088699989,0.17207654509183096,4.5114410313,0.07409306919221254
1,32,1,0,MLPClassifier,2000,1,9.456920555500016,0.11449127387132557,4.4905109588999945,0.05544237822569173
1,32,1,1,MLPClassifier,2000,1,9.770953585500001,0.22848489575263312,4.577067743700002,0.09999030632504297
2,32,0,0,MLPClassifier,2000,1,9.421987543400075,0.07598555297093822,4.410045679000087,0.03693110313753918
2,32,0,1,MLPClassifier,2000,1,9.5585003401,0.1489187274888061,4.50622148220001,0.07066088486039797
3,32,1,0,MLPClassifier,2000,1,9.451580098699912,0.05921535662688301,4.470959411899924,0.03018978060027721
3,32,1,1,MLPClassifier,2000,1,9.411217006799927,0.14504566188088053,4.409638832199926,0.06555931701884053
4,32,0,0,MLPClassifier,2000,1,9.389524832599852,0.07239249895996544,4.400064935399871,0.03582487871507764
4,32,0,1,MLPClassifier,2000,1,9.457683701400118,0.0755388883595628,4.467426349200127,0.037925217732717995
5,32,0,0,MLPClassifier,2000,1,9.417367064799828,0.12001864634095367,4.414715579499841,0.058583541414931536
5,32,0,1,MLPClassifier,2000,1,9.431333185399899,0.1597838629282409,4.450875751399872,0.0751009463918773
6,32,0,0,MLPClassifier,2000,1,9.484364516300115,0.2653730117011654,4.442000043000076,0.12590048059379816
6,32,0,1,MLPClassifier,2000,1,9.662393340199992,0.2724975351107272,4.574995880400001,0.12772686620841456
7,32,1,0,MLPClassifier,2000,1,9.508614701299667,0.08568862869525795,4.486483730699684,0.03981480255578628
7,32,1,1,MLPClassifier,2000,1,9.61629152169976,0.45107700097896697,4.500395115299784,0.20288730627563153
8,32,1,0,MLPClassifier,2000,1,9.364081069500116,0.07162000405033203,4.426632167200069,0.03371900382234845
8,32,1,1,MLPClassifier,2000,1,9.45343027770009,0.09183809991712198,4.42991503520002,0.04641584934213251
9,32,1,0,MLPClassifier,2000,1,9.540150636199906,0.1422974598456118,4.509965784099881,0.07239011757425863
9,32,1,1,MLPClassifier,2000,1,9.51831919610006,0.10783708682553626,4.4634167311000965,0.053693278647724225
0,32,0,0,MLPClassifier,4000,1,18.983550342899935,0.15287158940619458,8.883440982199932,0.07313464682395725
0,32,0,1,MLPClassifier,4000,1,18.9417722243001,0.12037856303027251,8.945953323400067,0.05781155439015404
1,32,1,0,MLPClassifier,4000,1,19.19337553810012,0.4904582715680153,9.086671069600152,0.2295848404955119
1,32,1,1,MLPClassifier,4000,1,19.280490678100044,0.8453053860722212,9.018128506500057,0.3891595997621271
2,32,0,0,MLPClassifier,4000,1,19.05455789979983,0.2660112649003404,8.9113371632998,0.12330272050055414
2,32,0,1,MLPClassifier,4000,1,20.7773196338999,1.450964429234271,9.766780075499833,0.6572848136781607
3,32,1,0,MLPClassifier,4000,1,19.2083711466998,0.5118929928692628,9.0923371896999,0.22748268370914984
3,32,1,1,MLPClassifier,4000,1,19.79007183319991,0.742393684040429,9.221023710899999,0.3252576247961471
4,32,0,0,MLPClassifier,4000,1,21.184234088699622,0.8396192512332598,9.609959712699583,0.34670232556286396
4,32,0,1,MLPClassifier,4000,1,28.079937020500257,3.5933756873304086,12.712365147800165,1.6241461636149697
5,32,0,0,MLPClassifier,4000,1,44.11491028330052,15.986078848973957,20.06789940490062,7.7381783262862225
5,32,0,1,MLPClassifier,4000,1,39.025828302799844,4.698049228744366,17.579506850499776,2.2113055072891283
6,32,0,0,MLPClassifier,4000,1,56.274502414099835,26.33059928576576,25.684050390699714,12.52447985617473
6,32,0,1,MLPClassifier,4000,1,46.87483249859984,10.164532192612965,21.17614312739979,4.886183778611255
7,32,1,0,MLPClassifier,4000,1,49.042345454200266,9.390009127562594,22.14473780830026,4.4228373032875075
7,32,1,1,MLPClassifier,4000,1,44.90544078320031,8.737767617644781,19.990347612600225,3.928490740117317
8,32,1,0,MLPClassifier,4000,1,53.875756010899565,9.196321397873211,24.49643720119975,4.495688800582805
8,32,1,1,MLPClassifier,4000,1,49.0541209293995,6.740843850458677,21.877146740799617,3.2082666199197964
9,32,1,0,MLPClassifier,4000,1,36.228844058301,7.404469720723369,16.30709350570096,3.3307592536106467
9,32,1,1,MLPClassifier,4000,1,33.43995558499937,7.539016292306365,14.99266454119952,3.2264742523766046
0,32,0,0,MLPClassifier,8000,1,39.69830556270099,0.7447650370752116,18.541102518200933,0.3181880949478872
0,32,0,1,MLPClassifier,8000,1,40.487457319999976,1.4261551270487003,19.047214986299878,0.6448185867522163
1,32,1,0,MLPClassifier,8000,1,40.158691629799705,2.465120974778455,18.965193450199695,1.1141260561719555
1,32,1,1,MLPClassifier,8000,1,40.39096847499995,1.5455241867026295,18.82289997939997,0.6848530333194456
2,32,0,0,MLPClassifier,8000,1,39.29403214959912,0.9232793463862519,18.322974884399354,0.41561832301318175
2,32,0,1,MLPClassifier,8000,1,39.24780387599994,0.8129131717680784,18.448596211299993,0.3989882952953436
3,32,1,0,MLPClassifier,8000,1,39.32220497589988,1.7095044698036646,18.57340872909999,0.8049840921352615
3,32,1,1,MLPClassifier,8000,1,38.84645638260035,0.483393585164133,18.133197131800262,0.23028141622164258
4,32,0,0,MLPClassifier,8000,1,38.75805883470066,0.42165595974140185,18.07227059150073,0.18795107600814956
4,32,0,1,MLPClassifier,8000,1,38.88517843439949,0.4831115410189826,18.30267484559954,0.23421747445718166
5,32,0,0,MLPClassifier,8000,1,39.012069267299104,0.4970813846859459,18.199525936399187,0.23716267916895165
5,32,0,1,MLPClassifier,8000,1,38.83810356850008,0.6801887279575497,18.26304668140001,0.3212266027059476
6,32,0,0,MLPClassifier,8000,1,38.96791109050073,0.5397132536184989,18.181621569300297,0.2627030165479398
6,32,0,1,MLPClassifier,8000,1,38.793264174599884,0.3988038002180375,18.33962163849992,0.19539974685813086
7,32,1,0,MLPClassifier,8000,1,39.25495329869873,0.7335153269465935,18.469548280198797,0.35949515623189593
7,32,1,1,MLPClassifier,8000,1,38.86997066809945,0.8152758447185824,18.133485388199006,0.3874168739735171
8,32,1,0,MLPClassifier,8000,1,40.49983058050111,0.6688026521222394,19.085017870901357,0.32981661080675856
8,32,1,1,MLPClassifier,8000,1,40.65920418600108,1.224911891727447,18.95188918710137,0.5688657793564252
9,32,1,0,MLPClassifier,8000,1,41.01516339270129,1.1799558369121177,19.296360919200925,0.5498432633804048
9,32,1,1,MLPClassifier,8000,1,40.309174623898436,0.820821640977356,18.78713275879818,0.3857275058342288
0,32,0,0,MLPClassifier,16000,1,81.1065648911006,0.9428429669556532,37.611086186900685,0.45094158261437867
0,32,0,1,MLPClassifier,16000,1,82.98366300800026,1.2629446588896769,38.87024796350033,0.5803424289395408
1,32,1,0,MLPClassifier,16000,1,83.45105533829846,1.2594334178573523,39.2255574324985,0.5782693934894226
1,32,1,1,MLPClassifier,16000,1,83.3018296891989,1.569204633302216,38.494849578499455,0.6345111363753899
2,32,0,0,MLPClassifier,16000,1,116.20479280539966,13.949969391631335,50.91660905989975,5.6754192971885775
2,32,0,1,MLPClassifier,16000,1,132.94920513129983,10.987149621867275,58.96645119620007,5.116489839128809
3,32,1,0,MLPClassifier,16000,1,135.3823959474983,11.800949531155469,59.63393659199846,5.040536948723958
3,32,1,1,MLPClassifier,16000,1,155.67994255290014,22.538287845919623,67.71039651499996,10.213418139768812
4,32,0,0,MLPClassifier,16000,1,184.27803560890135,26.86261837679866,81.1751169264011,12.424954130880302
4,32,0,1,MLPClassifier,16000,1,144.754132828802,24.40854254772513,63.85011704020235,10.944276751562148
5,32,0,0,MLPClassifier,16000,1,125.61142944679959,6.155642031188495,54.41327289839937,2.52613050798087
5,32,0,1,MLPClassifier,16000,1,118.86933554220268,13.04665858103924,52.53776365500198,6.0293141293122465
6,32,0,0,MLPClassifier,16000,1,92.98937785859998,12.563192194403491,41.48471916120034,5.18894642850969
6,32,0,1,MLPClassifier,16000,1,77.29731905690497,1.2697613954217624,36.088526588905005,0.3701001938136284
7,32,1,0,MLPClassifier,16000,1,108.69719409149874,8.817860990389072,47.89938521349868,3.4467846780760385
7,32,1,1,MLPClassifier,16000,1,116.1817229814973,6.448278439314453,50.6599943786965,3.083602900946938
8,32,1,0,MLPClassifier,16000,1,117.03368628900026,6.479895239147977,51.32985547680073,3.2595089095911054
8,32,1,1,MLPClassifier,16000,1,104.18536949280023,14.384995599857742,46.12820252450001,5.513143017278516
9,32,1,0,MLPClassifier,16000,1,75.87028542569969,0.37339219316409655,35.51475235659964,0.19087061172462313
9,32,1,1,MLPClassifier,16000,1,75.81438304059557,0.16276104665272093,35.15916428149576,0.08567559525503742
0,32,0,0,MLPClassifier,1000,2,1.967949081799641,0.12783477796263354,1.233,0.029681644159311706
0,32,0,1,MLPClassifier,1000,2,2.0044205423005916,0.048158669783586495,1.2510000000000001,0.018138357147217107
1,32,1,0,MLPClassifier,1000,2,1.9465778818000836,0.10517351495387371,1.2429999999999999,0.020518284528683116
1,32,1,1,MLPClassifier,1000,2,2.0392802262005576,0.04310415039891168,1.234,0.019595917942265405
2,32,0,0,MLPClassifier,1000,2,2.0558671545994587,0.04669367654036419,1.239,0.023430749027719983
2,32,0,1,MLPClassifier,1000,2,1.987463244300394,0.08313959826971458,1.246,0.019078784028338836
3,32,1,0,MLPClassifier,1000,2,1.9274248824000098,0.1348653363122164,1.2499999999999998,0.03376388603226824
3,32,1,1,MLPClassifier,1000,2,2.03640119700061,0.07407598018724601,1.2360000000000002,0.023323807579381226
4,32,0,0,MLPClassifier,1000,2,2.0463658168003898,0.052371361750161466,1.235,0.02539685019840056
4,32,0,1,MLPClassifier,1000,2,1.941424755200758,0.1326633676365412,1.2580000000000002,0.027129319932501127
5,32,0,0,MLPClassifier,1000,2,1.8795094669005485,0.14770094355139932,1.224,0.019078784028338926
5,32,0,1,MLPClassifier,1000,2,1.972408581600466,0.06427497761049406,1.23,0.018973665961010234
6,32,0,0,MLPClassifier,1000,2,1.9902507260004785,0.1109534057445316,1.227,0.024919871588754295
6,32,0,1,MLPClassifier,1000,2,1.936326387200301,0.11487652329724915,1.249,0.024677925358506093
7,32,1,0,MLPClassifier,1000,2,1.96111719719971,0.15048126916111412,1.2600000000000002,0.018973665961010282
7,32,1,1,MLPClassifier,1000,2,1.9932386222995853,0.11629605753242662,1.233,0.018466185312619347
8,32,1,0,MLPClassifier,1000,2,1.996862191199718,0.07616954434635888,1.252,0.02135415650406264
8,32,1,1,MLPClassifier,1000,2,2.033249307600214,0.029118702085640935,1.2360000000000002,0.018547236990991384
9,32,1,0,MLPClassifier,1000,2,1.9792203032000977,0.08744106753235814,1.248,0.02357965224510327
9,32,1,1,MLPClassifier,1000,2,2.0452795985004917,0.03758461592200304,1.245,0.02801785145224383
0,32,0,0,MLPClassifier,2000,2,3.4489928225988407,0.08648519368556026,2.4170000000000003,0.038483762809787686
0,32,0,1,MLPClassifier,2000,2,3.4793941481005164,0.1209241646772061,2.4379999999999997,0.046861498055439973
1,32,1,0,MLPClassifier,2000,2,3.5033751157998636,0.08258449143552042,2.4400000000000004,0.04404543109109032
1,32,1,1,MLPClassifier,2000,2,3.545619272399781,0.13118963358299932,2.44,0.024494897427831876
2,32,0,0,MLPClassifier,2000,2,3.625792079099847,0.05846831362607065,2.45,0.04898979485566346
2,32,0,1,MLPClassifier,2000,2,3.5401493893000158,0.15091096149778715,2.4470000000000005,0.04879549159502346
3,32,1,0,MLPClassifier,2000,2,3.5747853873996207,0.041863493216757613,2.466,0.03638681079732053
3,32,1,1,MLPClassifier,2000,2,3.606304999700675,0.0942429013677417,2.4410000000000003,0.04085339643163099
4,32,0,0,MLPClassifier,2000,2,3.5887624962998523,0.050712991369059914,2.4370000000000003,0.03132091952673173
4,32,0,1,MLPClassifier,2000,2,3.54305949060047,0.034897382804568354,2.4530000000000003,0.028999999999999866
5,32,0,0,MLPClassifier,2000,2,3.50756273060001,0.16027336601605302,2.4230000000000005,0.042438190347845926
5,32,0,1,MLPClassifier,2000,2,3.525735646599351,0.11969138096891636,2.4450000000000003,0.026925824035672483
6,32,0,0,MLPClassifier,2000,2,3.479256823000062,0.12489927756367443,2.4270000000000005,0.049406477308142606
6,32,0,1,MLPClassifier,2000,2,3.532324897399711,0.11117396580074868,2.4730000000000003,0.050209560842532835
7,32,1,0,MLPClassifier,2000,2,3.604929161500884,0.06675357130404912,2.458,0.03515679166249386
7,32,1,1,MLPClassifier,2000,2,3.525389721999396,0.05936419656755605,2.4110000000000005,0.021189620100417014
8,32,1,0,MLPClassifier,2000,2,3.520424573300494,0.15271208587629484,2.4560000000000004,0.041036569057366495
8,32,1,1,MLPClassifier,2000,2,3.610614957799786,0.0791756441931061,2.466,0.04983974317750857
9,32,1,0,MLPClassifier,2000,2,3.5801444867997345,0.08053473908201902,2.4730000000000003,0.05496362433464528
9,32,1,1,MLPClassifier,2000,2,3.523246851500182,0.11988107245833508,2.407,0.03034798181098703
0,32,0,0,MLPClassifier,4000,2,6.546444541000092,0.030916899413138403,4.8950000000000005,0.03170173496829413
0,32,0,1,MLPClassifier,4000,2,6.388159002200323,0.04533399296294169,4.934000000000001,0.03006659275674554
1,32,1,0,MLPClassifier,4000,2,6.334919975600134,0.04353083386699731,4.900000000000001,0.029325756597229975
1,32,1,1,MLPClassifier,4000,2,6.5242618925005385,0.051760325958275885,4.867000000000001,0.05139066063011844
2,32,0,0,MLPClassifier,4000,2,6.562118437300479,0.05725674519443122,4.902,0.049558046773455496
2,32,0,1,MLPClassifier,4000,2,6.417793293800497,0.0523339486736513,4.905000000000001,0.04272001872658745
3,32,1,0,MLPClassifier,4000,2,6.453046089400362,0.20749781165827183,4.944000000000001,0.07914543574963717
3,32,1,1,MLPClassifier,4000,2,6.512116382999738,0.05335729090383787,4.875,0.050249378105604404
4,32,0,0,MLPClassifier,4000,2,6.487030945100036,0.05250182463520639,4.849000000000001,0.05028916384272054
4,32,0,1,MLPClassifier,4000,2,6.384993162700121,0.04006731717828658,4.915,0.04631414470763722
5,32,0,0,MLPClassifier,4000,2,6.465020526500377,0.05473877638341681,4.83,0.04335896677735749
5,32,0,1,MLPClassifier,4000,2,6.323265443999844,0.06889771267662984,4.85,0.07183313998427222
6,32,0,0,MLPClassifier,4000,2,6.525910554299306,0.17324989588687684,4.833,0.06496922348312313
6,32,0,1,MLPClassifier,4000,2,6.353868119499909,0.13313060856202716,4.851000000000001,0.03672873534441428
7,32,1,0,MLPClassifier,4000,2,6.4387754354994104,0.14793714545014236,4.8549999999999995,0.0958384056628656
7,32,1,1,MLPClassifier,4000,2,6.531192485400025,0.1416875171188506,4.835000000000001,0.08720665112249164
8,32,1,0,MLPClassifier,4000,2,6.594743955100493,0.32199654932275906,4.955,0.19132433196015566
8,32,1,1,MLPClassifier,4000,2,6.704390375199336,0.260885755782718,4.943,0.18804520733057792
9,32,1,0,MLPClassifier,4000,2,6.477498009499847,0.28007178963425416,4.901000000000001,0.14362799170078214
