point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,MLPClassifier,1000,1,2.1355361874999996,0.10146886550000467,1.0082717304999989,0.04860424450000522
0,32,0,1,MLPClassifier,1000,1,2.0900753030000008,0.009655371000002688,0.9948058830000015,0.004129225000003345
1,32,1,0,MLPClassifier,1000,1,2.1096245520000014,0.09196239099999737,1.0056044930000017,0.046408010999998695
1,32,1,1,MLPClassifier,1000,1,2.0372937924999928,0.003309577500003158,0.9613136479999937,0.0016171280000030208
2,32,0,0,MLPClassifier,1000,1,2.088513766000002,0.004472908000000331,0.9862687045000023,0.001776638500000871
2,32,0,1,MLPClassifier,1000,1,2.123792139500001,0.07091243350000198,1.010317607000001,0.035985387000003755
3,32,1,0,MLPClassifier,1000,1,2.1338367325000043,0.04377809850000958,1.015686860999999,0.02153515300000919
3,32,1,1,MLPClassifier,1000,1,2.148431626499999,0.016095893499993963,1.0153414879999971,0.007143812999991894
4,32,0,0,MLPClassifier,1000,1,2.080033416999992,0.01661005400000093,0.9811488619999942,0.0074585539999993955
4,32,0,1,MLPClassifier,1000,1,2.0716224024999867,0.01985568350000122,0.9848503909999877,0.01030962800000168
0,32,0,0,MLPClassifier,2000,1,4.159544164,0.06732597400000273,1.9633591224999982,0.032650474499998694
0,32,0,1,MLPClassifier,2000,1,4.288407140499999,0.010085527499995806,2.039667956499997,0.0072388174999957755
1,32,1,0,MLPClassifier,2000,1,4.1491082685000045,0.05909577849999792,1.9733516755000018,0.0266256355000003
1,32,1,1,MLPClassifier,2000,1,4.108339293499995,0.030554930500002797,1.9376110219999951,0.015390728000003406
2,32,0,0,MLPClassifier,2000,1,4.136902191999994,0.03157368200000121,1.9516661329999963,0.016106364999998846
2,32,0,1,MLPClassifier,2000,1,4.140970145000001,0.00846583400001677,1.966667238000003,0.003595870000022927
3,32,1,0,MLPClassifier,2000,1,4.188222272000004,0.07611995899999613,1.9744361185000088,0.020635408499998675
3,32,1,1,MLPClassifier,2000,1,4.14508237050002,0.06203241149999883,1.9566440755000158,0.030673117499993907
4,32,0,0,MLPClassifier,2000,1,4.24232864450002,0.20052614249998157,2.0025365565000257,0.09898477849997533
4,32,0,1,MLPClassifier,2000,1,4.105753048000011,0.009332450000002268,1.949731881500007,0.004397533500004158
0,32,0,0,MLPClassifier,4000,1,8.39106256800001,0.0052066009999833796,3.9482321360000086,0.00533011699999264
0,32,0,1,MLPClassifier,4000,1,8.557635961999992,0.0902776339999889,4.063728855999997,0.04249976199999139
1,32,1,0,MLPClassifier,4000,1,8.643203351999972,0.015437566000017,4.106396252999971,0.0006967819999914582
1,32,1,1,MLPClassifier,4000,1,8.4101587575,0.11217746350000368,3.957298414499995,0.05290381350000217
2,32,0,0,MLPClassifier,4000,1,8.460810156499988,0.006910350500007212,3.9673616914999954,0.018157391500004394
2,32,0,1,MLPClassifier,4000,1,8.476734220499992,0.0946412275000057,4.019390573999999,0.047527311000010286
3,32,1,0,MLPClassifier,4000,1,8.461823526500027,0.013867690500049434,4.010561091000028,0.010078401000043868
3,32,1,1,MLPClassifier,4000,1,8.434286960000023,0.05314617200001237,3.9510683485000015,0.007311048500014294
4,32,0,0,MLPClassifier,4000,1,8.37503444349997,0.018688197499983517,3.942644767499985,0.010777236499990295
4,32,0,1,MLPClassifier,4000,1,8.321176862499954,0.012676224499983846,3.9390844394999647,0.0020558165000181816
0,32,0,0,MLPClassifier,8000,1,16.64150528650002,0.03392270950000409,7.81800262400003,0.01784475400000929
0,32,0,1,MLPClassifier,8000,1,16.881714672500024,0.007082095499995944,7.996850615000014,0.006896211000011476
1,32,1,0,MLPClassifier,8000,1,17.078586995999956,0.05221976299998232,8.082982219999963,0.02693134199998326
1,32,1,1,MLPClassifier,8000,1,16.765244193500024,0.15030632949998335,7.862142013500019,0.0608449424999975
