point,features,class,target,classifier,population_size,workers,time,ptime
0,64,1,0,MLPClassifier,1000,1,1.6865269392728806,1.455988266505301
0,64,1,1,MLPClassifier,1000,1,1.6960450457409024,1.4454537350684404
1,64,0,0,MLPClassifier,1000,1,1.7350187497213483,1.4874356854707003
1,64,0,1,MLPClassifier,1000,1,1.6694018943235278,1.4591052429750562
0,64,1,0,MLPClassifier,2000,1,3.361612473614514,2.914484010078013
0,64,1,1,MLPClassifier,2000,1,3.474145958200097,2.9691268941387534
1,64,0,0,MLPClassifier,2000,1,3.3829801827669144,2.8716515181586146
1,64,0,1,MLPClassifier,2000,1,3.4500061022117734,3.0130586996674538
0,64,1,0,MLPClassifier,4000,1,6.798740328289568,5.8588763969019055
0,64,1,1,MLPClassifier,4000,1,6.924313698895276,5.891208966262639
1,64,0,0,MLPClassifier,4000,1,6.823311234824359,5.79560074582696
1,64,0,1,MLPClassifier,4000,1,6.837671003304422,5.979204964824021
0,64,1,0,MLPClassifier,8000,1,13.861719062551856,11.90208485070616
0,64,1,1,MLPClassifier,8000,1,13.941658835858107,11.815362305380404
1,64,0,0,MLPClassifier,8000,1,13.95043429452926,11.809057358652353
1,64,0,1,MLPClassifier,8000,1,14.031682008877397,12.147493648342788
0,64,1,0,MLPClassifier,16000,1,28.20997175667435,24.084541014395654
0,64,1,1,MLPClassifier,16000,1,28.15025980770588,23.490854841656983
1,64,0,0,MLPClassifier,16000,1,28.117037259973586,23.440462046302855
1,64,0,1,MLPClassifier,16000,1,28.225972732529044,24.31794828083366
0,64,1,0,MLPClassifier,1000,2,1.2475537462159991,0.913630697876215
0,64,1,1,MLPClassifier,1000,2,1.4326582411304116,1.0564155410975218
1,64,0,0,MLPClassifier,1000,2,1.2864030366763473,0.8917870679870248
1,64,0,1,MLPClassifier,1000,2,1.4449072480201721,0.9386064801365137
0,64,1,0,MLPClassifier,2000,2,2.2942817648872733,1.7589296847581863
0,64,1,1,MLPClassifier,2000,2,2.5301361372694373,1.83802982699126
1,64,0,0,MLPClassifier,2000,2,2.313100889325142,1.7085133846849203
1,64,0,1,MLPClassifier,2000,2,2.471672561019659,1.882746827788651
0,64,1,0,MLPClassifier,4000,2,4.630127497017384,3.635858708061278
0,64,1,1,MLPClassifier,4000,2,4.634544684551656,3.5558278132230043
1,64,0,0,MLPClassifier,4000,2,5.144709387794137,3.953833214007318
1,64,0,1,MLPClassifier,4000,2,4.6926998207345605,3.694016572088003
0,64,1,0,MLPClassifier,8000,2,9.26910903584212,7.203788881190121
0,64,1,1,MLPClassifier,8000,2,9.440593613311648,7.214348084293306
1,64,0,0,MLPClassifier,8000,2,9.478269702754915,7.239345856942236
1,64,0,1,MLPClassifier,8000,2,9.339525778777897,7.327786252833903
0,64,1,0,MLPClassifier,16000,2,18.501414412632585,14.169826441444457
0,64,1,1,MLPClassifier,16000,2,18.84994487836957,14.159844220615923
1,64,0,0,MLPClassifier,16000,2,18.748905839398503,14.069364295341074
1,64,0,1,MLPClassifier,16000,2,18.417553273029625,14.366821394301951
0,64,1,0,MLPClassifier,1000,4,0.8606328889727592,0.5178889725357294
0,64,1,1,MLPClassifier,1000,4,0.8955307975411415,0.5633055018261075
1,64,0,0,MLPClassifier,1000,4,0.8161953156813979,0.49645925778895617
1,64,0,1,MLPClassifier,1000,4,0.7926190039142966,0.5095167849212885
0,64,1,0,MLPClassifier,2000,4,1.5413210531696677,1.0011495761573315
0,64,1,1,MLPClassifier,2000,4,1.5557184126228094,0.9289813982322812
1,64,0,0,MLPClassifier,2000,4,1.6153607126325369,1.0074833240360022
1,64,0,1,MLPClassifier,2000,4,1.4950451469048858,0.9432019731029868
0,64,1,0,MLPClassifier,4000,4,2.979964029043913,1.9465937707573175
0,64,1,1,MLPClassifier,4000,4,3.110169939696789,1.9647367680445313
1,64,0,0,MLPClassifier,4000,4,3.0083647314459085,1.8787898076698184
1,64,0,1,MLPClassifier,4000,4,2.9097747737541795,1.9529768340289593
0,64,1,0,MLPClassifier,8000,4,6.413910751231015,4.193853071890771
0,64,1,1,MLPClassifier,8000,4,6.442956600338221,4.137584258802235
1,64,0,0,MLPClassifier,8000,4,6.220830941572785,3.8445833791047335
1,64,0,1,MLPClassifier,8000,4,5.758765039034188,3.816934241913259
0,64,1,0,MLPClassifier,16000,4,12.082835220731795,7.779084550216794
0,64,1,1,MLPClassifier,16000,4,13.494372098706663,8.45762780494988
1,64,0,0,MLPClassifier,16000,4,12.607096157968044,7.827619259245694
1,64,0,1,MLPClassifier,16000,4,12.136082611046731,7.9848048482090235
0,64,1,0,MLPClassifier,1000,8,1.00119184050709,0.5283241160213947
0,64,1,1,MLPClassifier,1000,8,1.0355679178610444,0.5689257541671395
1,64,0,0,MLPClassifier,1000,8,0.9575746124610305,0.49799389112740755
1,64,0,1,MLPClassifier,1000,8,1.044634965248406,0.590929489582777
0,64,1,0,MLPClassifier,2000,8,1.3318915450945497,0.6539409477263689
0,64,1,1,MLPClassifier,2000,8,1.469091740436852,0.7477522594854236
1,64,0,0,MLPClassifier,2000,8,1.4065905446186662,0.6856298595666885
1,64,0,1,MLPClassifier,2000,8,1.535329976119101,0.8030951051041484
0,64,1,0,MLPClassifier,4000,8,2.534945505671203,1.3139867531135678
0,64,1,1,MLPClassifier,4000,8,2.6339791230857372,1.3124369671568274
1,64,0,0,MLPClassifier,4000,8,2.425205104984343,1.215811364352703
1,64,0,1,MLPClassifier,4000,8,2.3663343861699104,1.2430752599611878
0,64,1,0,MLPClassifier,8000,8,4.53003678098321,2.379211336374283
0,64,1,1,MLPClassifier,8000,8,4.8767164861783385,2.3037475449964404
1,64,0,0,MLPClassifier,8000,8,4.9443399021402,2.427298976108432
1,64,0,1,MLPClassifier,8000,8,4.544679929502308,2.3588954461738467
0,64,1,0,MLPClassifier,16000,8,9.565557088702917,4.952336611226201
0,64,1,1,MLPClassifier,16000,8,9.899732860736549,4.956545131281018
1,64,0,0,MLPClassifier,16000,8,9.434232984669507,4.543841966427863
1,64,0,1,MLPClassifier,16000,8,9.055776205845177,4.696605594828725
0,64,1,0,MLPClassifier,1000,16,1.3507284121587873,0.6828827988356352
0,64,1,1,MLPClassifier,1000,16,1.3161403890699148,0.5818356210365891
1,64,0,0,MLPClassifier,1000,16,1.2682047318667173,0.5503188604488969
1,64,0,1,MLPClassifier,1000,16,1.228696569800377,0.5418291902169585
0,64,1,0,MLPClassifier,2000,16,1.8200619742274284,0.8373037744313478
0,64,1,1,MLPClassifier,2000,16,1.8082655519247055,0.7741102520376444
1,64,0,0,MLPClassifier,2000,16,1.8300902731716633,0.8345840070396662
1,64,0,1,MLPClassifier,2000,16,1.750096888281405,0.7937800399959087
0,64,1,0,MLPClassifier,4000,16,2.483507825061679,1.0467743938788772
0,64,1,1,MLPClassifier,4000,16,2.6054802322760224,1.0533471759408712
