point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,64,1,0,RandomForestClassifier,4000,1,237.637453687,0.7998534600000227,118.50077797300001,0.4005016230000109
0,64,1,1,RandomForestClassifier,4000,1,236.12268690600004,1.3362486109998883,117.72069894700002,0.6814658499998814
1,64,1,0,RandomForestClassifier,4000,1,236.47657307950013,0.9226087424998184,117.92348191700015,0.4609641579998822
1,64,1,1,RandomForestClassifier,4000,1,237.72438642049997,0.33678147050011376,118.53121787849994,0.16862042350015827
2,64,0,0,RandomForestClassifier,4000,1,237.02356007999998,1.1483959520002713,118.16728287299992,0.5585897850001516
2,64,0,1,RandomForestClassifier,4000,1,238.43839861549975,0.31471655150028255,118.90325221599983,0.1584152380003161
3,64,0,0,RandomForestClassifier,4000,1,238.54425209350006,0.13378116749981928,118.94689117150006,0.06560327149986733
3,64,0,1,RandomForestClassifier,4000,1,239.77788783800042,0.4841042790001211,119.57211320950034,0.24077255650024654
4,64,1,0,RandomForestClassifier,4000,1,235.83473696049975,0.9069367235000527,117.6270342124999,0.45334499749992574
4,64,1,1,RandomForestClassifier,4000,1,235.799239144,1.3029603460006456,117.5659650655,0.6496013015005246
0,4,0,0,RandomForestClassifier,4000,1,235.98965627600023,0.9919200989995716,117.80230063850013,0.5113430704996063
0,4,0,1,RandomForestClassifier,4000,1,237.42707487100097,2.494265216000258,118.54726423250099,1.2465472495002814
1,4,1,0,RandomForestClassifier,4000,1,237.02752764749994,0.7112829264997345,118.35503073649988,0.35530906649955796
1,4,1,1,RandomForestClassifier,4000,1,239.03748502949975,0.4254308504991968,119.32766997849967,0.2270667604989285
2,4,1,0,RandomForestClassifier,4000,1,259.91515532300014,0.022631820000924563,129.7903165915004,0.010736092500792438
2,4,1,1,RandomForestClassifier,4000,1,239.38255732350012,1.6637256854999123,119.51153996350013,0.8308766855002432
3,4,0,0,RandomForestClassifier,4000,1,234.58960174750064,1.182973702500476,117.11870648200033,0.5909872410004482
3,4,0,1,RandomForestClassifier,4000,1,236.14053937150084,0.9772866525004247,117.90209317500035,0.4880539180001051
4,4,1,0,RandomForestClassifier,4000,1,238.14820721999968,2.1285303340009705,118.91303515800018,1.0637112230010644
4,4,1,1,RandomForestClassifier,4000,1,239.67638940099914,2.2851755170004253,119.66039707849905,1.1426073535003525
0,2,1,0,RandomForestClassifier,4000,1,237.7630655644998,0.6365098404994569,118.71301587100015,0.3183987999996134
0,2,1,1,RandomForestClassifier,4000,1,245.07244679450105,1.7643943655011753,122.36482517450077,0.8820192465009313
