point,features,class,target,classifier,population_size,workers,time,ptime
0,64,0,0,RandomForestClassifier,1000,1,45.51388505101204,45.24189091846347
0,64,0,1,RandomForestClassifier,1000,1,45.22972065862268,44.982130895368755
1,64,1,0,RandomForestClassifier,1000,1,46.29112690594047,46.03745403699577
1,64,1,1,RandomForestClassifier,1000,1,44.773465984500945,44.52503888309002
0,64,0,0,RandomForestClassifier,2000,1,92.45984297245741,91.93078197166324
0,64,0,1,RandomForestClassifier,2000,1,90.95141980610788,90.4141636416316
1,64,1,0,RandomForestClassifier,2000,1,90.61253052484244,90.09374806284904
1,64,1,1,RandomForestClassifier,2000,1,93.51261369045824,92.98761552013457
0,64,0,0,RandomForestClassifier,4000,1,186.5453199138865,185.47915550041944
0,64,0,1,RandomForestClassifier,4000,1,177.52572826016694,176.46436820365489
1,64,1,0,RandomForestClassifier,4000,1,183.0210499688983,181.90062359254807
1,64,1,1,RandomForestClassifier,4000,1,184.82798373047262,183.73176562041044
0,64,0,0,RandomForestClassifier,8000,1,366.4681297885254,364.26254432927817
0,64,0,1,RandomForestClassifier,8000,1,368.4074971098453,366.1456327755004
1,64,1,0,RandomForestClassifier,8000,1,372.78218865115196,370.5882006427273
1,64,1,1,RandomForestClassifier,8000,1,370.17124804109335,367.94880161061883
0,64,0,0,RandomForestClassifier,16000,1,755.3981199255213,750.745244984515
0,64,0,1,RandomForestClassifier,16000,1,738.9624292179942,734.1774303903803
1,64,1,0,RandomForestClassifier,16000,1,731.2119656633586,726.3881258284673
1,64,1,1,RandomForestClassifier,16000,1,730.0572311263531,725.2807808965445
0,64,0,0,RandomForestClassifier,1000,2,24.83227558992803,24.191920193843544
0,64,0,1,RandomForestClassifier,1000,2,24.62489982508123,24.182538216002285
1,64,1,0,RandomForestClassifier,1000,2,25.288776420988142,24.625576718710363
1,64,1,1,RandomForestClassifier,1000,2,25.29147646110505,24.750293839722872
0,64,0,0,RandomForestClassifier,2000,2,48.68245362956077,48.002810838632286
0,64,0,1,RandomForestClassifier,2000,2,48.01907073054463,47.30397267267108
1,64,1,0,RandomForestClassifier,2000,2,47.763491205871105,47.03879513498396
1,64,1,1,RandomForestClassifier,2000,2,48.133863884955645,47.31750401761383
0,64,0,0,RandomForestClassifier,4000,2,95.58958555571735,94.4248288013041
0,64,0,1,RandomForestClassifier,4000,2,94.63930506817997,93.48400573525578
1,64,1,0,RandomForestClassifier,4000,2,97.24267164152116,96.06835732329637
1,64,1,1,RandomForestClassifier,4000,2,93.76464734971523,92.57745670434088
0,64,0,0,RandomForestClassifier,8000,2,188.64878172520548,186.42973206471652
0,64,0,1,RandomForestClassifier,8000,2,192.644039651379,190.34519747272134
1,64,1,0,RandomForestClassifier,8000,2,186.69448147155344,184.46789660025388
1,64,1,1,RandomForestClassifier,8000,2,190.03097129706293,187.7461481075734
0,64,0,0,RandomForestClassifier,16000,2,377.5088060935959,372.8020482407883
0,64,0,1,RandomForestClassifier,16000,2,379.6693515153602,374.9083395982161
