point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,SVC,1000,1,11.858534253899998,4.793281778221018,5.531496606899998,2.209934764178921
0,32,0,1,SVC,1000,1,7.8502136667999896,0.6598230150025515,3.732481242799987,0.30441367879403264
1,32,1,0,SVC,1000,1,9.509431256799981,1.1820831479072855,4.503402222999986,0.561974363622176
1,32,1,1,SVC,1000,1,8.068687873700023,0.7537802365950901,3.796862676500021,0.33978847587356786
2,32,0,0,SVC,1000,1,7.694336288000014,0.9940840840173817,3.6253077946000216,0.4619499531706243
2,32,0,1,SVC,1000,1,8.833883238299986,1.5890187777719298,4.177467580099986,0.731126480077761
3,32,1,0,SVC,1000,1,7.037325400199933,0.1499765589902288,3.3592324909999265,0.07270230334534158
3,32,1,1,SVC,1000,1,7.264278975600035,0.589882064081033,3.4433704133000447,0.2693300547010802
4,32,0,0,SVC,1000,1,8.598796962300066,1.6667506065978863,4.045429248200065,0.7668956081980509
4,32,0,1,SVC,1000,1,7.628858061299963,0.7859517985343744,3.6099722793999605,0.3649664834176985
5,32,0,0,SVC,1000,1,7.0162019000000555,0.14457705839873694,3.3166010642000514,0.06491177655855795
5,32,0,1,SVC,1000,1,7.074146982100018,0.2146096303267518,3.3658801831000176,0.09042356549974369
6,32,0,0,SVC,1000,1,6.963737666000054,0.12631606149773666,3.2965551221000737,0.05645417372216899
6,32,0,1,SVC,1000,1,6.93978525179997,0.15086495819956502,3.311558442799958,0.07094459169732528
7,32,1,0,SVC,1000,1,6.985898178400101,0.1903015330117924,3.3405185188000814,0.07961638891613786
7,32,1,1,SVC,1000,1,6.822869759200057,0.08999536480404191,3.2588127224000347,0.04379563656088533
8,32,1,0,SVC,1000,1,6.794498939299956,0.07694299700640791,3.26340535009997,0.03781484249260839
8,32,1,1,SVC,1000,1,6.751558705999957,0.054728252468375,3.220901312899946,0.02523206449183652
9,32,1,0,SVC,1000,1,6.773102384799984,0.06369631749054543,3.2515047497999943,0.029160558949743
9,32,1,1,SVC,1000,1,6.699351638500071,0.0543973228081694,3.205836146200056,0.025709685539448905
0,32,0,0,SVC,2000,1,13.362537292800017,0.04322020974866169,6.393909218400017,0.021239700841100096
0,32,0,1,SVC,2000,1,13.61750511410005,0.2625667735858064,6.559398698300072,0.12275118129111237
1,32,1,0,SVC,2000,1,13.497380067200003,0.14350353388925285,6.5079739289000145,0.05328491365304324
1,32,1,1,SVC,2000,1,13.847856177600022,0.13221056833676345,6.558065942300038,0.051618311958385295
2,32,0,0,SVC,2000,1,14.899303718899978,0.8583788471033579,7.030122078799968,0.39055120023814094
2,32,0,1,SVC,2000,1,18.830237328499514,1.3937158082140182,8.848735497999474,0.6630006176174351
3,32,1,0,SVC,2000,1,19.94779274099983,1.236768045351389,9.37874177849983,0.5796595654935223
3,32,1,1,SVC,2000,1,19.739722465599947,1.4033410028757274,9.21040977629998,0.6712554250346124
4,32,0,0,SVC,2000,1,19.778522414399685,1.2047381151104137,9.217123399599677,0.5643665814520974
4,32,0,1,SVC,2000,1,19.359194437399832,1.4791028259016876,9.05457543849982,0.7039330393500117
5,32,0,0,SVC,2000,1,19.445333415499885,1.2717627051389997,9.075279508899893,0.5793657212359288
5,32,0,1,SVC,2000,1,18.879469072799907,0.9927067366747215,8.905265271199937,0.48945544601949287
6,32,0,0,SVC,2000,1,20.053751108600068,1.3573025081635035,9.384906506000084,0.6625203364233025
6,32,0,1,SVC,2000,1,21.744311316700077,2.487886953837754,10.280834355700154,1.2048591560458086
7,32,1,0,SVC,2000,1,19.754010306500412,2.113328537360545,9.302145432000453,1.0099687494073784
7,32,1,1,SVC,2000,1,19.324255983699867,1.3130743217735075,8.967555316999825,0.6121403887720281
8,32,1,0,SVC,2000,1,21.164717236500202,2.2979597588597205,9.988763477600196,1.122712025628395
8,32,1,1,SVC,2000,1,21.10984812949987,2.411848429843566,9.849651792899886,1.1620237586842384
9,32,1,0,SVC,2000,1,19.721300495900095,1.559106087132102,9.285430528000187,0.7142536410984194
9,32,1,1,SVC,2000,1,19.451898290199914,1.7414143872063401,9.061521000499942,0.834499043602823
0,32,0,0,SVC,4000,1,39.72355963489967,2.0482141962241083,18.40706804319975,0.9491699600550645
0,32,0,1,SVC,4000,1,38.5671412381997,1.5703367615054857,18.12123011749968,0.7577748879772911
1,32,1,0,SVC,4000,1,38.90445011689985,1.1362826882257377,18.218802337099852,0.5054922541069528
1,32,1,1,SVC,4000,1,29.234101524400057,4.460093131558042,13.854424754300089,1.9261710586582603
2,32,0,0,SVC,4000,1,26.881128396499797,0.1815741140933068,12.84788776449982,0.08883145715095978
2,32,0,1,SVC,4000,1,27.062016045300197,0.24626208631159627,13.000677216400117,0.1193755330410397
3,32,1,0,SVC,4000,1,26.949683164900126,0.13194156507287658,12.997197462699978,0.06700031626009297
3,32,1,1,SVC,4000,1,26.831407748000082,0.08630399518537826,12.826685784500205,0.04080695521540359
4,32,0,0,SVC,4000,1,26.859863728700383,0.09372041987086022,12.836763975000304,0.04510515438375504
4,32,0,1,SVC,4000,1,26.890395099000035,0.07090244462712764,12.907745763000184,0.03654424992422269
5,32,0,0,SVC,4000,1,26.774173573600184,0.06169763945879292,12.794359811900359,0.030280219958039513
5,32,0,1,SVC,4000,1,26.905855139600682,0.11322285824279282,12.95185797060085,0.04991918416406716
6,32,0,0,SVC,4000,1,26.881188570200358,0.19033070086405002,12.848114152800372,0.09442149553955306
6,32,0,1,SVC,4000,1,26.743961287799085,0.06329085484321555,12.894084556999314,0.03585095050923205
7,32,1,0,SVC,4000,1,26.749154761599584,0.061242421483044075,12.880209238899715,0.02424255071104796
7,32,1,1,SVC,4000,1,26.768578263100515,0.08894141508272113,12.79289124140023,0.04526603779751838
8,32,1,0,SVC,4000,1,26.77831524330013,0.10416542909844555,12.89414985420026,0.05226168610109236
8,32,1,1,SVC,4000,1,26.838149211200108,0.10186214415369463,12.830112223099968,0.050084555687170795
9,32,1,0,SVC,4000,1,26.8614602405999,0.07877420097521616,12.939932615399812,0.041155694920011206
9,32,1,1,SVC,4000,1,26.84970127669976,0.13625608145165768,12.834406667799886,0.06614523079977547
