point,features,class,target,classifier,population_size,workers,time,ptime
0,64,1,0,SVC,1000,1,5.373409062999999,2.5758823869999983
0,64,1,1,SVC,1000,1,5.500864587000001,2.6220641880000013
1,64,0,0,SVC,1000,1,5.582193671999999,2.665442972000001
1,64,0,1,SVC,1000,1,5.383801270999996,2.6018908579999973
0,64,1,0,SVC,2000,1,10.656381584999995,5.100340454999994
0,64,1,1,SVC,2000,1,11.323572711999997,5.410602804999996
1,64,0,0,SVC,2000,1,11.263285585999995,5.379260647999999
1,64,0,1,SVC,2000,1,11.224330613999989,5.434943072999985
0,64,1,0,SVC,4000,1,22.370506231000014,10.709460351000011
0,64,1,1,SVC,4000,1,22.563495155999995,10.764144589999994
1,64,0,0,SVC,4000,1,22.510770848999982,10.741402487999977
1,64,0,1,SVC,4000,1,21.728857790000035,10.49773645300003
0,64,1,0,SVC,8000,1,43.807471888999956,20.884706152999968
0,64,1,1,SVC,8000,1,44.111205195000025,20.920341966000024
1,64,0,0,SVC,8000,1,44.079895308000005,20.938289085000008
1,64,0,1,SVC,8000,1,43.646344489,21.027323702000018
0,64,1,0,SVC,16000,1,88.77109784400008,42.14066991300007
0,64,1,1,SVC,16000,1,87.84515699100001,41.57378710200001
1,64,0,0,SVC,16000,1,87.27871971299999,41.30413913199999
1,64,0,1,SVC,16000,1,87.00376935500009,41.83760466300009
0,64,1,0,SVC,1000,2,2.233902257999989,1.55
0,64,1,1,SVC,1000,2,1.9130116240000372,1.4400000000000002
1,64,0,0,SVC,1000,2,2.0146346059999907,1.4100000000000001
1,64,0,1,SVC,1000,2,1.9610545790000085,1.4400000000000002
0,64,1,0,SVC,2000,2,3.5013364079999927,2.82
0,64,1,1,SVC,2000,2,3.514335671999988,2.7199999999999998
1,64,0,0,SVC,2000,2,3.6620425899999756,2.8499999999999996
1,64,0,1,SVC,2000,2,3.6397263310000154,2.87
0,64,1,0,SVC,4000,2,6.982092233999962,5.590000000000002
0,64,1,1,SVC,4000,2,6.992883724999992,5.600000000000001
1,64,0,0,SVC,4000,2,7.140750400999976,5.670000000000001
1,64,0,1,SVC,4000,2,6.647571358999983,5.560000000000002
0,64,1,0,SVC,8000,2,13.728599713000003,11.070000000000002
0,64,1,1,SVC,8000,2,13.932573171999994,11.069999999999997
1,64,0,0,SVC,8000,2,14.015944613999991,11.079999999999998
1,64,0,1,SVC,8000,2,13.39402305500002,11.090000000000003
0,64,1,0,SVC,16000,2,27.774737382999984,22.109999999999996
0,64,1,1,SVC,16000,2,28.230968612000005,22.1
1,64,0,0,SVC,16000,2,28.27327779400003,22.07
1,64,0,1,SVC,16000,2,26.895938784999988,22.119999999999994
0,64,1,0,SVC,1000,4,1.3517443499999993,0.7600000000000003
0,64,1,1,SVC,1000,4,1.2762469369999963,0.7500000000000001
1,64,0,0,SVC,1000,4,1.3330872990000082,0.7600000000000001
1,64,0,1,SVC,1000,4,1.1589103680000403,0.77
0,64,1,0,SVC,2000,4,2.1725653699999636,1.49
0,64,1,1,SVC,2000,4,2.2750411980000154,1.5200000000000002
1,64,0,0,SVC,2000,4,2.3327009469999687,1.4899999999999998
1,64,0,1,SVC,2000,4,2.3084746369999856,1.59
0,64,1,0,SVC,4000,4,4.454465275000002,2.9199999999999995
0,64,1,1,SVC,4000,4,4.513188138000055,2.9000000000000004
1,64,0,0,SVC,4000,4,4.523892739000024,2.880000000000001
1,64,0,1,SVC,4000,4,4.162064720999999,2.96
0,64,1,0,SVC,8000,4,8.636015916000026,5.820000000000001
0,64,1,1,SVC,8000,4,9.787799322000048,6.039999999999999
1,64,0,0,SVC,8000,4,10.121988758999994,6.27
1,64,0,1,SVC,8000,4,8.400985522000006,5.960000000000002
0,64,1,0,SVC,16000,4,19.19374947100001,12.020000000000001
0,64,1,1,SVC,16000,4,18.414247586,11.820000000000004
1,64,0,0,SVC,16000,4,17.724324806999988,11.280000000000003
1,64,0,1,SVC,16000,4,16.28564285400003,11.409999999999998
0,64,1,0,SVC,1000,8,1.174259494999974,0.4700000000000002
0,64,1,1,SVC,1000,8,1.178710370999993,0.5300000000000001
1,64,0,0,SVC,1000,8,1.0521377309999982,0.48000000000000015
1,64,0,1,SVC,1000,8,0.9646190339999727,0.4600000000000002
0,64,1,0,SVC,2000,8,1.7831634930000249,0.8200000000000002
0,64,1,1,SVC,2000,8,1.705639784999994,0.8500000000000001
1,64,0,0,SVC,2000,8,1.9120817460000263,0.8900000000000001
1,64,0,1,SVC,2000,8,1.5925254779999864,0.8300000000000002
0,64,1,0,SVC,4000,8,3.1998540499999875,1.55
0,64,1,1,SVC,4000,8,3.240526160000009,1.5700000000000003
1,64,0,0,SVC,4000,8,3.314285476000016,1.57
1,64,0,1,SVC,4000,8,3.175612969000011,1.5900000000000005
0,64,1,0,SVC,8000,8,6.271053177000043,3.1100000000000008
0,64,1,1,SVC,8000,8,6.631656062000005,3.14
1,64,0,0,SVC,8000,8,6.524973592000022,2.9800000000000018
1,64,0,1,SVC,8000,8,5.999493746000031,3.050000000000001
0,64,1,0,SVC,16000,8,12.337295506999977,5.889999999999999
0,64,1,1,SVC,16000,8,13.557893113999985,6.2700000000000005
1,64,0,0,SVC,16000,8,12.476794865999995,6.0200000000000005
1,64,0,1,SVC,16000,8,11.304247824999925,6.160000000000002
0,64,1,0,SVC,1000,16,1.1462124219999852,0.40000000000000013
0,64,1,1,SVC,1000,16,1.4162500319999756,0.4800000000000002
1,64,0,0,SVC,1000,16,1.1951818860000323,0.41000000000000014
1,64,0,1,SVC,1000,16,1.0950152709999976,0.41000000000000014
0,64,1,0,SVC,2000,16,1.762801000000068,0.6100000000000003
0,64,1,1,SVC,2000,16,1.8852568590000331,0.6200000000000003
1,64,0,0,SVC,2000,16,1.8711026370000492,0.6400000000000001
1,64,0,1,SVC,2000,16,1.598145236000028,0.6000000000000003
