point,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,0,0,MLPClassifier,1000,1,1.665112585100087,0.008751523682089977,1.4420489216000987,0.008697697318820257
0,0,1,MLPClassifier,1000,1,1.6411134917999788,0.016242498008922877,1.4527122768003664,0.01391451449103135
1,1,0,MLPClassifier,1000,1,1.6447197307000807,0.01307066027245106,1.447411277700212,0.008245936105762807
1,1,1,MLPClassifier,1000,1,1.6605602692000048,0.013035756762483298,1.4389705913001307,0.0128525769913214
2,0,0,MLPClassifier,1000,1,1.6759623928999645,0.06145320606559133,1.4457725386996572,0.03527403699009948
2,0,1,MLPClassifier,1000,1,1.6544065013999443,0.05332837564279797,1.4612609788001465,0.05190235013642721
3,1,0,MLPClassifier,1000,1,1.654505377399937,0.01492376088952939,1.451008066699842,0.012331641386495099
3,1,1,MLPClassifier,1000,1,1.6615476000999934,0.0128305988854853,1.4405209841996112,0.012077381381708675
4,0,0,MLPClassifier,1000,1,1.661808083599908,0.012811633887271946,1.4409763641998778,0.012342707781016277
4,0,1,MLPClassifier,1000,1,1.6550536169999304,0.018248533352216198,1.453998175400102,0.014137247063806917
0,0,0,MLPClassifier,2000,1,3.3622825142999773,0.016673742289406438,2.897475739700076,0.01897525414655358
0,0,1,MLPClassifier,2000,1,3.3166858107999815,0.028236219053376494,2.9280177084000116,0.027075028644854022
1,1,0,MLPClassifier,2000,1,3.334217361899982,0.015223943834116339,2.9259391056005826,0.014757737611169478
1,1,1,MLPClassifier,2000,1,3.3748348498999805,0.024935416900809845,2.911415687799763,0.023566477037451714
2,0,0,MLPClassifier,2000,1,3.3723928009999327,0.01779116699798428,2.9085707189996812,0.015611872078842536
2,0,1,MLPClassifier,2000,1,3.3136613118000695,0.018834176142441598,2.9186419380998814,0.017748031483325034
3,1,0,MLPClassifier,2000,1,3.341054797400011,0.01976456928724634,2.9204443951000485,0.013180559902379617
3,1,1,MLPClassifier,2000,1,3.3801940249999007,0.01272260167187201,2.916321038199567,0.011572821160339343
4,0,0,MLPClassifier,2000,1,3.3830776027000864,0.013915838081405969,2.917090295800017,0.01485639054962877
4,0,1,MLPClassifier,2000,1,3.344129007800029,0.01330765154880528,2.928961506700034,0.009611153039378836
0,0,0,MLPClassifier,1000,4,1.0477686402000017,0.04709620421087565,0.7178623890996733,0.04512920375785184
0,0,1,MLPClassifier,1000,4,0.9920098874999894,0.05309470344772096,0.7113357884001289,0.04682463413448205
1,1,0,MLPClassifier,1000,4,1.033686977699881,0.06957030099262723,0.7249224180004603,0.05107306748465713
1,1,1,MLPClassifier,1000,4,1.0266095828000288,0.05473196837357113,0.7153984397000841,0.0349965062833635
2,0,0,MLPClassifier,1000,4,1.075400862799961,0.06590919410517748,0.742149456900006,0.056380770213439
2,0,1,MLPClassifier,1000,4,1.0083359380999355,0.054608955087301965,0.732544816199652,0.04388600478972445
3,1,0,MLPClassifier,1000,4,0.994744079900056,0.03663482197191914,0.7042410328999722,0.027032585555517734
3,1,1,MLPClassifier,1000,4,1.0541521123999247,0.04473185326988183,0.7375339442001405,0.05053903542524099
4,0,0,MLPClassifier,1000,4,1.06641578330009,0.07421265134843412,0.7421147987000041,0.050404598375066396
4,0,1,MLPClassifier,1000,4,1.049273937199996,0.06260344166954851,0.737664345599842,0.04464960685687339
0,0,0,MLPClassifier,2000,4,1.7316282581000906,0.0739959166543514,1.176704914700076,0.05416000341409321
0,0,1,MLPClassifier,2000,4,1.6541129680000268,0.05685677664835854,1.1754231993999382,0.04406381386382009
1,1,0,MLPClassifier,2000,4,1.6792642425998565,0.08169264791674861,1.1850310893002187,0.053612826721639056
1,1,1,MLPClassifier,2000,4,1.6982696621999822,0.057752041202156615,1.1574893508997774,0.034545562350408406
2,0,0,MLPClassifier,2000,4,1.697842381899909,0.07320559183686255,1.1450627085998348,0.05078425053365547
2,0,1,MLPClassifier,2000,4,1.6436121433998323,0.0591175750724197,1.164593467199893,0.05287213375416166
3,1,0,MLPClassifier,2000,4,1.6648606014000507,0.0831604171493978,1.1600229508997473,0.05932963275931347
3,1,1,MLPClassifier,2000,4,1.7495867267000904,0.03768443576904587,1.1818547578996004,0.031060659817005044
4,0,0,MLPClassifier,2000,4,1.718098632300098,0.08327920222362778,1.1593799523999224,0.05719772670332579
4,0,1,MLPClassifier,2000,4,1.6444768556999407,0.038815653253407155,1.1503479814998172,0.031469111489715006
0,0,0,MLPClassifier,1000,16,1.2790475217000676,0.058471102362218544,0.8189083476004726,0.052985688108184444
0,0,1,MLPClassifier,1000,16,1.2660278179000215,0.065708170419748,0.8535170550999738,0.05912821572182224
1,1,0,MLPClassifier,1000,16,1.2333111581999219,0.07902003304389742,0.8114732815000025,0.06106331980935929
1,1,1,MLPClassifier,1000,16,1.2917603790000611,0.058243361793620455,0.82733209659973,0.04386929805290362
2,0,0,MLPClassifier,1000,16,1.2856789507001394,0.07499776549246473,0.8155405985998186,0.0592261534671446
2,0,1,MLPClassifier,1000,16,1.2560253901000125,0.05176647787611934,0.8354503376003777,0.0453008142522494
3,1,0,MLPClassifier,1000,16,1.2429529420999188,0.020818970426408914,0.8140949024998008,0.015880273077597214
3,1,1,MLPClassifier,1000,16,1.2996494457999688,0.06053545145751583,0.8325803371000802,0.04310139372056131
4,0,0,MLPClassifier,1000,16,1.252192139699946,0.045199397929139316,0.8028280476000418,0.03852207785899956
4,0,1,MLPClassifier,1000,16,1.2972520654001074,0.0477693376141549,0.8659122106001178,0.03422387253300501
0,0,0,MLPClassifier,2000,16,1.7200989628000571,0.09203664908420131,1.0534051943003306,0.07566536894196318
0,0,1,MLPClassifier,2000,16,1.7090875043999403,0.10734297028771861,1.0995473357999344,0.07813123263954654
1,1,0,MLPClassifier,2000,16,1.698463796799888,0.06062438265125886,1.0812262109004223,0.047169875630275686
1,1,1,MLPClassifier,2000,16,1.7201086256999587,0.055477040466508434,1.0414954206999028,0.027029989861275115
2,0,0,MLPClassifier,2000,16,1.7056152085000122,0.03488439181554179,1.0420527600000695,0.027575632447009456
2,0,1,MLPClassifier,2000,16,1.6897499961000904,0.044620822426574135,1.0954108582007849,0.04017012247127943
3,1,0,MLPClassifier,2000,16,1.7243613628001184,0.05249229721268068,1.1047907957008647,0.050858340757231814
3,1,1,MLPClassifier,2000,16,1.7141287000999,0.04997178164451334,1.043231756699879,0.04258510909653977
4,0,0,MLPClassifier,2000,16,1.6631174631998875,0.04513815506313545,1.0094264840991856,0.034016736092883845
4,0,1,MLPClassifier,2000,16,1.6933211661998029,0.048516259570963595,1.0805829630997323,0.04927807266444852
