point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,MLPClassifier,1000,1,3.222076431998489,0.0,1.4544626299984884,0.0
0,32,0,1,MLPClassifier,1000,1,3.140541861998214,0.0,1.471859447998213,0.0
1,32,1,0,MLPClassifier,1000,1,3.131653845999457,0.0,1.4725487139994584,0.0
1,32,1,1,MLPClassifier,1000,1,3.124780484000924,0.0,1.4495245680009248,0.0
2,32,0,0,MLPClassifier,1000,1,3.1842384680010234,0.0,1.4787507840010221,0.0
2,32,0,1,MLPClassifier,1000,1,3.110463771999882,0.0,1.4578112039998814,0.0
3,32,1,0,MLPClassifier,1000,1,3.1362772820018883,0.0,1.4714585080018878,0.0
3,32,1,1,MLPClassifier,1000,1,3.175076159998742,0.0,1.4748891689987431,0.0
4,32,0,0,MLPClassifier,1000,1,3.1198257509984444,0.0,1.447173750998445,0.0
4,32,0,1,MLPClassifier,1000,1,3.1252873429995702,0.0,1.4621366089995718,0.0
0,32,0,0,MLPClassifier,1000,4,1.1577361649996938,0.0,0.7080318569996962,0.0
0,32,0,1,MLPClassifier,1000,4,1.0112318049982996,0.0,0.6611459379982989,0.0
1,32,1,0,MLPClassifier,1000,4,1.2108204289998916,0.0,0.8126571339998918,0.0
1,32,1,1,MLPClassifier,1000,4,1.2330602339992076,0.0,0.709641195999211,0.0
2,32,0,0,MLPClassifier,1000,4,1.090529013996477,0.0,0.7055036039964762,0.0
2,32,0,1,MLPClassifier,1000,4,1.2120733689989045,0.0,0.7979959539989068,0.0
3,32,1,0,MLPClassifier,1000,4,1.1938164479999784,0.0,0.7666939939999793,0.0
3,32,1,1,MLPClassifier,1000,4,1.1450783339986899,0.0,0.7244286389986883,0.0
4,32,0,0,MLPClassifier,1000,4,1.1114221359984064,0.0,0.6895898449984088,0.0
4,32,0,1,MLPClassifier,1000,4,1.10166102999802,0.0,0.705865994998021,0.0
0,32,0,0,MLPClassifier,1000,16,1.6840811450026045,0.0,0.8773511060026067,0.0
0,32,0,1,MLPClassifier,1000,16,1.5689210880004474,0.0,0.7969116800004485,0.0
1,32,1,0,MLPClassifier,1000,16,1.5291574630006473,0.0,0.8070896180006457,0.0
1,32,1,1,MLPClassifier,1000,16,1.6718108729983463,0.0,0.845498383998347,0.0
2,32,0,0,MLPClassifier,1000,16,1.5163467040026894,0.0,0.7912224610026897,0.0
2,32,0,1,MLPClassifier,1000,16,1.723315796000577,0.0,0.9018723670005784,0.0
3,32,1,0,MLPClassifier,1000,16,1.583079753001897,0.0,0.8579133200018987,0.0
3,32,1,1,MLPClassifier,1000,16,1.5144268650002672,0.0,0.7635677890002626,0.0
4,32,0,0,MLPClassifier,1000,16,1.6897354759993064,0.0,0.8631552809993082,0.0
4,32,0,1,MLPClassifier,1000,16,1.6472731230014617,0.0,0.8670017290014584,0.0
