samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,1000,0,1,0,MLPClassifier,-4.959459558045247,-4.616577778003026,0.22179156672049022,-4.316482593088499,1.0
10,32,2,1,1,1000,0,1,1,MLPClassifier,-0.5580150654344695,-0.3071652596879319,0.15844135959742564,-0.005837076573727451,1.0
10,32,2,1,1,1000,1,0,0,MLPClassifier,-0.7979603217101797,-0.4810087062867277,0.20642700546778245,-0.002293013523779308,1.0
10,32,2,1,1,1000,1,0,1,MLPClassifier,-6.257127380897359,-6.038269237064014,0.13179343317555173,-5.763436421581776,1.0
10,32,2,1,1,1000,2,0,0,MLPClassifier,-0.867567815716097,-0.5363718086116933,0.22409280365344342,-0.03352404604323023,1.0
10,32,2,1,1,1000,2,0,1,MLPClassifier,-8.105814647492316,-7.8624832415080865,0.165803808592137,-7.560216097654806,1.0
10,32,2,1,1,1000,3,0,0,MLPClassifier,-0.530951776646465,-0.2884813914067897,0.14795411244963355,-0.045831919324656134,1.0
10,32,2,1,1,1000,3,0,1,MLPClassifier,-6.440647944471319,-6.3449322341132275,0.07647689188752996,-6.186037245609765,1.0
10,32,2,1,1,1000,4,1,0,MLPClassifier,-7.766626400215218,-7.599218956741811,0.1332866620677718,-7.270093501934231,1.0
10,32,2,1,1,1000,4,1,1,MLPClassifier,-0.6245520934763807,-0.30666444746415034,0.17272647263480034,-0.005820938540871623,1.0
10,32,2,1,1,1000,5,0,0,MLPClassifier,-0.6308850029296117,-0.4226299968705947,0.15022848548419213,-0.06360897715068159,1.0
10,32,2,1,1,1000,5,0,1,MLPClassifier,-5.554501351704911,-5.111643060727106,0.3792544272382552,-4.3651273605623855,1.0
10,32,2,1,1,1000,6,1,0,MLPClassifier,-9.02877354002686,-8.948308318924882,0.06015391623065108,-8.77712201869697,1.0
10,32,2,1,1,1000,6,1,1,MLPClassifier,-0.8104013824901313,-0.4635188526487874,0.23534337428959148,-0.002293013523779308,1.0
10,32,2,1,1,1000,7,0,0,MLPClassifier,-0.6932435919363085,-0.45186770436424484,0.18482381484472596,-0.03352404604323045,1.0
10,32,2,1,1,1000,7,0,1,MLPClassifier,-6.499073552852639,-6.435516242516972,0.04593765020673202,-6.331313867336079,1.0
10,32,2,1,1,1000,8,1,0,MLPClassifier,-6.716311770548856,-6.353098961140874,0.2726188618539601,-5.801963798974072,1.0
