samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,2000,0,1,0,RandomForestClassifier,-5.589201356603019,-5.566123005663867,0.016253037974541473,-5.53338983109622,1.0
10,32,2,1,1,2000,0,1,1,RandomForestClassifier,-0.6406797953528967,-0.3634588308103919,0.18442610778932342,-0.017893419182694048,1.0
10,32,2,1,1,2000,1,0,0,RandomForestClassifier,-0.47906997953725633,-0.2867734483704409,0.12328108145027099,-0.021084669653110844,1.0
10,32,2,1,1,2000,1,0,1,RandomForestClassifier,-5.567014439435086,-5.387413510984411,0.12630888616622393,-5.108399242577508,1.0
10,32,2,1,1,2000,2,0,0,RandomForestClassifier,-0.3551390379806381,-0.19181895940399102,0.08403402641479439,-0.03352404604323023,1.0
10,32,2,1,1,2000,2,0,1,RandomForestClassifier,-5.2885852009126,-4.957231505386709,0.22743261017197156,-4.471854087816103,1.0
10,32,2,1,1,2000,3,0,0,RandomForestClassifier,-0.5449775296339879,-0.33663667595077806,0.14332925671808325,-0.013897432341120286,1.0
10,32,2,1,1,2000,3,0,1,RandomForestClassifier,-5.3652288981920515,-5.000867629870153,0.21785761573136414,-4.674794495343999,1.0
10,32,2,1,1,2000,4,1,0,RandomForestClassifier,-4.424281017516498,-4.306453710451361,0.07582237451597776,-4.154158292486642,1.0
10,32,2,1,1,2000,4,1,1,RandomForestClassifier,-0.6475157501204879,-0.3862110414255473,0.18670030400752732,-0.011951071555938775,1.0
10,32,2,1,1,2000,5,0,0,RandomForestClassifier,-0.48534653317505094,-0.29578924168015824,0.1386327612724655,-0.011119991576273969,1.0
10,32,2,1,1,2000,5,0,1,RandomForestClassifier,-2.7029961839132985,-2.3304541507176424,0.2536475706416353,-1.9059155628407947,1.0
10,32,2,1,1,2000,6,1,0,RandomForestClassifier,-8.450236653009204,-8.388308403304874,0.04510267373693768,-8.282561195954651,1.0
10,32,2,1,1,2000,6,1,1,RandomForestClassifier,-0.5903240342658277,-0.3254522267830886,0.15132117123254757,-0.02400426628198371,1.0
10,32,2,1,1,2000,7,0,0,RandomForestClassifier,-0.3965755565940088,-0.24215669242905974,0.09050949502205485,-0.03586816983060559,1.0
10,32,2,1,1,2000,7,0,1,RandomForestClassifier,-4.836737508027787,-4.529818413618273,0.23597221731909332,-4.10390792925231,1.0
10,32,2,1,1,2000,8,1,0,RandomForestClassifier,-2.6427014430050217,-2.4675497877124433,0.15458625841435145,-2.019055939291759,1.0
10,32,2,1,1,2000,8,1,1,RandomForestClassifier,-0.5373048031499147,-0.27032810731061896,0.1279499148599754,-0.05856400084950897,1.0
