point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,RandomForestClassifier,1000,1,97.64074851700174,0.0,48.70297304400174,0.0
0,32,0,1,RandomForestClassifier,1000,1,96.81004768900081,0.0,48.3087513140008,0.0
1,32,1,0,RandomForestClassifier,1000,1,98.85814971799999,0.0,49.32336170899998,0.0
1,32,1,1,RandomForestClassifier,1000,1,99.55456606600254,0.0,49.65783583300254,0.0
2,32,0,0,RandomForestClassifier,1000,1,99.7681139859985,0.0,49.7654353379985,0.0
2,32,0,1,RandomForestClassifier,1000,1,99.10938229200394,0.0,49.458190512003966,0.0
3,32,1,0,RandomForestClassifier,1000,1,99.03069952699826,0.0,49.417267794998224,0.0
3,32,1,1,RandomForestClassifier,1000,1,100.6394788749999,0.0,50.2008909189999,0.0
4,32,0,0,RandomForestClassifier,1000,1,98.88014589399359,0.0,49.32244412399359,0.0
4,32,0,1,RandomForestClassifier,1000,1,98.09246275199695,0.0,48.942383206996965,0.0
0,32,0,0,RandomForestClassifier,1000,4,14.845808271002454,0.0,13.700067219002449,0.0
0,32,0,1,RandomForestClassifier,1000,4,15.438975660996903,0.0,14.217248502996881,0.0
1,32,1,0,RandomForestClassifier,1000,4,15.87571730499593,0.0,14.581896138995944,0.0
1,32,1,1,RandomForestClassifier,1000,4,15.984557095997673,0.0,14.548553742997683,0.0
2,32,0,0,RandomForestClassifier,1000,4,15.841094303999228,0.0,14.517048690999218,0.0
2,32,0,1,RandomForestClassifier,1000,4,16.08182534799994,0.0,14.760886007999943,0.0
3,32,1,0,RandomForestClassifier,1000,4,16.346009811001863,0.0,14.879131828001846,0.0
3,32,1,1,RandomForestClassifier,1000,4,16.13659601100187,0.0,14.853608067001915,0.0
4,32,0,0,RandomForestClassifier,1000,4,16.40363874699665,0.0,15.04559132799659,0.0
4,32,0,1,RandomForestClassifier,1000,4,16.410732857997573,0.0,15.062236510997536,0.0
0,32,0,0,RandomForestClassifier,1000,16,19.64175478999789,0.0,13.012606776997927,0.0
0,32,0,1,RandomForestClassifier,1000,16,17.98145996499761,0.0,12.051293820997671,0.0
1,32,1,0,RandomForestClassifier,1000,16,17.435268986002484,0.0,11.782691574002456,0.0
1,32,1,1,RandomForestClassifier,1000,16,18.310950569000852,0.0,12.310901934000867,0.0
2,32,0,0,RandomForestClassifier,1000,16,18.507321211001567,0.0,12.441727095001625,0.0
2,32,0,1,RandomForestClassifier,1000,16,18.361228331999087,0.0,12.365161829999124,0.0
3,32,1,0,RandomForestClassifier,1000,16,18.182578537992413,0.0,12.194131002992435,0.0
3,32,1,1,RandomForestClassifier,1000,16,18.329937792998066,0.0,12.100002066998059,0.0
4,32,0,0,RandomForestClassifier,1000,16,18.052448794994916,0.0,11.898956481994901,0.0
4,32,0,1,RandomForestClassifier,1000,16,17.838404001004847,0.0,11.9678475680048,0.0
