samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,2,2,1,1,1000,0,1,0,RandomForestClassifier,-0.16159949112648797,-0.15218366537349803,0.0041910750628917125,-0.14606952887619173,1.0
10,2,2,1,1,1000,0,1,1,RandomForestClassifier,-0.030604365873018402,-0.015047061614668367,0.009558211765732698,-0.0006774392002930618,1.0
10,2,2,1,1,1000,1,0,0,RandomForestClassifier,-0.03370049571592219,-0.016875819486451785,0.010251091040231116,-0.0006774392002930618,1.0
10,2,2,1,1,1000,1,0,1,RandomForestClassifier,-2.772269167286018,-2.561526177537417,0.26271044359750206,-1.3532403922296785,1.0
10,2,2,1,1,1000,2,0,0,RandomForestClassifier,-0.03135095268261612,-0.015398685652460893,0.009841960808763353,-0.0006774392002930618,1.0
10,2,2,1,1,1000,2,0,1,RandomForestClassifier,-0.57179772709642,-0.5282621693492415,0.02052644447073728,-0.48912503548589353,1.0
10,2,2,1,1,1000,3,0,0,RandomForestClassifier,-0.03274008548556968,-0.015804834804378526,0.009384559753582974,-0.0006774392002930618,1.0
10,2,2,1,1,1000,3,0,1,RandomForestClassifier,-1.9392793486431432,-1.9079553564235692,0.08288385903585871,-1.300577558916012,1.0
10,2,2,1,1,1000,4,1,0,RandomForestClassifier,-0.15536187407970897,-0.11550379594985476,0.013606198304823647,-0.1029523720757326,1.0
10,2,2,1,1,1000,4,1,1,RandomForestClassifier,-0.030604365873018402,-0.015731476750514905,0.009383767149628595,-0.0006774392002930618,1.0
10,2,2,1,1,1000,5,1,0,RandomForestClassifier,-0.18592454645332376,-0.16658269390683164,0.00975452918818294,-0.15225890752480176,1.0
10,2,2,1,1,1000,5,1,1,RandomForestClassifier,-0.03374988834669623,-0.018361471706717637,0.010328598723851917,-0.0006774392002930618,1.0
10,2,2,1,1,1000,6,1,0,RandomForestClassifier,-0.14810126933097467,-0.1382509357071547,0.004239491852760564,-0.13339817079822147,1.0
10,2,2,1,1,1000,6,1,1,RandomForestClassifier,-0.033025625647791955,-0.01801964987495132,0.009829859851096212,-0.0006774392002930618,1.0
10,2,2,1,1,1000,7,1,0,RandomForestClassifier,-0.10409942925909164,-0.07646536147046394,0.018179685583465673,-0.034744845394259594,1.0
10,2,2,1,1,1000,7,1,1,RandomForestClassifier,-0.031167521422865385,-0.016852301244454426,0.009594638639479541,-0.0008521618484365057,1.0
10,2,2,1,1,1000,8,1,0,RandomForestClassifier,-0.19395909006622525,-0.18700401524760757,0.0031013411897766407,-0.17443782116515183,1.0
10,2,2,1,1,1000,8,1,1,RandomForestClassifier,-0.03166222599418855,-0.01653131917926717,0.009677175876791828,-0.0006774392002930618,1.0
10,2,2,1,1,1000,9,0,0,RandomForestClassifier,-0.034210518885588244,-0.01801684954435084,0.010973116356449035,-0.0006774392002930618,1.0
10,2,2,1,1,1000,9,0,1,RandomForestClassifier,-2.738079693966781,-2.6967994731021894,0.022802310711756275,-2.664404785676615,1.0
10,8,2,1,1,1000,0,1,0,RandomForestClassifier,-1.2855467766943298,-1.2253633250982825,0.034683915048925,-1.1623217988192551,1.0
10,8,2,1,1,1000,0,1,1,RandomForestClassifier,-0.16098483640318206,-0.11299038466170964,0.04431555932995396,-0.005699880382615596,1.0
10,8,2,1,1,1000,1,1,0,RandomForestClassifier,-1.9886651449064892,-1.861288214347874,0.10019369928463215,-1.6679851974070996,1.0
10,8,2,1,1,1000,1,1,1,RandomForestClassifier,-0.16587593520678967,-0.10214052220510002,0.049489355787592094,-0.0011283485016011507,1.0
10,8,2,1,1,1000,2,1,0,RandomForestClassifier,-2.2784343090994716,-2.13647180485301,0.08566245815641466,-2.0086003994473507,1.0
10,8,2,1,1,1000,2,1,1,RandomForestClassifier,-0.16474018075625751,-0.10975508267301212,0.04029980000560369,-0.006673060693094923,1.0
10,8,2,1,1,1000,3,1,0,RandomForestClassifier,-3.7075976662202508,-3.6228428081560202,0.05171353823245852,-3.4933562149518127,1.0
10,8,2,1,1,1000,3,1,1,RandomForestClassifier,-0.17285748468790915,-0.11184991153827653,0.04525392816167959,-0.0021504703483485876,1.0
10,8,2,1,1,1000,4,1,0,RandomForestClassifier,-1.7977895894659495,-1.7447642916197506,0.04803753216468674,-1.5979020498138197,1.0
10,8,2,1,1,1000,4,1,1,RandomForestClassifier,-0.1068945419536222,-0.07117409261863114,0.02955736403905246,-0.0021504703483485876,1.0
10,8,2,1,1,1000,5,0,0,RandomForestClassifier,-0.17114266874471423,-0.08173121742361761,0.05335862757243751,-0.0040135894771335945,1.0
10,8,2,1,1,1000,5,0,1,RandomForestClassifier,-2.4753210491347057,-2.4275329092135705,0.026644961276227994,-2.373890796577087,1.0
10,8,2,1,1,1000,6,0,0,RandomForestClassifier,-0.13124431284124352,-0.091217131740994,0.0339600676755456,-0.017348022444901634,1.0
10,8,2,1,1,1000,6,0,1,RandomForestClassifier,-2.4422919596356905,-2.367117186466335,0.03658389305970625,-2.3143988865526164,1.0
10,8,2,1,1,1000,7,1,0,RandomForestClassifier,-1.6798899847467867,-1.5978204722463771,0.05800674276684562,-1.4801177440751137,1.0
10,8,2,1,1,1000,7,1,1,RandomForestClassifier,-0.0795718620835344,-0.043410134134384444,0.02011309276680326,-0.0040135894771338165,1.0
10,8,2,1,1,1000,8,1,0,RandomForestClassifier,-1.1552865354846589,-1.064038249995835,0.04269586052324613,-1.0092650880688123,1.0
10,8,2,1,1,1000,8,1,1,RandomForestClassifier,-0.1531355873105893,-0.08822885747705453,0.04063643235339337,-0.0021504703483485876,1.0
10,8,2,1,1,1000,9,1,0,RandomForestClassifier,-1.664608173461478,-1.5664595427942254,0.06051344485607759,-1.4823196710117041,1.0
10,8,2,1,1,1000,9,1,1,RandomForestClassifier,-0.11880566853518465,-0.0720785293621152,0.030025173373936412,-0.0011283485016009287,1.0
