point,features,class,target,classifier,population_size,workers,time,time_std,ptime,ptime_std
0,32,0,0,SVC,1000,1,5.137853227002674,0.0,2.4565697310026735,0.0
0,32,0,1,SVC,1000,1,5.200753236000497,0.0,2.500613269000496,0.0
1,32,1,0,SVC,1000,1,5.1605064970014904,0.0,2.4968939340014913,0.0
1,32,1,1,SVC,1000,1,5.241174167999867,0.0,2.507060992999868,0.0
2,32,0,0,SVC,1000,1,5.264621001003132,0.0,2.519188154003132,0.0
2,32,0,1,SVC,1000,1,5.195765638000651,0.0,2.5008696660006535,0.0
3,32,1,0,SVC,1000,1,5.232173198999444,0.0,2.5269429519994446,0.0
3,32,1,1,SVC,1000,1,5.2066442879983015,0.0,2.4916096909983025,0.0
4,32,0,0,SVC,1000,1,5.15057027899832,0.0,2.4629724419983177,0.0
4,32,0,1,SVC,1000,1,5.214934483002601,0.0,2.4994480150025993,0.0
0,32,0,0,SVC,1000,4,1.4267646340032556,0.0,0.942443759003254,0.0
0,32,0,1,SVC,1000,4,1.3614265869988351,0.0,1.016523260998838,0.0
1,32,1,0,SVC,1000,4,1.2551084229991076,0.0,0.9442219199991086,0.0
1,32,1,1,SVC,1000,4,1.3253723870004066,0.0,0.9300825070004066,0.0
2,32,0,0,SVC,1000,4,1.2400492360009636,0.0,0.8960765960009667,0.0
2,32,0,1,SVC,1000,4,1.3420629889983786,0.0,0.9906466019983782,0.0
3,32,1,0,SVC,1000,4,1.3250795339988883,0.0,0.9686358529988865,0.0
3,32,1,1,SVC,1000,4,1.3506825910010534,0.0,0.9949952030010536,0.0
4,32,0,0,SVC,1000,4,1.3477763980003772,0.0,0.9751336010003797,0.0
4,32,0,1,SVC,1000,4,1.4096347809983811,0.0,1.005899131998376,0.0
0,32,0,0,SVC,1000,16,1.427026413001208,0.0,0.854237145001207,0.0
0,32,0,1,SVC,1000,16,1.50552843500369,0.0,0.971698065003693,0.0
1,32,1,0,SVC,1000,16,1.3980009449976762,0.0,0.8803455669976756,0.0
1,32,1,1,SVC,1000,16,1.5934616289989876,0.0,0.9920643129989912,0.0
2,32,0,0,SVC,1000,16,1.3167520469985305,0.0,0.7700151009985348,0.0
2,32,0,1,SVC,1000,16,1.5246779450000147,0.0,0.9536520550000205,0.0
3,32,1,0,SVC,1000,16,1.499476557002076,0.0,0.9970195690020773,0.0
3,32,1,1,SVC,1000,16,1.4740452109980566,0.0,0.9027132649980558,0.0
4,32,0,0,SVC,1000,16,1.5381800429996773,0.0,0.9179137399996762,0.0
4,32,0,1,SVC,1000,16,1.4150176830006842,0.0,0.8677497960006804,0.0
