samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,2000,0,1,0,MLPClassifier,0.6164639139517216,0.6148598472108415,0.0007257955270602,0.6140374558859557,1.0
10,2,2,1,0,2000,0,1,1,MLPClassifier,0.0125985164518158,0.0065033256618086,0.003307553787985,0.0005113852011555,1.0
10,2,2,1,0,2000,1,0,0,MLPClassifier,0.0200685755909498,0.0097194839703975,0.0057375202733315,2.5811523919894164e-05,1.0
10,2,2,1,0,2000,1,0,1,MLPClassifier,2.3128535446733243,2.307665510975472,0.0030921343650724,2.302652842911493,1.0
10,2,2,1,0,2000,2,0,0,MLPClassifier,0.014586410183135,0.0070926822077632,0.0043761995257879,0.000221330806674,1.0
10,2,2,1,0,2000,2,0,1,MLPClassifier,1.198118366031428,1.1895061168383811,0.0046283821173612,1.1814618507296644,1.0
10,2,2,1,0,2000,3,1,0,MLPClassifier,1.291976203058402,1.2908801573650754,0.0010114892615885,1.2892101240443723,1.0
10,2,2,1,0,2000,3,1,1,MLPClassifier,0.0191113420892035,0.0095789656415676,0.0056093313179044,1.1793313769103976e-05,1.0
10,2,2,1,0,2000,4,0,0,MLPClassifier,0.0134743202734383,0.0069688191785794,0.0036247911389379,0.0001458955073873,1.0
10,2,2,1,0,2000,4,0,1,MLPClassifier,0.5069577812805538,0.5049968748912186,0.0008436940458192,0.5041617223045384,1.0
10,2,2,1,0,2000,5,0,0,MLPClassifier,0.0320187069426661,0.0164456321278468,0.0087502053020014,1.2043111413992391e-05,1.0
10,2,2,1,0,2000,5,0,1,MLPClassifier,1.951202455073337,1.9454533013311637,0.0033163881039211,1.938987981612091,1.0
10,2,2,1,0,2000,6,1,0,MLPClassifier,0.5007200563624373,0.4885421562168741,0.0062470920905189,0.4794625172931568,1.0
10,2,2,1,0,2000,6,1,1,MLPClassifier,0.0271285867204756,0.0142776718594323,0.0076784615465842,0.0003055119789188,1.0
10,2,2,1,0,2000,7,1,0,MLPClassifier,0.0839148086487003,0.0582916305242055,0.0132215307830236,0.0388356402087663,1.0
10,2,2,1,0,2000,7,1,1,MLPClassifier,0.0242379706666052,0.011841739711461,0.0071337518475848,7.576092007438584e-05,1.0
10,2,2,1,0,2000,8,1,0,MLPClassifier,1.0474339649052709,1.0453913873226155,0.0011048090942159,1.0433465413841256,1.0
10,2,2,1,0,2000,8,1,1,MLPClassifier,0.0198777604283848,0.0107611501967961,0.0057863605636207,0.0002188262482381,1.0
10,2,2,1,0,2000,9,0,0,MLPClassifier,0.0162860859991222,0.0085779346355541,0.0048418838393365,2.27076934013748e-05,1.0
10,2,2,1,0,2000,9,0,1,MLPClassifier,0.0164723606036275,0.0088760986372853,0.0040770815041057,0.0022955127816856,1.0
10,2,2,1,0,8000,0,1,0,MLPClassifier,0.6281252518816614,0.6260858255649809,0.0010794177536378,0.6243719185974893,1.0
10,2,2,1,0,8000,0,1,1,MLPClassifier,0.0131343031306367,0.0068565467501057,0.0037684293798454,1.8273822727010725e-05,1.0
10,2,2,1,0,8000,1,0,0,MLPClassifier,0.0206276465726116,0.0108366668869423,0.0057115630453453,7.746591101909228e-05,1.0
10,2,2,1,0,8000,1,0,1,MLPClassifier,2.3106840659709498,2.303600534682332,0.0040236715308839,2.297086334637761,1.0
10,2,2,1,0,8000,2,0,0,MLPClassifier,0.0139273736380495,0.0073573290065287,0.0039598721916337,4.710370910920858e-05,1.0
10,2,2,1,0,8000,2,0,1,MLPClassifier,1.1890646201521728,1.1837403872138414,0.0028767739755005,1.1789134150523706,1.0
10,2,2,1,0,8000,3,1,0,MLPClassifier,1.298959625985974,1.2970977077204422,0.0010969023093743,1.2951733429305414,1.0
10,2,2,1,0,8000,3,1,1,MLPClassifier,0.0171497843126462,0.008833182711466,0.0048005012268439,2.353196135929103e-05,1.0
10,2,2,1,0,8000,4,0,0,MLPClassifier,0.0122473476234103,0.0060824352240116,0.0035361789733133,3.0133114807817662e-06,1.0
10,2,2,1,0,8000,4,0,1,MLPClassifier,0.5041172699629057,0.5021844005307867,0.0009086118676343,0.5010896710702409,1.0
10,2,2,1,0,8000,5,0,0,MLPClassifier,0.0261204023949107,0.0133745817035812,0.0076976323930852,3.838497946749564e-05,1.0
10,2,2,1,0,8000,5,0,1,MLPClassifier,1.950543715681116,1.9388751635002308,0.0062213928647578,1.9285353408969883,1.0
