samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,1000,0,1,0,MLPClassifier,0.655846440667886,0.6554281978661567,0.0003118602410603,0.6543154561665805,1.0
10,2,2,1,0,1000,0,1,1,MLPClassifier,0.0157604946604692,0.0081683689289967,0.0049512473340984,0.0002092962438622,1.0
10,2,2,1,0,1000,1,0,0,MLPClassifier,0.0221198252315916,0.0108758364446149,0.0061880013861152,0.0003907426606254,1.0
10,2,2,1,0,1000,1,0,1,MLPClassifier,2.2870231796577354,2.282766601941967,0.0022588636367281,2.2790449373874098,1.0
10,2,2,1,0,1000,2,0,0,MLPClassifier,0.0146194057142485,0.0061173483332225,0.0039605378027025,0.0005384724132151,1.0
10,2,2,1,0,1000,2,0,1,MLPClassifier,1.1657508805207548,1.160589675720807,0.0030333176657169,1.1556357264047608,1.0
10,2,2,1,0,1000,3,1,0,MLPClassifier,1.331966971758333,1.331202732645497,0.000586125004309,1.3302829577690565,1.0
10,2,2,1,0,1000,3,1,1,MLPClassifier,0.0184248154285331,0.008366561247799,0.0054764981260025,6.646776756524808e-05,1.0
10,2,2,1,0,1000,4,0,0,MLPClassifier,0.0121374541780394,0.0069005361794862,0.003473265691233,6.722545818238501e-05,1.0
10,2,2,1,0,1000,4,0,1,MLPClassifier,0.4677136787547636,0.4652583152293087,0.0012201754683342,0.4638758572081604,1.0
10,2,2,1,0,1000,5,0,0,MLPClassifier,0.029139389872133,0.0162724320345957,0.0079615596092157,0.0001278445340525,1.0
10,2,2,1,0,1000,5,0,1,MLPClassifier,1.9400541715998048,1.9325428847334776,0.0048507745568949,1.925009643051369,1.0
10,2,2,1,0,1000,6,1,0,MLPClassifier,0.5046940140646461,0.4946501343982275,0.0057220249261817,0.486817215012634,1.0
10,2,2,1,0,1000,6,1,1,MLPClassifier,0.0260547007330197,0.0130443924282755,0.0075361446814378,2.3900872175519616e-05,1.0
10,2,2,1,0,1000,7,1,0,MLPClassifier,0.1107918573435234,0.090491782685062,0.0111969686247021,0.076104691027716,1.0
10,2,2,1,0,1000,7,1,1,MLPClassifier,0.0307843655296605,0.0158943107962171,0.0084815350754786,0.0002030381170396,1.0
10,2,2,1,0,1000,8,1,0,MLPClassifier,1.0881114339116364,1.0861237923366844,0.0012997561484819,1.0840524881703208,1.0
