samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,1000,0,1,0,MLPClassifier,-7.237931879628669,-6.7194369973093595,0.3915787593946702,-6.039137698856433,1.0
10,32,2,1,1,1000,0,1,1,MLPClassifier,-1.491740264929191,-0.8060746560813292,0.385599695956246,-0.1093918774943039,1.0
10,32,2,1,1,1000,1,0,0,MLPClassifier,-1.1492351011833797,-0.6772240171798165,0.21282381288458604,-0.2288200062726251,1.0
10,32,2,1,1,1000,1,0,1,MLPClassifier,-6.330274314997286,-6.182759190699528,0.08132996249817322,-6.052256896863867,1.0
10,32,2,1,1,1000,2,0,0,MLPClassifier,-1.4284961319069576,-0.9360873007204291,0.3079890955015089,-0.2597981507860099,1.0
10,32,2,1,1,1000,2,0,1,MLPClassifier,-7.123098060722324,-6.813433867157179,0.18538708354447897,-6.4935543361971035,1.0
10,32,2,1,1,1000,3,0,0,MLPClassifier,-0.9679641803516867,-0.5828950952745081,0.2684882849928559,-0.009113934655368361,1.0
10,32,2,1,1,1000,3,0,1,MLPClassifier,-8.58465158585833,-8.381424024935823,0.11355301037106325,-8.21181914097422,1.0
10,32,2,1,1,1000,4,1,0,MLPClassifier,-8.389363004044101,-8.153121770559524,0.1625769982846671,-7.79431422735251,1.0
10,32,2,1,1,1000,4,1,1,MLPClassifier,-1.1936419416715784,-0.7714239038226102,0.2718537099139594,-0.11165058383065407,1.0
10,32,2,1,1,1000,5,0,0,MLPClassifier,-1.184734129360089,-0.7139200896193486,0.30919249570526963,-0.018593158372566476,1.0
10,32,2,1,1,1000,5,0,1,MLPClassifier,-5.826562443329053,-5.359140156847375,0.31316549828555706,-4.72077836113844,1.0
10,32,2,1,1,1000,6,1,0,MLPClassifier,-10.721213551074102,-10.574641095862157,0.09505820722561638,-10.291896318486314,1.0
10,32,2,1,1,1000,6,1,1,MLPClassifier,-1.6910416669085386,-0.8897118097078236,0.44106793798848554,-0.029353131996664894,1.0
10,32,2,1,1,1000,7,0,0,MLPClassifier,-1.3210417819622313,-0.7378527658582822,0.3652081398615735,-0.050261734588729734,1.0
10,32,2,1,1,1000,7,0,1,MLPClassifier,-6.917667117294942,-6.27552135083757,0.41370281623821326,-5.530421967479229,1.0
10,32,2,1,1,1000,8,1,0,MLPClassifier,-7.676230191416997,-6.899653764375113,0.6224268144564807,-5.567424964841121,1.0
10,32,2,1,1,1000,8,1,1,MLPClassifier,-0.9930238111436446,-0.5595994578433746,0.29834837340659964,-0.0554769359296996,1.0
10,32,2,1,1,1000,9,1,0,MLPClassifier,-2.4770563925930915,-2.099059957223082,0.24827145576553775,-1.603214280133696,1.0
10,32,2,1,1,1000,9,1,1,MLPClassifier,-1.1505598839515163,-0.6677092018617017,0.3157705531508772,-0.0343803272059513,1.0
10,4,2,1,1,1000,0,0,0,MLPClassifier,-0.02988897035402321,-0.013413111324751039,0.008589529039149774,-0.000257579827180221,1.0
10,4,2,1,1,1000,0,0,1,MLPClassifier,-1.5877200623096888,-1.5776855391639244,0.008328248337968667,-1.5320254922727858,1.0
10,4,2,1,1,1000,1,0,0,MLPClassifier,-0.05296664805432936,-0.027806425866623855,0.014095937917246306,-0.002144234847595905,1.0
10,4,2,1,1,1000,1,0,1,MLPClassifier,-0.29730415866218224,-0.28845516348240696,0.006418509124396328,-0.2765130047700184,1.0
10,4,2,1,1,1000,2,1,0,MLPClassifier,-0.7986907052687738,-0.7159964578349771,0.05337954572394033,-0.625555906392318,1.0
10,4,2,1,1,1000,2,1,1,MLPClassifier,-0.05173162950420109,-0.02598669302491461,0.013687133503022888,-0.0030665676709689116,1.0
10,4,2,1,1,1000,3,1,0,MLPClassifier,-0.11239788819602578,-0.07827589291603759,0.016049267887765385,-0.06009731304276189,1.0
10,4,2,1,1,1000,3,1,1,MLPClassifier,-0.04275916462312967,-0.020398169331809612,0.01212653024700515,-0.0005845689740477944,1.0
10,4,2,1,1,1000,4,0,0,MLPClassifier,-0.03595644997640335,-0.020151217699342777,0.010794094845623615,-0.00025450505854807126,1.0
10,4,2,1,1,1000,4,0,1,MLPClassifier,-1.6666625626175737,-1.6345111752562576,0.02465799952300066,-1.598074918292219,1.0
10,4,2,1,1,1000,5,1,0,MLPClassifier,-1.408464142539084,-1.3935173575466222,0.00996465878986824,-1.3691973720556883,1.0
10,4,2,1,1,1000,5,1,1,MLPClassifier,-0.0533826768936524,-0.026446199350697933,0.014542003863271216,-0.0022645020327414223,1.0
10,4,2,1,1,1000,6,0,0,MLPClassifier,-0.06665545615167084,-0.035038969906074406,0.018997270328249563,-0.0005109832408735637,1.0
10,4,2,1,1,1000,6,0,1,MLPClassifier,-1.923479888514149,-1.88594409282545,0.01865092380021463,-1.8292418538653208,1.0
10,4,2,1,1,1000,7,0,0,MLPClassifier,-0.031474791994404595,-0.016466464127386674,0.009020895297563862,-0.0007311974653319009,1.0
10,4,2,1,1,1000,7,0,1,MLPClassifier,-1.198663301142175,-1.18251663654696,0.009679410319200063,-1.162568843865158,1.0
10,4,2,1,1,1000,8,0,0,MLPClassifier,-0.03399900151280322,-0.017126945002649437,0.009850254025870569,-0.0006085058814118138,1.0
10,4,2,1,1,1000,8,0,1,MLPClassifier,-1.3675984510736874,-1.3382669769868902,0.016290705301887587,-1.316358245848786,1.0
10,4,2,1,1,1000,9,0,0,MLPClassifier,-0.03286684649610094,-0.01720568615764057,0.009565347315351982,-0.0010560568307116935,1.0
10,4,2,1,1,1000,9,0,1,MLPClassifier,-1.3730607842456486,-1.3626751352090818,0.005575440120702073,-1.3562666446207692,1.0
10,8,2,1,1,1000,0,1,0,MLPClassifier,-1.2055868310191882,-1.1454048219222428,0.03797798714636745,-1.0807949130843286,1.0
10,8,2,1,1,1000,0,1,1,MLPClassifier,-0.14913182321725096,-0.0856838887763698,0.04121706045335731,-0.0068435506761834325,1.0
10,8,2,1,1,1000,1,1,0,MLPClassifier,-1.201265516091112,-1.1061118709414537,0.05014116405122864,-1.0355138605270482,1.0
10,8,2,1,1,1000,1,1,1,MLPClassifier,-0.20286074029733647,-0.10992443751975617,0.061894361328578666,-0.0014715290207720777,1.0
10,8,2,1,1,1000,2,1,0,MLPClassifier,-0.8545202045021093,-0.8028937844948988,0.026060162128175593,-0.7620773215498189,1.0
10,8,2,1,1,1000,2,1,1,MLPClassifier,-0.12438669644639244,-0.07103826555214222,0.033141591190358755,-0.015847440521782136,1.0
10,8,2,1,1,1000,3,1,0,MLPClassifier,-1.4762537580717072,-1.417357456262778,0.041279927979368566,-1.2602791624424097,1.0
10,8,2,1,1,1000,3,1,1,MLPClassifier,-0.17431523422133105,-0.09105675347846173,0.04702399087294035,-0.004004922787517587,1.0
10,8,2,1,1,1000,4,1,0,MLPClassifier,-0.7998079016527035,-0.7345795034121061,0.041297840689945596,-0.666757480523936,1.0
10,8,2,1,1,1000,4,1,1,MLPClassifier,-0.12216791143460255,-0.07715586325356558,0.03224237661039382,-0.006331934092463354,1.0
