samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,0,1000,0,1,0,MLPClassifier,0.6539457841313322,0.6505084697480622,0.0013699996911525,0.6479648171793112,1.0
10,2,2,1,0,1000,0,1,1,MLPClassifier,0.0201269850321672,0.0106921750146039,0.0054722994220223,6.026060210362338e-05,1.0
10,2,2,1,0,1000,1,0,0,MLPClassifier,0.0185793019518487,0.0096303150977904,0.005162975426065,0.0002897501092209,1.0
10,2,2,1,0,1000,1,0,1,MLPClassifier,2.3139617545131403,2.3037108050074284,0.005537979808323,2.2925294526308124,1.0
10,2,2,1,0,1000,2,0,0,MLPClassifier,0.0190148540162264,0.009669284341589,0.0054004079480165,0.0004840502714126,1.0
10,2,2,1,0,1000,2,0,1,MLPClassifier,1.193353496807973,1.1860735853349558,0.0059814114945304,1.1713734044879325,1.0
10,2,2,1,0,1000,3,1,0,MLPClassifier,1.3273425626305968,1.324238242570116,0.0013200773185912,1.322706510807657,1.0
10,2,2,1,0,1000,3,1,1,MLPClassifier,0.0180406131712205,0.0093307949777138,0.0049611221602008,4.773566818960795e-05,1.0
10,2,2,1,0,1000,4,0,0,MLPClassifier,0.0192778638102852,0.0102595399440497,0.0053031360810667,4.773566818938591e-05,1.0
10,2,2,1,0,1000,4,0,1,MLPClassifier,0.482970908327516,0.4798129570692594,0.0011412185645521,0.4772059572904968,1.0
10,2,2,1,0,1000,5,0,0,MLPClassifier,0.021862735459396,0.0110656155739254,0.0061045780129352,0.0002439395335088,1.0
10,2,2,1,0,1000,5,0,1,MLPClassifier,1.9534015634191484,1.945897614902192,0.0083533800362713,1.929715565184006,1.0
10,2,2,1,0,1000,6,1,0,MLPClassifier,0.482691835106891,0.4770197322542702,0.0032129048841736,0.4726754038753426,1.0
10,2,2,1,0,1000,6,1,1,MLPClassifier,0.0187712701869928,0.0092710157510809,0.0054103378270495,9.459304884645858e-05,1.0
10,2,2,1,0,1000,7,1,0,MLPClassifier,0.0770409731132386,0.0569027266690437,0.0093014503481167,0.0444569840904908,1.0
10,2,2,1,0,1000,7,1,1,MLPClassifier,0.0224936337005717,0.0119528768142765,0.0062481454424106,4.773566818938591e-05,1.0
10,2,2,1,0,1000,8,1,0,MLPClassifier,1.0758719480829375,1.0739783609082745,0.0011317627006148,1.0693420635078117,1.0
10,2,2,1,0,1000,8,1,1,MLPClassifier,0.021015851179912,0.0106190396561903,0.0057101105663176,4.773566818938591e-05,1.0
10,2,2,1,0,1000,9,1,0,MLPClassifier,0.0546718836926548,0.0405490442079014,0.0066325600011002,0.0321591147198267,1.0
10,2,2,1,0,1000,9,1,1,MLPClassifier,0.0221334348042254,0.0111193748933699,0.0059890305430181,4.773566818938591e-05,1.0
10,2,2,1,0,2000,0,1,0,MLPClassifier,0.648398401931045,0.6432275621509436,0.0025570624941869,0.6405562655958319,1.0
10,2,2,1,0,2000,0,1,1,MLPClassifier,0.0210604376886993,0.0111722278695677,0.0059009625100008,0.0001766363305816,1.0
10,2,2,1,0,2000,1,0,0,MLPClassifier,0.0184357936853722,0.0094774486238688,0.0058075086853562,4.773566818938591e-05,1.0
10,2,2,1,0,2000,1,0,1,MLPClassifier,2.306609623982908,2.297850855031843,0.0056492892140869,2.286893335731901,1.0
10,2,2,1,0,2000,2,0,0,MLPClassifier,0.0213268216307094,0.0103992020852719,0.0061730842648069,5.202730821052271e-05,1.0
10,2,2,1,0,2000,2,0,1,MLPClassifier,1.1976073140919388,1.1896277736358694,0.0079653767223003,1.169866394703716,1.0
10,2,2,1,0,2000,3,1,0,MLPClassifier,1.321755937666396,1.3197151659213315,0.0008284084569367,1.317794955314517,1.0
10,2,2,1,0,2000,3,1,1,MLPClassifier,0.0184972407346892,0.0092598781618288,0.0053019638004134,5.748716956621713e-05,1.0
10,2,2,1,0,2000,4,0,0,MLPClassifier,0.0185914884471298,0.0098038913023273,0.0055793561675458,0.0001886955459588,1.0
10,2,2,1,0,2000,4,0,1,MLPClassifier,0.4873613585537439,0.4821857000220536,0.0029458775256933,0.4770815910393103,1.0
10,2,2,1,0,2000,5,0,0,MLPClassifier,0.0214826148707398,0.0103507229658315,0.0059315866116037,0.0002180742906743,1.0
10,2,2,1,0,2000,5,0,1,MLPClassifier,1.9453478534143789,1.9343599741458148,0.0082919150446285,1.920198718726689,1.0
