samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,1000,0,1,0,RandomForestClassifier,-7.932036677813052,-7.783350139978106,0.07786337415463924,-7.657473456562033,1.0
10,32,2,1,1,1000,0,1,1,RandomForestClassifier,-0.6527248312582545,-0.35699864494908234,0.20457000029797096,-0.002293013523779752,1.0
10,32,2,1,1,1000,1,0,0,RandomForestClassifier,-0.7903381697863573,-0.46773526270911964,0.1990255285521536,-0.045831919324656134,1.0
10,32,2,1,1,1000,1,0,1,RandomForestClassifier,-4.864297270793184,-4.758728149007215,0.06299300461993759,-4.632313789278789,1.0
10,32,2,1,1,1000,2,0,0,RandomForestClassifier,-0.7140955956412092,-0.38291837474079726,0.21043076510784073,-0.01183581136477141,1.0
10,32,2,1,1,1000,2,0,1,RandomForestClassifier,-5.838019568772777,-5.537038530779901,0.19390536884033038,-5.240666361014429,1.0
10,32,2,1,1,1000,3,0,0,RandomForestClassifier,-0.734528058513682,-0.37899273391934807,0.24469935004776924,-0.02400426628198371,1.0
10,32,2,1,1,1000,3,0,1,RandomForestClassifier,-6.938620586219293,-6.713474542242855,0.10199043348825557,-6.545622419649993,1.0
10,32,2,1,1,1000,4,1,0,RandomForestClassifier,-5.987715435042095,-5.732449166998529,0.1323025416587722,-5.49956465847664,1.0
10,32,2,1,1,1000,4,1,1,RandomForestClassifier,-0.6737738554299995,-0.3799163575612582,0.16589057633170584,-0.03350257448999461,1.0
10,32,2,1,1,1000,5,0,0,RandomForestClassifier,-0.6375848538278778,-0.39570309282773747,0.1686988649129597,-0.030990834760979524,1.0
10,32,2,1,1,1000,5,0,1,RandomForestClassifier,-2.9142548149423173,-2.439240683601927,0.31431964009043456,-1.8331334112367115,1.0
10,32,2,1,1,1000,6,1,0,RandomForestClassifier,-8.849167961002474,-8.627280088979466,0.10677591436126319,-8.403879839204937,1.0
10,32,2,1,1,1000,6,1,1,RandomForestClassifier,-0.7367380579656978,-0.43355348087524903,0.17941909763154518,-0.045831919324656134,1.0
10,32,2,1,1,1000,7,0,0,RandomForestClassifier,-0.49892554394200855,-0.29739610408715966,0.14433515675243952,-0.03157162130258451,1.0
10,32,2,1,1,1000,7,0,1,RandomForestClassifier,-4.317293933652929,-4.128092545672458,0.11413182976088111,-4.0081317914788235,1.0
10,32,2,1,1,1000,8,1,0,RandomForestClassifier,-3.050456589912485,-2.6311295036319797,0.3012764607416245,-2.0850173736331916,1.0
10,32,2,1,1,1000,8,1,1,RandomForestClassifier,-0.7823361320628472,-0.47801835247387037,0.17242708330151285,-0.09927754509272191,1.0
10,32,2,1,1,1000,9,1,0,RandomForestClassifier,-3.0827261017281966,-2.4485415057571496,0.42237371722099,-1.5819411169051918,1.0
10,32,2,1,1,1000,9,1,1,RandomForestClassifier,-0.6757376990119481,-0.4001897745140631,0.15473659876707582,-0.09588935227700368,1.0
10,4,2,1,1,1000,0,0,0,RandomForestClassifier,-0.116700179024829,-0.06362291490423559,0.03139348470133329,-0.006402991734835273,1.0
10,4,2,1,1,1000,0,0,1,RandomForestClassifier,-2.3359365075314114,-2.3073556643223925,0.015159718984202408,-2.2876644871315404,1.0
10,4,2,1,1,1000,1,0,0,RandomForestClassifier,-0.11151064173778158,-0.06104851504218148,0.028321697813069084,-0.0017959076610682967,1.0
10,4,2,1,1,1000,1,0,1,RandomForestClassifier,-0.3831921916148401,-0.3111376312157959,0.05082123859414441,-0.2212875388189994,1.0
10,4,2,1,1,1000,2,1,0,RandomForestClassifier,-0.5066400690432843,-0.43676711886523173,0.03326251244321884,-0.3905352508560712,1.0
10,4,2,1,1,1000,2,1,1,RandomForestClassifier,-0.07781307444296005,-0.049297394085156536,0.01948863028445982,-0.010863286015696083,1.0
10,4,2,1,1,1000,3,0,0,RandomForestClassifier,-0.1461699936298585,-0.07670716071930486,0.04352680972849046,-0.0021325427223692905,1.0
10,4,2,1,1,1000,3,0,1,RandomForestClassifier,-0.21578775962615626,-0.15127042447302422,0.04278165796443149,-0.06956286183185074,1.0
