samples,features,classes,clusters,seed,population_size,point,class,target,model,min_fitness,mean_fitness,fitness_std,max_fitness,accuracy
10,32,2,1,1,1000,0,1,0,SVC,-10.241741953338332,-9.891735277185374,0.22139716802431736,-9.505962366726484,1.0
10,32,2,1,1,1000,0,1,1,SVC,-0.6949922277695291,-0.4348021953019295,0.1932876380202534,-0.09740209285866275,1.0
10,32,2,1,1,1000,1,0,0,SVC,-1.0055329210285975,-0.5449834308045508,0.2524954754423065,-0.056254990047697184,1.0
10,32,2,1,1,1000,1,0,1,SVC,-6.618494887342668,-6.4836113842199925,0.09579825660980543,-6.319700256893872,1.0
10,32,2,1,1,1000,2,0,0,SVC,-0.7068854766502666,-0.3794664835607383,0.18002944086970454,-0.036031229467737624,1.0
10,32,2,1,1,1000,2,0,1,SVC,-6.660100644706137,-6.514017981688498,0.09701986839771574,-6.35611668211343,1.0
10,32,2,1,1,1000,3,0,0,SVC,-0.6778704604897166,-0.42886945903375023,0.19355128682381254,-0.03225835704293445,1.0
10,32,2,1,1,1000,3,0,1,SVC,-6.255770294777097,-6.17651050401212,0.07453628524879913,-5.994767266919999,1.0
10,32,2,1,1,1000,4,1,0,SVC,-7.727678060320581,-7.644839984638704,0.06155855464151751,-7.524967230634633,1.0
10,32,2,1,1,1000,4,1,1,SVC,-0.520243057939779,-0.31513890515351756,0.1104809313280763,-0.07162603185794403,1.0
10,32,2,1,1,1000,5,0,0,SVC,-0.948337433142219,-0.6087147777295996,0.2058713521032881,-0.09927754509272191,1.0
10,32,2,1,1,1000,5,0,1,SVC,-4.362915950692882,-4.173046871443858,0.18199541906057348,-3.60413517057461,1.0
10,32,2,1,1,1000,6,1,0,SVC,-10.12886622532083,-10.06614943571055,0.03320364524594345,-10.001452738864984,1.0
10,32,2,1,1,1000,6,1,1,SVC,-0.8375329191184434,-0.54226267838442,0.24246016563151368,-0.022382456423411856,1.0
10,32,2,1,1,1000,7,0,0,SVC,-0.5697271555311426,-0.27439789401453535,0.17860511492300485,-0.0018026327007953924,1.0
10,32,2,1,1,1000,7,0,1,SVC,-4.484296532315057,-4.366668854912347,0.09041621380793591,-4.096476469448503,1.0
10,32,2,1,1,1000,8,1,0,SVC,-7.122777448677735,-6.881040279608039,0.15487243306430806,-6.600252662277417,1.0
10,32,2,1,1,1000,8,1,1,SVC,-0.5541323779626719,-0.3202574292151981,0.1244767990014701,-0.051488832181937116,1.0
10,32,2,1,1,1000,9,1,0,SVC,-3.197137465332997,-2.843009235497795,0.23239544414252253,-2.051745025935756,1.0
10,32,2,1,1,1000,9,1,1,SVC,-0.734528058513682,-0.4709711705626321,0.1994139475488694,-0.022382456423411856,1.0
10,4,2,1,1,1000,0,0,0,SVC,-0.1041256336921621,-0.05191834845825603,0.02667980160901411,-0.00046587573211798183,1.0
10,4,2,1,1,1000,0,0,1,SVC,-1.4671991666881585,-1.4345041946788626,0.025278282089656743,-1.3821690613508273,1.0
10,4,2,1,1,1000,1,0,0,SVC,-0.07640984185253541,-0.03609681461796285,0.017482449232775088,-0.005654646042649869,1.0
10,4,2,1,1,1000,1,0,1,SVC,-0.6898757939803911,-0.6664274198954565,0.018167036333852537,-0.63782359356237,1.0
10,4,2,1,1,1000,2,1,0,SVC,-0.5643039313945718,-0.5108459880035157,0.039471831656886704,-0.4468642593097022,1.0
10,4,2,1,1,1000,2,1,1,SVC,-0.11007574871808518,-0.06625385136348223,0.029658593604630846,-0.0044362140112905735,1.0
10,4,2,1,1,1000,3,1,0,SVC,-0.29556851505858717,-0.2066061176252755,0.05533860585295191,-0.1146107010242794,1.0
10,4,2,1,1,1000,3,1,1,SVC,-0.11172189770640938,-0.06708000327095884,0.02862290868938104,-0.010863286015695972,1.0
10,4,2,1,1,1000,4,0,0,SVC,-0.10423212590940249,-0.05381851381997925,0.025670166745758737,-0.0041210430448577196,1.0
10,4,2,1,1,1000,4,0,1,SVC,-1.5667358034595331,-1.5117677362716768,0.032840347162295246,-1.4531655093007874,1.0
10,4,2,1,1,1000,5,1,0,SVC,-1.6708774661027712,-1.640828060116255,0.01928923396930031,-1.5998226155957573,1.0
10,4,2,1,1,1000,5,1,1,SVC,-0.08409784012882758,-0.050446121900568616,0.020725151106948725,-0.0032360275122407245,1.0
10,4,2,1,1,1000,6,0,0,SVC,-0.10389508850068024,-0.04768470298721911,0.025523752923057162,-0.0032360275122407245,1.0
10,4,2,1,1,1000,6,0,1,SVC,-2.7787443996485925,-2.7225178150694402,0.03755373139199034,-2.660574194592376,1.0
10,4,2,1,1,1000,7,0,0,SVC,-0.1049452920722044,-0.06232578350163508,0.026097737123413844,-0.006219585615807377,1.0
10,4,2,1,1,1000,7,0,1,SVC,-1.2661194155760531,-1.2253667106369044,0.027517788059463394,-1.171525117346934,1.0
10,4,2,1,1,1000,8,0,0,SVC,-0.11311655703096656,-0.061140076477906195,0.0336271303703397,-0.0032360275122407245,1.0
10,4,2,1,1,1000,8,0,1,SVC,-1.9876303762201062,-1.9572898798543221,0.0208816019233033,-1.9122339379395967,1.0
10,4,2,1,1,1000,9,0,0,SVC,-0.08136814655028986,-0.04501633541458967,0.017167749196465146,-0.010863286015695972,1.0
10,4,2,1,1,1000,9,0,1,SVC,-2.0296785786678404,-1.9922881012735976,0.02422098854601547,-1.9537746190997816,1.0
10,8,2,1,1,1000,0,1,0,SVC,-1.312302140015044,-1.2201483797476467,0.07560186227573361,-1.094057572226593,1.0
10,8,2,1,1,1000,0,1,1,SVC,-0.1571374478517984,-0.10158086938893832,0.04018969894737984,-0.012380891179604836,1.0
10,8,2,1,1,1000,1,1,0,SVC,-2.1725605963645487,-2.0742404234931993,0.06685184984819723,-1.9264770308953145,1.0
10,8,2,1,1,1000,1,1,1,SVC,-0.158111469921613,-0.08853340577250908,0.042516769620171535,-0.012380891179604836,1.0
10,8,2,1,1,1000,2,1,0,SVC,-1.432878526406566,-1.2536184699108164,0.10780532915294258,-1.0342098438572676,1.0
10,8,2,1,1,1000,2,1,1,SVC,-0.1457749823075436,-0.10187664700425611,0.03549816700798484,-0.01238089117960478,1.0
10,8,2,1,1,1000,3,1,0,SVC,-1.9850684889480317,-1.8629378551682614,0.08147596425706158,-1.6582822242477187,1.0
10,8,2,1,1,1000,3,1,1,SVC,-0.14293607596744373,-0.08255538034086482,0.04131100578981833,-0.0011283485016010397,1.0
10,8,2,1,1,1000,4,1,0,SVC,-0.9845355877511458,-0.9356445139668388,0.03409222711612999,-0.8677167403134798,1.0
10,8,2,1,1,1000,4,1,1,SVC,-0.1586260877010438,-0.09967576323924175,0.04542404316191411,-0.0021504703483485876,1.0
10,8,2,1,1,1000,5,0,0,SVC,-0.11950616456635686,-0.06727783673724722,0.03268294625210952,-0.012380891179604614,1.0
10,8,2,1,1,1000,5,0,1,SVC,-1.753692618181466,-1.7289772434853143,0.022765148091964192,-1.6608721326853304,1.0
10,8,2,1,1,1000,6,0,0,SVC,-0.1457749823075436,-0.09143890998227132,0.03684903170945324,-0.0011283485016010397,1.0
10,8,2,1,1,1000,6,0,1,SVC,-2.5235300165453762,-2.4894737758045618,0.027617112390839048,-2.4130569865713487,1.0
10,8,2,1,1,1000,7,1,0,SVC,-1.6879172936157434,-1.6490594310581983,0.029604780748799613,-1.5797204295953142,1.0
10,8,2,1,1,1000,7,1,1,SVC,-0.14891428414605415,-0.08633095692758198,0.043056883687427355,-0.0011283485016009287,1.0
10,8,2,1,1,1000,8,1,0,SVC,-1.718695967845191,-1.5805195185140897,0.08873666348332504,-1.388846298999098,1.0
10,8,2,1,1,1000,8,1,1,SVC,-0.15114449390683393,-0.09093770821164548,0.042700415586342945,-0.0011283485016010397,1.0
10,8,2,1,1,1000,9,1,0,SVC,-1.2755550304205794,-1.2054678559588878,0.061747670747623905,-1.0625218085452126,1.0
10,8,2,1,1,1000,9,1,1,SVC,-0.14876281780351283,-0.08445514979947814,0.03990216134416117,-0.0026943387087414727,1.0
10,64,2,1,0,1000,0,1,0,SVC,-9.533787660449425,-8.471535575311254,0.7483498331890206,-7.360168839067973,1.0
10,64,2,1,0,1000,0,1,1,SVC,-2.025391277279304,-1.0554056014141922,0.5490548720934343,-0.04148173558752877,1.0
10,64,2,1,0,1000,1,0,0,SVC,-1.4803308269711868,-0.7697605890670962,0.37733303793303885,-0.0056934170643838655,1.0
10,64,2,1,0,1000,1,0,1,SVC,-19.59303463698816,-18.920067604782954,0.479443470245664,-18.14727775030593,1.0
10,64,2,1,0,1000,2,0,0,SVC,-1.4012699263628297,-0.798076969358569,0.3313643624702556,-0.07743662276218188,1.0
10,64,2,1,0,1000,2,0,1,SVC,-9.572473067138787,-8.99048181899901,0.44687027900565934,-8.213673252325862,1.0
10,64,2,1,0,1000,3,1,0,SVC,-18.766456984901907,-18.022524667542253,0.7783489228135718,-16.16414627933287,1.0
10,64,2,1,0,1000,3,1,1,SVC,-1.9074073868479455,-1.2143809113337998,0.513177949470271,-0.04148173558752877,1.0
10,64,2,1,0,1000,4,1,0,SVC,-29.777715822779907,-29.400730979788587,0.3197708955305505,-28.600750447773844,1.0
10,64,2,1,0,1000,4,1,1,SVC,-1.4896985826851155,-0.8079540100918459,0.4410721272408964,-0.09297246668393022,1.0
10,64,2,1,0,1000,5,0,0,SVC,-1.6324728481294155,-0.9574279551611282,0.4905854152296193,-0.029829048989916895,1.0
10,64,2,1,0,1000,5,0,1,SVC,-15.771700921010687,-15.497039002407194,0.19326912532603746,-14.904144721757541,1.0
10,64,2,1,0,1000,6,1,0,SVC,-24.251536902415726,-24.125412483554527,0.0953444537765657,-23.862869290959015,1.0
10,64,2,1,0,1000,6,1,1,SVC,-1.0759494568311052,-0.5996154138554317,0.28154635320079496,-0.04148173558752877,1.0
10,64,2,1,0,1000,7,1,0,SVC,-10.853751856045905,-10.635744542889478,0.14318530543682645,-10.314428337234888,1.0
10,64,2,1,0,1000,7,1,1,SVC,-2.0007098411752793,-1.0826726878730961,0.4758660659099754,-0.04071440371002044,1.0
10,64,2,1,0,1000,8,1,0,SVC,-13.903977187389364,-13.776505356855257,0.07273569990097178,-13.624947710275823,1.0
10,64,2,1,0,1000,8,1,1,SVC,-1.7813039352026894,-1.0974966163813005,0.4706380429309484,-0.10749316429128886,1.0
10,64,2,1,0,1000,9,0,0,SVC,-1.9566752466808564,-1.070628785934809,0.4199909648493787,-0.0982076914510901,1.0
10,64,2,1,0,1000,9,0,1,SVC,-15.626278701325903,-15.320666060354458,0.2719438836441054,-14.654200864628965,1.0
10,4,2,1,0,1000,0,0,0,SVC,-0.06900343889259805,-0.04206228273557028,0.017014597548662927,-0.0029838999405115696,1.0
10,4,2,1,0,1000,0,0,1,SVC,-1.7536532333134942,-1.73968334785277,0.00961309862538658,-1.7173986722166963,1.0
10,4,2,1,0,1000,1,1,0,SVC,-1.5890318874679183,-1.5799666810416888,0.005523348838807575,-1.5459812077777633,1.0
10,4,2,1,0,1000,1,1,1,SVC,-0.05790955086652259,-0.03790487939923592,0.014930001501871343,-0.0015934404806751123,1.0
10,4,2,1,0,1000,2,1,0,SVC,-0.9079838734002315,-0.8707392095470868,0.025473706271416947,-0.8293499677711341,1.0
10,4,2,1,0,1000,2,1,1,SVC,-0.06998299449858883,-0.043804421352337836,0.018458257125377575,-0.0015934404806752234,1.0
10,4,2,1,0,1000,3,0,0,SVC,-0.08658568780704348,-0.054845351867957144,0.02479724586484298,-0.0034162700934152745,1.0
10,4,2,1,0,1000,3,0,1,SVC,-1.876548980323182,-1.8514942939346613,0.021338952104730233,-1.8063755329218998,1.0
10,4,2,1,0,1000,4,1,0,SVC,-1.3037089891434421,-1.2848704891877174,0.01081966148627326,-1.2610356429559328,1.0
10,4,2,1,0,1000,4,1,1,SVC,-0.06513424284431066,-0.03696509090140625,0.0174936644016974,-0.005783441759525387,1.0
10,4,2,1,0,1000,5,0,0,SVC,-0.07377633830559997,-0.04315793664397611,0.0204510974747268,-0.008619423309367713,1.0
10,4,2,1,0,1000,5,0,1,SVC,-2.1873331313453583,-2.176820955301974,0.007491390564485938,-2.162746238934084,1.0
10,4,2,1,0,1000,6,0,0,SVC,-0.12288219530278535,-0.07650202323317035,0.03135317926053282,-0.0007714424877434123,1.0
10,4,2,1,0,1000,6,0,1,SVC,-0.11776508725045153,-0.08120017622441476,0.026794238007459115,-0.030239078059801194,1.0
10,4,2,1,0,1000,7,0,0,SVC,-0.07922196622359211,-0.0467135059679294,0.019500483442538585,-0.00540478686631486,1.0
10,4,2,1,0,1000,7,0,1,SVC,-1.035084197243998,-1.0059163950071301,0.021795667391184805,-0.9570911030727327,1.0
