implementation,workers,cities,population_size,generations,mutation_rate,time
sequential,1,50,500,500,0.3,37.69670961403972
pipe,2,50,500,500,0.3,17.549566770992897
pipe,3,50,500,500,0.3,21.22487936401012
pipe,4,50,500,500,0.3,11.611426530012976
shared memory,2,50,500,500,0.3,18.7059616580118
shared memory,3,50,500,500,0.3,19.09861918900605
shared memory,4,50,500,500,0.3,13.793467409992443
sequential,1,100,1000,1000,0.2,280.1397310850625
pipe,2,100,1000,1000,0.2,163.15393115797997
pipe,3,100,1000,1000,0.2,177.93042421697464
pipe,4,100,1000,1000,0.2,144.8477640409983
shared memory,2,100,1000,1000,0.2,170.016538503005
shared memory,3,100,1000,1000,0.2,170.80764516599083
shared memory,4,100,1000,1000,0.2,139.03938460700738
sequential,1,100,1000,1000,0.2,271.42638378004085
pipe,2,100,1000,1000,0.2,172.19523335597114
pipe,3,100,1000,1000,0.2,173.0297254889938
pipe,4,100,1000,1000,0.2,139.93117233499834
shared memory,2,100,1000,1000,0.2,168.35554154798956
shared memory,3,100,1000,1000,0.2,170.09086257502713
shared memory,4,100,1000,1000,0.2,138.18591761001153
sequential,1,50,500,500,0.3,30.402613357994596
